success,rewards,steps,resources,epsilon,first_success
0,-37.849999999999994,48,2,0.7861544476842928,7
0,-26.81,70,3,0.5535075230322891,7
0,-35.35,23,1,0.4932355662165453,7
0,-35.699999999999996,6,0,0.47862223409330756,7
0,-36.05,17,0,0.43952667968844233,7
0,-37.24999999999999,23,0,0.39166620452737816,7
1,45.300000000000004,62,3,0.28704309604425327,7
0,-8.61,54,0,0.2189744609715989,7
0,-8.6,54,0,0.16704744067563246,7
0,-9.600000000000003,54,0,0.12743425563174798,7
1,45.540000000000006,23,0,0.1135578192100607,7
1,45.300000000000004,34,1,0.1,7
0,-8.600000000000001,60,1,0.1,7
1,45.10000000000001,26,0,0.1,7
0,-9.800000000000004,54,0,0.1,7
0,-10.200000000000005,54,0,0.1,7
1,45.6,28,1,0.1,7
0,-35.81999999999999,8,0,0.1,7
1,45.550000000000004,23,0,0.1,7
1,46.1,18,0,0.1,7
1,46.400000000000006,24,1,0.1,7
1,43.2,44,0,0.1,7
1,45.14000000000001,31,1,0.1,7
0,-35.3,8,0,0.1,7
0,-35.949999999999996,9,0,0.1,7
1,46.7,14,0,0.1,7
0,-35.8,14,0,0.1,7
1,46.040000000000006,15,0,0.1,7
1,47.7,14,1,0.1,7
1,46.35,23,1,0.1,7
1,47.45,17,1,0.1,7
0,-10.350000000000005,47,0,0.1,7
1,44.50000000000001,30,0,0.1,7
1,45.900000000000006,22,0,0.1,7
1,46.7,14,0,0.1,7
1,45.7,24,0,0.1,7
1,46.6,16,0,0.1,7
1,45.050000000000004,25,0,0.1,7
1,43.050000000000004,45,0,0.1,7
1,46.550000000000004,15,0,0.1,7
0,-36.8,38,0,0.1,7
1,48.49,50,4,0.1,7
1,46.50000000000001,18,0,0.1,7
1,47.45,17,1,0.1,7
1,47.400000000000006,24,2,0.1,7
1,46.400000000000006,16,0,0.1,7
1,48.400000000000006,16,2,0.1,7
1,46.45,17,0,0.1,7
1,48.7,14,2,0.1,7
1,47.39000000000001,16,1,0.1,7
0,-5.199999999999999,54,0,0.1,7
1,48.00000000000001,20,2,0.1,7
1,45.900000000000006,26,0,0.1,7
1,46.800000000000004,20,1,0.1,7
1,47.7,14,1,0.1,7
1,47.60000000000001,16,1,0.1,7
1,47.10000000000001,18,1,0.1,7
1,45.400000000000006,32,0,0.1,7
1,45.1,30,0,0.1,7
1,46.6,16,0,0.1,7
1,49.7,14,3,0.1,7
1,46.900000000000006,26,1,0.1,7
1,45.800000000000004,20,0,0.1,7
1,46.7,14,0,0.1,7
1,44.550000000000004,39,1,0.1,7
1,46.35,19,0,0.1,7
0,-37.0,18,0,0.1,7
1,46.25000000000001,25,1,0.1,7
1,44.50000000000001,30,0,0.1,7
1,44.95,35,1,0.1,7
1,48.25000000000001,17,2,0.1,7
1,46.550000000000004,15,0,0.1,7
1,47.650000000000006,21,2,0.1,7
1,45.550000000000004,31,0,0.1,7
1,46.400000000000006,16,0,0.1,7
1,43.50000000000001,42,0,0.1,7
0,-5.799999999999999,60,1,0.1,7
1,44.50000000000001,58,2,0.1,7
1,46.650000000000006,21,1,0.1,7
