episode,total_reward,pgf_mean,success,steps
0,-24.0,5.5,0,30
1,-24.0,5.499767866363652,0,30
2,-25.07,5.49814293090921,0,30
3,-24.0,5.5,0,30
4,-24.0,5.499535732727304,0,30
5,-24.0,5.5,0,30
6,-24.0,5.5,0,30
7,-24.0,5.5,0,30
8,-24.0,5.5,0,30
9,-24.0,5.5,0,30
10,-24.0,5.5,0,30
11,-24.0,5.5,0,30
12,-24.0,5.5,0,30
13,-24.0,5.5,0,30
14,-24.0,5.5,0,30
15,-24.0,5.5,0,30
16,-24.0,5.5,0,30
17,-24.0,5.5,0,30
18,-24.0,5.5,0,30
19,-23.8,5.5,0,30
20,-24.0,5.499767866363652,0,30
21,-24.0,5.5,0,30
22,-24.0,5.499767866363651,0,30
23,-24.0,5.5,0,30
24,-24.0,5.5,0,30
25,-24.03,5.499071465454605,0,30
26,-24.0,5.5,0,30
27,-24.0,5.5,0,30
28,-23.8,5.5,0,30
29,-24.02,5.499303599090953,0,30
30,-24.0,5.5,0,30
31,-24.0,5.5,0,30
32,-24.0,5.5,0,30
33,-24.0,5.5,0,30
34,-24.0,5.5,0,30
35,-24.0,5.5,0,30
36,-24.0,5.5,0,30
37,-24.0,5.499767866363652,0,30
38,-24.0,5.5,0,30
39,-24.0,5.5,0,30
40,-24.11,5.497214396363819,0,30
41,-24.05,5.49837506454556,0,30
42,-24.0,5.499767866363652,0,30
43,-24.0,5.499767866363652,0,30
44,-24.0,5.5,0,30
45,-24.0,5.499767866363652,0,30
46,-24.0,5.499767866363652,0,30
47,-24.0,5.5,0,30
48,-24.0,5.5,0,30
49,-24.0,5.5,0,30
50,-24.0,5.5,0,30
51,-24.0,5.5,0,30
52,-24.0,5.5,0,30
53,-24.0,5.499767866363652,0,30
54,-24.0,5.5,0,30
55,-24.0,5.5,0,30
56,-24.0,5.499767866363652,0,30
57,-24.0,5.5,0,30
58,-24.0,5.5,0,30
59,-24.0,5.499767866363652,0,30
60,-24.0,5.5,0,30
61,-24.0,5.5,0,30
62,-24.0,5.5,0,30
63,-24.0,5.5,0,30
64,-24.0,5.5,0,30
65,-24.0,5.5,0,30
66,-24.0,5.5,0,30
67,-24.03,5.499071465454606,0,30
68,-24.0,5.5,0,30
69,-24.0,5.499767866363651,0,30
70,-24.01,5.499535732727304,0,30
71,-24.0,5.5,0,30
72,-24.0,5.5,0,30
73,-23.8,5.5,0,30
74,-23.8,5.499767866363652,0,30
75,-24.0,5.5,0,30
76,-24.0,5.5,0,30
77,-24.0,5.5,0,30
78,-24.0,5.5,0,30
79,-24.0,5.5,0,30
80,-24.01,5.499535732727302,0,30
81,-24.02,5.499303599090954,0,30
82,-24.0,5.5,0,30
83,-24.0,5.499767866363652,0,30
84,-24.0,5.5,0,30
85,-24.0,5.5,0,30
86,-24.06,5.49837506454556,0,30
87,-24.0,5.5,0,30
88,-24.0,5.5,0,30
89,-24.0,5.5,0,30
90,-24.0,5.5,0,30
91,-24.0,5.5,0,30
92,-24.0,5.5,0,30
93,-24.0,5.5,0,30
94,-24.0,5.5,0,30
95,-24.0,5.5,0,30
96,-24.0,5.499767866363652,0,30
97,-24.0,5.5,0,30
98,-24.0,5.5,0,30
99,-24.0,5.5,0,30
100,-24.0,5.5,0,30
101,-24.0,5.5,0,30
102,-24.0,5.5,0,30
103,-24.0,5.5,0,30
104,-24.0,5.5,0,30
105,-24.0,5.5,0,30
106,-24.0,5.499767866363652,0,30
107,-24.0,5.5,0,30
108,-24.0,5.5,0,30
109,-24.0,5.5,0,30
110,-24.0,5.5,0,30
111,-24.0,5.5,0,30
112,-24.0,5.5,0,30
113,-24.0,5.5,0,30
114,-24.3,5.486580129702268,0,30
115,-24.0,5.5,0,30
116,-24.0,5.5,0,30
117,-24.0,5.499767866363652,0,30
118,-24.0,5.5,0,30
119,-24.0,5.5,0,30
120,-24.0,5.5,0,30
121,-24.0,5.5,0,30
122,-24.0,5.499767866363651,0,30
123,-24.0,5.5,0,30
124,-24.0,5.5,0,30
125,-24.0,5.5,0,30
126,-24.0,5.5,0,30
127,-24.0,5.5,0,30
128,-24.0,5.5,0,30
129,-24.01,5.499535732727304,0,30
130,-23.8,5.5,0,30
131,-24.0,5.5,0,30
132,-24.0,5.5,0,30
133,-24.0,5.5,0,30
134,-24.0,5.5,0,30
135,-24.0,5.5,0,30
136,-24.0,5.5,0,30
137,-24.0,5.5,0,30
138,-24.0,5.5,0,30
139,-24.0,5.5,0,30
140,-24.0,5.5,0,30
141,-24.0,5.499767866363652,0,30
142,-24.0,5.5,0,30
143,-24.0,5.5,0,30
144,-24.0,5.5,0,30
145,-24.0,5.5,0,30
146,-24.0,5.5,0,30
147,-24.0,5.5,0,30
148,-24.0,5.5,0,30
149,-24.0,5.5,0,30
150,-24.0,5.5,0,30
151,-24.0,5.5,0,30
152,-24.0,5.5,0,30
153,-24.0,5.5,0,30
154,-24.0,5.5,0,30
155,-24.0,5.5,0,30
156,-24.0,5.5,0,30
157,-24.0,5.5,0,30
158,-24.0,5.5,0,30
159,-24.0,5.5,0,30
160,-24.0,5.5,0,30
161,-24.0,5.5,0,30
162,-24.0,5.5,0,30
163,-24.0,5.5,0,30
164,-24.0,5.5,0,30
165,-23.8,5.5,0,30
166,-24.0,5.5,0,30
167,-24.0,5.5,0,30
168,-24.0,5.5,0,30
169,-24.0,5.5,0,30
170,-24.0,5.5,0,30
171,-24.0,5.5,0,30
172,-24.0,5.5,0,30
173,-24.0,5.499767866363652,0,30
174,-24.0,5.5,0,30
175,-24.0,5.5,0,30
176,-24.0,5.5,0,30
177,-24.0,5.5,0,30
178,-24.0,5.5,0,30
179,-24.0,5.5,0,30
180,-24.0,5.5,0,30
181,-24.0,5.5,0,30
182,-24.0,5.5,0,30
183,-24.0,5.5,0,30
184,-24.0,5.5,0,30
185,-24.0,5.5,0,30
186,-24.0,5.5,0,30
187,-24.0,5.5,0,30
188,-24.0,5.5,0,30
189,-24.0,5.5,0,30
190,-26.1,5.434061316693085,0,30
191,-24.0,5.5,0,30
192,-24.0,5.499767866363652,0,30
193,-24.0,5.499767866363652,0,30
194,-24.0,5.499767866363652,0,30
195,-24.0,5.499767866363651,0,30
196,-24.0,5.5,0,30
197,-24.0,5.5,0,30
198,-24.0,5.5,0,30
199,-24.0,5.5,0,30
200,-25.060000000000002,5.498375064545558,0,30
201,-24.0,5.5,0,30
202,-24.0,5.5,0,30
203,-24.0,5.5,0,30
204,-24.0,5.5,0,30
205,-24.0,5.5,0,30
206,-24.0,5.5,0,30
207,-24.0,5.5,0,30
208,-24.0,5.5,0,30
209,-24.0,5.5,0,30
210,-24.0,5.5,0,30
211,-24.0,5.5,0,30
212,-24.0,5.5,0,30
213,-24.0,5.5,0,30
214,-24.0,5.499767866363652,0,30
215,-24.0,5.5,0,30
216,-24.0,5.5,0,30
217,-24.0,5.5,0,30
218,-24.0,5.5,0,30
219,-24.0,5.5,0,30
220,-24.0,5.5,0,30
221,-23.8,5.5,0,30
222,-24.0,5.5,0,30
223,-24.0,5.5,0,30
224,-24.0,5.5,0,30
225,-24.0,5.5,0,30
226,-24.0,5.5,0,30
227,-24.0,5.499767866363652,0,30
228,-24.0,5.5,0,30
229,-24.0,5.5,0,30
230,-24.0,5.5,0,30
231,-24.0,5.5,0,30
232,-25.060000000000002,5.498375064545558,0,30
233,-23.8,5.5,0,30
234,-24.0,5.5,0,30
235,-24.0,5.5,0,30
236,-24.0,5.5,0,30
237,-24.0,5.5,0,30
238,-24.0,5.5,0,30
239,-24.02,5.499303599090954,0,30
240,-23.8,5.5,0,30
241,-23.8,5.5,0,30
242,-24.0,5.5,0,30
243,-24.0,5.5,0,30
244,-24.0,5.5,0,30
245,-24.05,5.49860719818191,0,30
246,-24.0,5.499535732727304,0,30
247,-24.0,5.5,0,30
248,-24.0,5.5,0,30
249,-24.0,5.5,0,30
250,-24.0,5.5,0,30
251,-24.0,5.5,0,30
252,-24.0,5.499767866363652,0,30
253,-24.0,5.5,0,30
254,-24.01,5.499535732727304,0,30
255,-24.0,5.5,0,30
256,-24.0,5.5,0,30
257,-24.0,5.499535732727304,0,30
258,-24.01,5.499303599090954,0,30
259,-24.01,5.499071465454606,0,30
260,-24.0,5.5,0,30
261,-24.0,5.5,0,30
262,-24.0,5.5,0,30
263,-24.0,5.5,0,30
264,-24.0,5.499767866363652,0,30
265,-23.8,5.5,0,30
266,-24.0,5.5,0,30
267,-24.0,5.5,0,30
268,-23.82,5.499303599090954,0,30
269,-24.0,5.5,0,30
270,-24.0,5.5,0,30
271,-24.0,5.5,0,30
272,-24.0,5.5,0,30
273,-23.8,5.5,0,30
274,-23.8,5.5,0,30
275,-24.0,5.5,0,30
276,-24.0,5.5,0,30
277,-24.0,5.5,0,30
278,-24.0,5.5,0,30
279,-24.0,5.499767866363652,0,30
280,-24.0,5.5,0,30
281,-24.0,5.5,0,30
282,-24.07,5.4981429309092125,0,30
283,-24.0,5.5,0,30
284,-24.81,5.499767866363651,0,30
285,-24.0,5.5,0,30
286,-24.0,5.5,0,30
287,-24.0,5.5,0,30
288,-24.0,5.5,0,30
289,-24.0,5.499767866363652,0,30
290,-24.0,5.499767866363652,0,30
291,-24.0,5.5,0,30
292,-24.04,5.4988393318182585,0,30
293,-24.0,5.5,0,30
294,-24.0,5.5,0,30
295,-24.0,5.5,0,30
296,-24.0,5.5,0,30
297,-24.0,5.5,0,30
298,-24.0,5.5,0,30
299,-24.0,5.5,0,30
300,-23.8,5.5,0,30
301,-24.0,5.5,0,30
302,-24.0,5.5,0,30
303,-24.0,5.5,0,30
304,-24.0,5.5,0,30
305,-24.0,5.499767866363652,0,30
306,-24.0,5.5,0,30
307,-24.0,5.5,0,30
308,-24.0,5.5,0,30
309,-23.8,5.5,0,30
310,-24.0,5.5,0,30
311,-24.0,5.5,0,30
312,-24.0,5.5,0,30
313,-24.0,5.5,0,30
314,-24.0,5.5,0,30
315,-24.0,5.5,0,30
316,-24.0,5.5,0,30
317,-24.0,5.5,0,30
318,-24.0,5.5,0,30
319,-24.0,5.5,0,30
320,-24.0,5.499767866363651,0,30
321,-24.0,5.5,0,30
322,-24.0,5.5,0,30
323,-24.0,5.5,0,30
324,-24.21,5.494893060000333,0,30
325,-24.0,5.5,0,30
326,-24.0,5.5,0,30
327,-25.3,5.460436790015851,0,30
328,-24.0,5.5,0,30
329,-24.0,5.5,0,30
330,-24.0,5.5,0,30
331,-24.0,5.5,0,30
332,-24.0,5.5,0,30
333,-24.0,5.5,0,30
334,-24.0,5.499767866363652,0,30
335,-24.0,5.5,0,30
336,-24.0,5.5,0,30
337,-24.0,5.5,0,30
338,-37.099999999999994,4.860572175541751,0,19
339,-24.0,5.5,0,30
340,-23.8,5.5,0,30
341,-24.01,5.499535732727304,0,30
342,-24.0,5.5,0,30
343,-24.0,5.5,0,30
344,-24.0,5.5,0,30
345,-24.0,5.5,0,30
346,-24.0,5.5,0,30
347,-24.0,5.5,0,30
348,-24.0,5.5,0,30
349,-24.0,5.5,0,30
350,-24.0,5.5,0,30
351,-24.0,5.5,0,30
352,-24.0,5.499767866363652,0,30
353,-24.0,5.499767866363652,0,30
354,-24.0,5.5,0,30
355,-24.0,5.5,0,30
