success,rewards,steps,resources,epsilon,first_success
0,-37.339999999999996,20,0,0.49009443241476736,
0,-36.31999999999999,14,0,0.48327753104954174,
0,-26.099999999999998,30,1,0.46898748191292283,
0,-27.099999999999998,30,0,0.4551199757070368,
0,-25.81,30,1,0.44166251824613195,
0,-26.72,30,1,0.428602984785444,
0,-28.099999999999998,30,0,0.415929609097184,
0,-27.509999999999998,30,0,0.4036309728695373,
0,-25.13,30,1,0.3916959954191254,
0,-24.919999999999998,30,1,0.3801139237076592,
0,-27.709999999999997,30,0,0.36887432265379033,
0,-27.9,30,0,0.3579670657314333,
0,-26.109999999999996,30,1,0.34738232584608336,
0,-24.15,30,2,0.3371105664809151,
0,-26.709999999999997,30,0,0.3271425331046812,
0,-27.699999999999996,30,0,0.3174692448336717,
0,-26.93,30,0,0.3080819863402214,
0,-25.529999999999998,30,1,0.2989723000004739,
0,-25.7,30,1,0.2901319782743293,
0,-27.22,30,0,0.2815530563107098,
0,-26.299999999999997,30,0,0.27322780477148023,
0,-26.509999999999998,30,0,0.2651487228675571,
0,-23.939999999999998,30,3,0.25730853160093536,
0,-28.099999999999998,30,0,0.24970016720653998,
0,-26.33,30,1,0.24231677478799676,
0,-25.95,30,1,0.2351517021415869,
0,-23.439999999999998,30,3,0.2281984937628212,
0,-21.81,30,4,0.22145088503023386,
0,-25.22,30,1,0.21490279656115624,
0,-24.029999999999998,30,3,0.20854832873438492,
0,-25.939999999999998,30,0,0.20238175637480915,
0,-26.039999999999996,30,0,0.19639752359520818,
0,-24.709999999999997,30,1,0.19059023879057257,
0,-26.019999999999996,30,0,0.18495466978043787,
0,-26.609999999999996,30,0,0.179485739094855,
0,-24.839999999999996,30,1,0.1741785193997501,
0,-27.96,30,0,0.1690282290575516,
0,-23.259999999999998,30,3,0.16403022781908624,
0,-26.13,30,1,0.15918001264286014,
0,-25.499999999999996,30,1,0.154473213637961,
0,-28.109999999999996,30,0,0.14990559012692373,
0,-26.569999999999997,30,0,0.1454730268250143,
0,-25.15,30,1,0.14117153013248745,
0,-26.609999999999996,30,0,0.1369972245364797,
0,-26.119999999999997,30,0,0.13294634911929415,
0,-24.9,30,1,0.12901525416993254,
0,-28.5,30,0,0.12520039789582046,
0,-25.799999999999997,30,0,0.1214983432317643,
0,-28.720000000000002,30,0,0.1179057547432634,
0,-26.8,30,1,0.11441939562138921,
0,-28.919999999999995,30,0,0.11103612476652239,
0,-26.779999999999998,30,0,0.10775289395832095,
0,-25.4,30,2,0.10456674510937011,
0,-29.17,30,0,0.1014748076000386,
0,-28.299999999999997,30,0,0.1,
0,-26.33,30,1,0.1,
0,-28.299999999999997,30,0,0.1,
0,-28.109999999999996,30,0,0.1,
0,-27.069999999999997,30,0,0.1,
0,-27.099999999999998,30,1,0.1,
0,-28.5,30,0,0.1,
0,-26.589999999999996,30,0,0.1,
0,-23.919999999999998,30,3,0.1,
0,-26.299999999999997,30,1,0.1,
0,-24.299999999999997,30,2,0.1,
0,-27.11,30,1,0.1,
0,-26.499999999999996,30,1,0.1,
0,-27.499999999999996,30,0,0.1,
0,-27.299999999999997,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-25.7,30,1,0.1,
0,-25.9,30,0,0.1,
0,-25.909999999999997,30,1,0.1,
0,-27.299999999999997,30,0,0.1,
0,-26.31,30,1,0.1,
0,-26.11,30,1,0.1,
0,-25.499999999999996,30,2,0.1,
0,-27.499999999999996,30,0,0.1,
0,-27.299999999999997,30,0,0.1,
0,-26.299999999999997,30,1,0.1,
0,-27.299999999999997,30,0,0.1,
0,-26.099999999999998,30,1,0.1,
0,-26.499999999999996,30,1,0.1,
0,-25.499999999999996,30,2,0.1,
0,-27.11,30,0,0.1,
0,-27.299999999999997,30,0,0.1,
0,-27.099999999999998,30,0,0.1,
0,-27.299999999999997,30,0,0.1,
0,-26.909999999999997,30,0,0.1,
0,-24.499999999999996,30,1,0.1,
0,-26.7,30,0,0.1,
0,-26.31,30,1,0.1,
0,-27.499999999999996,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-26.299999999999997,30,1,0.1,
0,-27.099999999999998,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-26.9,30,0,0.1,
0,-26.699999999999996,30,0,0.1,
0,-25.299999999999997,30,2,0.1,
0,-25.9,30,1,0.1,
0,-25.099999999999998,30,0,0.1,
0,-25.299999999999997,30,1,0.1,
0,-24.5,30,2,0.1,
0,-25.5,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-27.499999999999996,30,0,0.1,
0,-23.099999999999998,30,2,0.1,
0,-23.099999999999998,30,2,0.1,
0,-27.099999999999998,30,0,0.1,
0,-26.9,30,0,0.1,
0,-24.3,30,1,0.1,
0,-22.31,30,3,0.1,
0,-24.31,30,2,0.1,
0,-25.299999999999997,30,1,0.1,
0,-21.71,30,4,0.1,
0,-28.099999999999998,30,0,0.1,
0,-23.5,30,2,0.1,
0,-26.2,30,1,0.1,
0,-25.319999999999997,30,2,0.1,
0,-25.509999999999998,30,0,0.1,
0,-22.729999999999997,30,3,0.1,
0,-26.509999999999998,30,1,0.1,
0,-27.709999999999997,30,0,0.1,
0,-26.099999999999998,30,2,0.1,
0,-24.71,30,1,0.1,
0,-22.11,30,4,0.1,
0,-27.139999999999997,30,0,0.1,
0,-28.5,30,0,0.1,
