episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
1,PGF,2058.4000000000005,30,1,2141.0,0.35000000000000003,0.05,0.4375,1.0,7
2,PGF,23.375,30,5,104.975,0.22727272727272727,0.05,0.625,2.2,10
3,PGF,18.800000000000004,30,1,101.0,0.2,0.05,0.25,1.0,4
4,PGF,18.8,30,1,101.0,0.15000000000000002,0.05,0.375,2.0,6
5,PGF,17.800000000000004,30,0,100.0,0.2,0.05,0.25,1.0,4
6,PGF,19.000000000000004,30,1,101.0,0.07500000000000001,0.05,0.375,4.0,6
7,PGF,17.790000000000003,30,0,99.99,0.25,0.05,0.3125,1.0,5
8,PGF,18.190000000000005,30,0,99.99,0.35000000000000003,0.05,0.4375,1.0,7
9,PGF,104.18500000000003,30,1,185.985,0.08750000000000001,0.05,0.4375,4.0,7
10,PGF,1462.5700000000004,30,0,1544.97,0.4,0.05,0.5,1.0,8
11,PGF,2143.1900000000005,30,1,2225.99,0.11666666666666668,0.05,0.4375,3.0,7
12,PGF,1972.2000000000007,30,0,2055.0,0.35000000000000003,0.05,0.4375,1.0,7
13,PGF,357.2,30,0,440.0,0.35000000000000003,0.05,0.4375,1.0,7
14,PGF,698.1850000000001,30,1,780.985,0.35000000000000003,0.05,0.4375,1.0,7
15,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
16,PGF,2143.185000000001,30,1,2225.985,0.11666666666666668,0.05,0.4375,3.0,7
17,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
18,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
19,PGF,1973.3750000000007,30,1,2055.975,0.2,0.05,0.5,2.0,8
20,PGF,18.000000000000004,30,0,100.0,0.30000000000000004,0.05,0.375,1.0,6
21,PGF,2143.185000000001,30,1,2225.985,0.08750000000000001,0.05,0.4375,4.0,7
22,PGF,2058.1850000000004,30,1,2140.985,0.08750000000000001,0.05,0.4375,4.0,7
23,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
24,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
25,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
26,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
27,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
28,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
29,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
30,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
31,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
32,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
33,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
34,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
35,PGF,2057.1750000000006,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
36,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
37,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
38,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
39,PGF,2142.1900000000005,30,0,2224.99,0.35000000000000003,0.05,0.4375,1.0,7
40,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
41,PGF,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
42,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
43,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
44,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
45,PGF,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
46,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
47,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
48,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
49,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
50,PGF,1972.3750000000007,30,0,2054.975,0.4,0.05,0.5,1.0,8
51,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
52,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
53,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
54,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
55,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
56,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
57,PGF,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
58,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
59,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
60,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
61,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
62,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
63,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
64,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
65,PGF,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
66,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
67,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
68,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
69,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
70,PGF,2144.1750000000006,30,2,2226.975,0.23333333333333336,0.05,0.4375,1.5,7
71,PGF,2059.1750000000006,30,2,2141.975,0.35000000000000003,0.05,0.4375,1.0,7
72,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
73,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
74,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
75,PGF,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
76,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
77,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
78,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
79,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
80,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
81,PGF,2144.1750000000006,30,2,2226.975,0.17500000000000002,0.05,0.4375,2.0,7
82,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
83,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
84,PGF,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
85,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
86,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
87,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
88,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
89,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
90,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
91,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
92,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
93,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
94,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
95,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
96,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
97,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
98,PGF,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
99,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
100,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
1,Control,19.590000000000003,30,1,100.99,0.35000000000000003,0.05,0.4375,1.0,7
2,Control,784.3900000000001,30,2,866.99,0.16,0.05,0.5,2.5,8
3,Control,18.6,30,1,101.0,0.1,0.05,0.25,2.0,4
4,Control,19.0,30,1,101.0,0.15000000000000002,0.05,0.375,2.0,6
5,Control,17.800000000000004,30,0,100.0,0.25,0.05,0.3125,1.0,5
6,Control,18.990000000000002,30,1,100.99,0.15000000000000002,0.05,0.375,2.0,6
7,Control,1377.1900000000003,30,0,1459.99,0.35000000000000003,0.05,0.4375,1.0,7
8,Control,1123.1900000000003,30,1,1205.99,0.17500000000000002,0.05,0.4375,2.0,7
9,Control,1123.3750000000002,30,1,1205.975,0.17500000000000002,0.05,0.4375,2.0,7
10,Control,18.000000000000004,30,0,100.0,0.30000000000000004,0.05,0.375,1.0,6
11,Control,1548.2000000000005,30,1,1631.0,0.17500000000000002,0.05,0.4375,2.0,7
12,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
13,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
