episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
1,PGF,18.200000000000003,30,1,101.0,0.1,0.05,0.125,1.0,2
2,PGF,18.790000000000003,30,1,100.99,0.05000000000000001,0.05,0.1875,3.0,3
3,PGF,17.6,30,0,100.0,0.2,0.05,0.25,1.0,4
4,PGF,20.37,30,2,101.97,0.14,0.05,0.4375,2.5,7
5,PGF,19.400000000000002,30,1,101.0,0.06666666666666667,0.05,0.25,3.0,4
6,PGF,17.800000000000004,30,0,100.0,0.25,0.05,0.3125,1.0,5
7,PGF,188.20000000000002,30,1,271.0,0.35000000000000003,0.05,0.4375,1.0,7
8,PGF,18.17,30,0,99.97,0.30000000000000004,0.05,0.375,1.0,6
9,PGF,1208.2000000000003,30,1,1291.0,0.08750000000000001,0.05,0.4375,4.0,7
10,PGF,18.6,30,1,101.0,0.1,0.05,0.25,2.0,4
11,PGF,18.000000000000004,30,0,100.0,0.25,0.05,0.3125,1.0,5
12,PGF,17.790000000000003,30,0,99.99,0.25,0.05,0.3125,1.0,5
13,PGF,1802.5650000000005,30,0,1884.965,0.4,0.05,0.5,1.0,8
14,PGF,17.990000000000002,30,0,99.99,0.30000000000000004,0.05,0.375,1.0,6
15,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
16,PGF,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
17,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
18,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
19,PGF,1887.1850000000006,30,0,1969.9850000000001,0.35000000000000003,0.05,0.4375,1.0,7
20,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
21,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
22,PGF,2143.185000000001,30,1,2225.985,0.35000000000000003,0.05,0.4375,1.0,7
23,PGF,2143.2000000000007,30,1,2226.0,0.17500000000000002,0.05,0.4375,2.0,7
24,PGF,2142.2000000000007,30,0,2225.0,0.35000000000000003,0.05,0.4375,1.0,7
25,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
26,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
27,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
28,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
29,PGF,2143.185000000001,30,1,2225.985,0.08750000000000001,0.05,0.4375,4.0,7
30,PGF,2142.2000000000007,30,0,2225.0,0.35000000000000003,0.05,0.4375,1.0,7
31,PGF,1972.3850000000007,30,0,2054.985,0.35000000000000003,0.05,0.4375,1.0,7
32,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
33,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
34,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
35,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
36,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
37,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
38,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
39,PGF,2143.185000000001,30,1,2225.985,0.35000000000000003,0.05,0.4375,1.0,7
40,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
41,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
42,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
43,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
44,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
45,PGF,2143.185000000001,30,1,2225.985,0.35000000000000003,0.05,0.4375,1.0,7
46,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
47,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
48,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
49,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
50,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
51,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
52,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
53,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
54,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
55,PGF,2143.185000000001,30,1,2225.985,0.11666666666666668,0.05,0.4375,3.0,7
56,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
57,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
58,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
59,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
60,PGF,2143.185000000001,30,1,2225.985,0.11666666666666668,0.05,0.4375,3.0,7
61,PGF,2143.185000000001,30,1,2225.985,0.11666666666666668,0.05,0.4375,3.0,7
62,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
63,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
64,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
65,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
66,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
67,PGF,2142.185000000001,30,0,2224.985,0.35000000000000003,0.05,0.4375,1.0,7
68,PGF,2143.185000000001,30,1,2225.985,0.35000000000000003,0.05,0.4375,1.0,7
69,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
70,PGF,2060.185000000001,30,2,2141.985,0.14,0.05,0.4375,2.5,7
71,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
72,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
73,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
74,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
75,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
76,PGF,2058.3750000000005,30,1,2140.975,0.2,0.05,0.5,2.0,8
77,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
78,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
79,PGF,2144.1750000000006,30,2,2226.975,0.14,0.05,0.4375,2.5,7
80,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
81,PGF,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
82,PGF,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
83,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
84,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
85,PGF,2143.185000000001,30,1,2225.985,0.17500000000000002,0.05,0.4375,2.0,7
