episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
1,23.580000000000002,30,1,100.97999999999999,False,False,0.1720768383829392,PGF,balanced,5.0,0.3,456
2,88.575,29,2,185.975,True,False,0.1487961724013477,PGF,balanced,5.0,0.3,456
3,20.799999999999997,30,0,100.0,False,False,0.12802187455153333,PGF,balanced,5.0,0.3,456
4,20.99,30,0,99.99,False,False,0.1101479970834256,PGF,balanced,5.0,0.3,456
5,24.0,30,1,101.0,False,False,0.09476959546164541,PGF,balanced,5.0,0.3,456
6,23.8,30,1,101.0,False,False,0.08153826180935046,PGF,balanced,5.0,0.3,456
7,30.4,30,3,103.0,False,False,0.0701542314969669,PGF,balanced,5.0,0.3,456
8,91.975,12,2,185.975,True,False,0.06605882437909487,PGF,balanced,5.0,0.3,456
9,20.99,30,0,99.99,False,False,0.056835968232242344,PGF,balanced,5.0,0.3,456
10,90.775,18,2,185.975,True,False,0.05193243859442102,PGF,balanced,5.0,0.3,456
11,89.975,6,1,184.975,True,False,0.0503938107558585,PGF,balanced,5.0,0.3,456
12,118.8,8,4,188.0,True,False,0.04841298343241028,PGF,balanced,5.0,0.3,456
13,89.985,6,1,184.985,True,False,0.04697862821873128,PGF,balanced,5.0,0.3,456
14,89.975,6,1,184.975,True,False,0.04558676935072533,PGF,balanced,5.0,0.3,456
15,3.975000000000019,30,1,100.975,False,False,0.03922213570982547,PGF,balanced,5.0,0.3,456
16,0.9750000000000156,30,0,99.975,False,False,0.03374610553786674,PGF,balanced,5.0,0.3,456
17,92.575,8,2,185.975,True,False,0.032419648837991116,PGF,balanced,5.0,0.3,456
18,89.985,6,1,184.985,True,False,0.03145913599537039,PGF,balanced,5.0,0.3,456
19,105.8,27,1,185.0,True,False,0.027477041581952112,PGF,balanced,5.0,0.3,456
20,116.0,6,3,187.0,True,False,0.026662965789565327,PGF,balanced,5.0,0.3,456
21,110.0,6,1,185.0,True,False,0.02587300902010077,PGF,balanced,5.0,0.3,456
22,113.0,6,2,186.0,True,False,0.02510645668743248,PGF,balanced,5.0,0.3,456
23,112.0,11,2,186.0,True,False,0.02375961026903957,PGF,balanced,5.0,0.3,456
24,113.0,6,2,186.0,True,False,0.023055672638094826,PGF,balanced,5.0,0.3,456
25,112.99,6,2,185.99,True,False,0.022372590912724668,PGF,balanced,5.0,0.3,456
26,87.98500000000001,16,1,184.985,True,False,0.020648360477296766,PGF,balanced,5.0,0.3,456
27,112.99,6,2,185.99,True,False,0.0200366013704472,PGF,balanced,5.0,0.3,456
28,115.99,6,3,186.99,True,False,0.01944296715081204,PGF,balanced,5.0,0.3,456
29,112.59,8,2,185.99,True,False,0.01867872328825086,PGF,balanced,5.0,0.3,456
30,116.0,6,3,187.0,True,False,0.018125319588791305,PGF,balanced,5.0,0.3,456
31,112.99,6,2,185.99,True,False,0.017588311852259692,PGF,balanced,5.0,0.3,456
32,92.975,6,2,185.975,True,False,0.017067214307417783,PGF,balanced,5.0,0.3,456
33,109.99,6,1,184.99,True,False,0.016561555575210152,PGF,balanced,5.0,0.3,456
34,92.975,6,2,185.975,True,False,0.016070878242359924,PGF,balanced,5.0,0.3,456
35,92.975,6,2,185.975,True,False,0.015594738447597808,PGF,balanced,5.0,0.3,456
36,119.0,6,4,188.0,True,False,0.015132705480150117,PGF,balanced,5.0,0.3,456
37,112.99,6,2,185.99,True,False,0.01468436139012258,PGF,balanced,5.0,0.3,456
38,109.99,6,1,184.99,True,False,0.014249300610427508,PGF,balanced,5.0,0.3,456
39,113.0,6,2,186.0,True,False,0.013827129589912309,PGF,balanced,5.0,0.3,456
40,110.0,6,1,185.0,True,False,0.013417466437357478,PGF,balanced,5.0,0.3,456
41,95.775,8,3,186.975,True,False,0.012890066668776227,PGF,balanced,5.0,0.3,456
42,112.99,6,2,185.99,True,False,0.012508166339149949,PGF,balanced,5.0,0.3,456
43,118.99,6,4,187.99,True,False,0.01213758075796651,PGF,balanced,5.0,0.3,456
44,116.0,6,3,187.0,True,False,0.011777974697622285,PGF,balanced,5.0,0.3,456
45,119.0,6,4,188.0,True,False,0.011429022862466342,PGF,balanced,5.0,0.3,456
46,112.99,6,2,185.99,True,False,0.011090409594541594,PGF,balanced,5.0,0.3,456
47,89.985,6,1,184.985,True,False,0.01076182858804413,PGF,balanced,5.0,0.3,456
48,92.975,6,2,185.975,True,False,0.010442982612242382,PGF,balanced,5.0,0.3,456
49,119.0,6,4,188.0,True,False,0.010133583242605491,PGF,balanced,5.0,0.3,456
50,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
51,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
52,89.975,6,1,184.975,True,False,0.01,PGF,balanced,5.0,0.3,456
53,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
54,109.99,6,1,184.99,True,False,0.01,PGF,balanced,5.0,0.3,456
55,109.99,6,1,184.99,True,False,0.01,PGF,balanced,5.0,0.3,456
56,112.99,6,2,185.99,True,False,0.01,PGF,balanced,5.0,0.3,456
57,89.985,6,1,184.985,True,False,0.01,PGF,balanced,5.0,0.3,456
58,95.975,6,3,186.975,True,False,0.01,PGF,balanced,5.0,0.3,456
59,115.99,6,3,186.99,True,False,0.01,PGF,balanced,5.0,0.3,456
60,112.99,6,2,185.99,True,False,0.01,PGF,balanced,5.0,0.3,456
61,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
62,89.985,6,1,184.985,True,False,0.01,PGF,balanced,5.0,0.3,456
63,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
64,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
65,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
66,92.985,6,2,185.985,True,False,0.01,PGF,balanced,5.0,0.3,456
67,89.985,6,1,184.985,True,False,0.01,PGF,balanced,5.0,0.3,456
68,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
69,115.99,6,3,186.99,True,False,0.01,PGF,balanced,5.0,0.3,456
70,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
71,92.985,6,2,185.985,True,False,0.01,PGF,balanced,5.0,0.3,456
72,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
73,89.985,6,1,184.985,True,False,0.01,PGF,balanced,5.0,0.3,456
74,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
75,109.6,23,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
76,92.985,6,2,185.985,True,False,0.01,PGF,balanced,5.0,0.3,456
77,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
78,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
79,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
80,112.99,6,2,185.99,True,False,0.01,PGF,balanced,5.0,0.3,456
81,114.8,12,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
82,89.985,6,1,184.985,True,False,0.01,PGF,balanced,5.0,0.3,456
83,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
84,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
85,92.985,6,2,185.985,True,False,0.01,PGF,balanced,5.0,0.3,456
86,107.4,19,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
87,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
88,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
89,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
90,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
91,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
92,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
93,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
94,109.0,11,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
95,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
96,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
97,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
98,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
99,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
100,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
101,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
102,107.6,18,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
103,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
104,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
105,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
106,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
107,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
108,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
109,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
110,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
111,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
112,109.2,10,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
113,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
114,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
115,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
116,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
117,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
118,109.99,6,1,184.99,True,False,0.01,PGF,balanced,5.0,0.3,456
119,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
120,112.4,9,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
121,115.4,9,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
122,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
123,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
124,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
125,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
126,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
127,109.8,7,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
128,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
129,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
130,20.799999999999997,30,0,100.0,False,False,0.01,PGF,balanced,5.0,0.3,456
131,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
132,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
133,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
134,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
135,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
136,109.4,9,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
137,109.8,7,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
138,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
139,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
140,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
141,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
142,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
143,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
144,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
145,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
146,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
147,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
148,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
149,116.8,17,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
150,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
151,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
152,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
153,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
154,122.0,6,5,189.0,True,False,0.01,PGF,balanced,5.0,0.3,456
155,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
156,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
157,107.4,19,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
158,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
159,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
160,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
161,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
162,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
163,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
164,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
165,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
166,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
167,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
168,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
169,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
170,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
171,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
172,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
173,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
174,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
175,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
176,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
177,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
178,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
179,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
180,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
181,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
182,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
183,109.8,7,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
184,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
185,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
186,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
187,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
188,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
189,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
190,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
191,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
192,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
193,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
194,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
195,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
196,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
197,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
198,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
199,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
200,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
201,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
202,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
203,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
204,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
205,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
206,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
207,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
208,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
209,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
210,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
211,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
212,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
213,112.8,8,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
214,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
215,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
216,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
217,112.8,7,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
218,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
219,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
220,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
221,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
222,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
223,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
224,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
225,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
226,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
227,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
228,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
229,119.0,6,4,188.0,True,False,0.01,PGF,balanced,5.0,0.3,456
230,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
231,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
232,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
233,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
234,109.8,8,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
235,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
236,110.0,6,1,185.0,True,False,0.01,PGF,balanced,5.0,0.3,456
237,113.0,6,2,186.0,True,False,0.01,PGF,balanced,5.0,0.3,456
238,116.0,6,3,187.0,True,False,0.01,PGF,balanced,5.0,0.3,456
