episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
1,24.58,30,1,100.97999999999999,False,False,0.1720768383829392,PGF,favorable,10.0,0.4,456
2,24.789999999999996,30,1,100.99,False,False,0.14805219153934096,PGF,favorable,10.0,0.4,456
3,22.999999999999996,30,0,100.0,False,False,0.12738176517877567,PGF,favorable,10.0,0.4,456
4,24.99,30,1,100.99,False,False,0.10959725709800847,PGF,favorable,10.0,0.4,456
5,23.999999999999996,30,0,100.0,False,False,0.09429574748433718,PGF,favorable,10.0,0.4,456
6,22.999999999999996,30,0,100.0,False,False,0.08113057050030371,PGF,favorable,10.0,0.4,456
7,25.0,30,1,101.0,False,False,0.06980346033948207,PGF,favorable,10.0,0.4,456
8,26.0,30,2,102.0,False,False,0.06005779381703479,PGF,favorable,10.0,0.4,456
9,23.799999999999997,30,0,100.0,False,False,0.05167277640144891,PGF,favorable,10.0,0.4,456
10,109.00000000000001,24,1,185.0,True,False,0.0458158485936938,PGF,favorable,10.0,0.4,456
11,25.79,30,2,101.99,False,False,0.039419231869171324,PGF,favorable,10.0,0.4,456
12,24.599999999999998,30,1,101.0,False,False,0.03391568395765502,PGF,favorable,10.0,0.4,456
13,23.985,30,0,99.985,False,False,0.029180518335141254,PGF,favorable,10.0,0.4,456
14,23.99,30,0,99.99,False,False,0.02510645668743248,PGF,favorable,10.0,0.4,456
15,110.58500000000001,6,1,184.985,True,False,0.02436261537682825,PGF,favorable,10.0,0.4,456
16,110.58500000000001,6,1,184.985,True,False,0.02364081221769437,PGF,favorable,10.0,0.4,456
17,24.985,30,1,100.985,False,False,0.02034018111612805,PGF,favorable,10.0,0.4,456
18,110.58500000000001,6,1,184.985,True,False,0.019737552590418102,PGF,favorable,10.0,0.4,456
19,27.379999999999995,30,3,102.97999999999999,False,False,0.016981878235880692,PGF,favorable,10.0,0.4,456
20,111.58500000000001,6,2,185.985,True,False,0.0164787477973341,PGF,favorable,10.0,0.4,456
21,110.58500000000001,6,1,184.985,True,False,0.015990523851148124,PGF,favorable,10.0,0.4,456
22,112.58500000000001,6,3,186.985,True,False,0.015516764755359819,PGF,favorable,10.0,0.4,456
23,108.98500000000001,22,1,184.985,True,False,0.0138966126531782,PGF,favorable,10.0,0.4,456
24,111.58500000000001,6,2,185.985,True,False,0.013484890891816561,PGF,favorable,10.0,0.4,456
25,23.999999999999996,30,0,100.0,False,False,0.011602186953013436,PGF,favorable,10.0,0.4,456
26,110.10000000000001,21,2,186.0,True,False,0.010442982612242382,PGF,favorable,10.0,0.4,456
27,111.075,11,2,185.975,True,False,0.01,PGF,favorable,10.0,0.4,456
28,111.575,6,2,185.975,True,False,0.01,PGF,favorable,10.0,0.4,456
29,110.575,6,1,184.975,True,False,0.01,PGF,favorable,10.0,0.4,456
30,111.575,6,2,185.975,True,False,0.01,PGF,favorable,10.0,0.4,456
31,110.575,6,1,184.975,True,False,0.01,PGF,favorable,10.0,0.4,456
32,110.575,6,1,184.975,True,False,0.01,PGF,favorable,10.0,0.4,456
33,110.575,6,1,184.975,True,False,0.01,PGF,favorable,10.0,0.4,456
34,108.275,29,1,184.975,True,False,0.01,PGF,favorable,10.0,0.4,456
35,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
36,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
37,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
38,112.59,6,3,186.99,True,False,0.01,PGF,favorable,10.0,0.4,456
39,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
40,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
41,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
42,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
43,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
44,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
45,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
46,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
47,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
48,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
