episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
1,20.400000000000002,30,2,102.0,False,False,0.1720768383829392,PGF,harsh,3.33,0.1,42
2,17.6,30,0,100.0,False,False,0.14805219153934096,PGF,harsh,3.33,0.1,42
3,20.200000000000003,30,2,102.0,False,False,0.12738176517877567,PGF,harsh,3.33,0.1,42
4,18.8,30,1,101.0,False,False,0.10959725709800847,PGF,harsh,3.33,0.1,42
5,18.000000000000004,30,0,100.0,False,False,0.09429574748433718,PGF,harsh,3.33,0.1,42
6,17.6,30,0,100.0,False,False,0.08113057050030371,PGF,harsh,3.33,0.1,42
7,18.8,30,1,101.0,False,False,0.06980346033948207,PGF,harsh,3.33,0.1,42
8,18.6,30,1,101.0,False,False,0.06005779381703479,PGF,harsh,3.33,0.1,42
9,17.6,30,0,100.0,False,False,0.05167277640144891,PGF,harsh,3.33,0.1,42
10,17.6,30,0,100.0,False,False,0.04445843996814939,PGF,harsh,3.33,0.1,42
11,17.800000000000004,30,0,100.0,False,False,0.03825133894578426,PGF,harsh,3.33,0.1,42
12,17.800000000000004,30,0,100.0,False,False,0.032910847348523745,PGF,harsh,3.33,0.1,42
13,17.6,30,0,100.0,False,False,0.028315972801187538,PGF,harsh,3.33,0.1,42
14,17.6,30,0,100.0,False,False,0.02436261537682825,PGF,harsh,3.33,0.1,42
15,17.6,30,0,100.0,False,False,0.020961209143920925,PGF,harsh,3.33,0.1,42
16,17.800000000000004,30,0,100.0,False,False,0.018034692990847347,PGF,harsh,3.33,0.1,42
17,17.6,30,0,100.0,False,False,0.015516764755359819,PGF,harsh,3.33,0.1,42
18,17.6,30,0,100.0,False,False,0.01335037910517069,PGF,harsh,3.33,0.1,42
19,17.6,30,0,100.0,False,False,0.011486455138157128,PGF,harsh,3.33,0.1,42
20,19.6,30,2,102.0,False,False,0.01,PGF,harsh,3.33,0.1,42
21,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
22,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
23,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
24,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
25,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
26,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
27,18.6,30,1,101.0,False,False,0.01,PGF,harsh,3.33,0.1,42
28,17.800000000000004,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
29,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
30,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
31,18.6,30,1,101.0,False,False,0.01,PGF,harsh,3.33,0.1,42
32,19.6,30,2,102.0,False,False,0.01,PGF,harsh,3.33,0.1,42
33,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
34,19.6,30,2,102.0,False,False,0.01,PGF,harsh,3.33,0.1,42
35,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
36,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
37,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
38,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
39,20.0,30,2,102.0,False,False,0.01,PGF,harsh,3.33,0.1,42
40,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
41,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
42,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
43,18.800000000000004,30,1,101.0,False,False,0.01,PGF,harsh,3.33,0.1,42
44,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
45,18.800000000000004,30,1,101.0,False,False,0.01,PGF,harsh,3.33,0.1,42
46,20.0,30,2,102.0,False,False,0.01,PGF,harsh,3.33,0.1,42
47,18.6,30,1,101.0,False,False,0.01,PGF,harsh,3.33,0.1,42
48,108.30000000000001,13,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
49,17.985000000000003,30,0,99.985,False,False,0.01,PGF,harsh,3.33,0.1,42
50,17.6,30,0,100.0,False,False,0.01,PGF,harsh,3.33,0.1,42
51,18.790000000000003,30,1,100.99,False,False,0.01,PGF,harsh,3.33,0.1,42
52,18.975,30,1,100.975,False,False,0.01,PGF,harsh,3.33,0.1,42
53,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
54,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
55,107.9,11,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
56,107.30000000000001,13,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
57,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
58,17.985000000000003,30,0,99.985,False,False,0.01,PGF,harsh,3.33,0.1,42
59,18.790000000000003,30,1,100.99,False,False,0.01,PGF,harsh,3.33,0.1,42
60,17.790000000000003,30,0,99.99,False,False,0.01,PGF,harsh,3.33,0.1,42
61,19.185000000000002,30,1,100.985,False,False,0.01,PGF,harsh,3.33,0.1,42
62,17.985000000000003,30,0,99.985,False,False,0.01,PGF,harsh,3.33,0.1,42
63,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
64,18.985000000000003,30,1,100.985,False,False,0.01,PGF,harsh,3.33,0.1,42
65,19.985,30,2,101.985,False,False,0.01,PGF,harsh,3.33,0.1,42
66,18.985000000000003,30,1,100.985,False,False,0.01,PGF,harsh,3.33,0.1,42
67,108.485,9,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,42
68,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
69,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
70,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
71,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
72,111.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,42
73,107.385,16,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,42
74,108.485,9,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,42
75,109.10000000000001,7,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
76,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
77,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
78,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
79,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
80,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
81,112.4,6,4,188.0,True,False,0.01,PGF,harsh,3.33,0.1,42
82,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
83,108.58500000000001,12,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,42
84,111.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,42
85,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
86,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
87,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
88,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
89,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
90,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
91,109.10000000000001,7,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
92,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
93,111.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,42
94,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
95,111.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,42
96,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
97,111.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,42
98,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
99,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
100,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
101,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
102,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
103,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
104,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
105,110.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,42
106,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,42
