episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
1,PGF,22.349999999999998,-427.64999999999975,5,1,30,False,0,0,0.1720768383829392,1.0,0.4,42,4
2,PGF,22.59,22.589999999999996,1,2,30,False,0,0,0.14805219153934096,1.0,0.4,42,4
3,PGF,22.349999999999998,-327.64999999999975,4,1,30,False,0,0,0.12738176517877567,1.0,0.4,42,4
4,PGF,22.98,22.97999999999996,1,2,30,False,0,0,0.10959725709800847,1.0,0.4,42,4
5,PGF,22.18,-27.82000000000006,1,1,30,False,0,0,0.09429574748433718,1.0,0.4,42,4
6,PGF,21.779999999999998,-28.220000000000024,1,1,30,False,0,0,0.08113057050030371,1.0,0.4,42,4
7,PGF,22.98,22.979999999999993,1,2,30,False,0,0,0.06980346033948207,1.0,0.4,42,4
8,PGF,21.97,-128.02999999999972,2,1,30,False,0,0,0.06005779381703479,1.0,0.4,42,4
9,PGF,23.98,73.97999999999995,1,3,30,False,0,0,0.05167277640144891,1.0,0.4,42,4
10,PGF,22.009999999999998,-1727.9900000000007,18,1,30,False,0,0,0.04445843996814939,1.0,0.4,42,4
11,PGF,20.0,20.0,0,0,30,False,0,0,0.03825133894578426,1.0,0.4,42,4
12,PGF,22.78,22.78000000000001,1,2,30,False,0,0,0.032910847348523745,1.0,0.4,42,4
13,PGF,20.0,20.0,0,0,30,False,0,0,0.028315972801187538,1.0,0.4,42,4
14,PGF,20.0,20.0,0,0,30,False,0,0,0.02436261537682825,1.0,0.4,42,4
15,PGF,21.59,-28.41000000000002,1,1,30,False,0,0,0.020961209143920925,1.0,0.4,42,4
16,PGF,21.2,71.19999999999995,0,1,30,False,0,0,0.018034692990847347,1.0,0.4,42,4
17,PGF,20.0,20.0,0,0,30,False,0,0,0.015516764755359819,1.0,0.4,42,4
18,PGF,20.0,20.0,0,0,30,False,0,0,0.01335037910517069,1.0,0.4,42,4
19,PGF,20.0,20.0,0,0,30,False,0,0,0.011486455138157128,1.0,0.4,42,4
20,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
21,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
22,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
23,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
24,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
25,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
26,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
27,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
28,PGF,21.779999999999998,-28.220000000000024,1,1,30,False,0,0,0.01,1.0,0.4,42,4
29,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
30,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
31,PGF,21.2,71.19999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
32,PGF,23.78,73.77999999999994,1,3,30,False,0,0,0.01,1.0,0.4,42,4
33,PGF,26.18,176.18,1,5,30,False,0,0,0.01,1.0,0.4,42,4
34,PGF,23.78,73.77999999999994,1,3,30,False,0,0,0.01,1.0,0.4,42,4
35,PGF,22.78,22.780000000000015,1,2,30,False,0,0,0.01,1.0,0.4,42,4
36,PGF,22.4,122.39999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
37,PGF,23.400000000000002,173.40000000000015,0,3,30,False,0,0,0.01,1.0,0.4,42,4
38,PGF,21.78,-28.22000000000003,1,1,30,False,0,0,0.01,1.0,0.4,42,4
39,PGF,21.98,-28.020000000000028,1,1,30,False,0,0,0.01,1.0,0.4,42,4
40,PGF,21.2,71.19999999999992,0,1,30,False,0,0,0.01,1.0,0.4,42,4
41,PGF,21.78,-28.220000000000045,1,1,30,False,0,0,0.01,1.0,0.4,42,4
42,PGF,21.2,71.19999999999992,0,1,30,False,0,0,0.01,1.0,0.4,42,4
43,PGF,22.779999999999998,72.77999999999994,1,3,30,False,0,0,0.01,1.0,0.4,42,4
44,PGF,22.2,122.19999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
45,PGF,23.779999999999998,73.78000000000002,1,3,30,False,0,0,0.01,1.0,0.4,42,4
46,PGF,23.18,23.179999999999957,1,2,30,False,0,0,0.01,1.0,0.4,42,4
47,PGF,22.78,22.779999999999998,1,2,30,False,0,0,0.01,1.0,0.4,42,4
48,PGF,22.78,22.780000000000015,1,2,30,False,0,0,0.01,1.0,0.4,42,4
49,PGF,21.2,71.2,0,1,30,False,0,0,0.01,1.0,0.4,42,4
50,PGF,25.8,275.8000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
51,PGF,24.6,224.59999999999997,0,4,30,False,0,0,0.01,1.0,0.4,42,4
