group,seed,mean_reward_env,std_reward_env,mean_reward_shaped,mean_tripwires,total_tripwires,mean_resources,mean_steps,success_rate,survival_rate,final_epsilon
Curriculum,42,115.9316,1.2635298143837899,39.93159999999998,1.36,68,1.2,7.26,1.0,1.0,0.01
Curriculum,123,34.232400000000005,27.37466939955063,124.2324,0.26,13,2.32,28.34,0.1,1.0,0.01
Curriculum,456,116.17439999999999,1.0786672805090627,170.17440000000002,0.1,5,1.28,6.78,1.0,1.0,0.01
Curriculum,789,116.40459999999999,1.0334037478751696,137.4046,0.54,27,1.5,6.62,1.0,1.0,0.01
Curriculum,101112,114.08059999999998,13.614462959421845,80.08059999999999,0.94,47,1.2,7.52,0.98,1.0,0.01
Curriculum,131415,116.01299999999999,0.8989160138744889,58.01299999999999,1.1,55,1.04,6.08,1.0,1.0,0.01
Curriculum,161718,115.94699999999999,1.0067025379922314,51.946999999999996,1.16,58,1.04,6.4,1.0,1.0,0.01
Curriculum,192021,116.527,1.0653930002107013,183.52699999999996,0.1,5,1.54,6.12,1.0,1.0,0.01
Curriculum,222324,116.3932,0.9236560893690744,125.3932,0.64,32,1.46,6.42,1.0,1.0,0.01
Curriculum,252627,116.292,1.0022098032826852,181.292,0.0,0,1.3,6.04,1.0,1.0,0.01
DirectoS1,42,116.478,1.166302372667481,190.47799999999998,0.02,1,1.52,6.16,1.0,1.0,0.01
DirectoS1,123,21.3458,1.0325599058571244,62.345799999999954,0.16,8,1.14,30.0,0.0,1.0,0.01
DirectoS1,456,29.173000000000005,2.49793077631573,354.1730000000001,0.02,1,6.54,30.0,0.0,1.0,0.01
DirectoS1,789,26.563200000000002,1.9024403661977887,192.56320000000008,0.06,3,3.44,30.0,0.0,1.0,0.01
DirectoS1,101112,24.087,1.8148280966549322,135.08700000000002,0.04,2,2.3,30.0,0.0,1.0,0.01
DirectoS1,131415,20.1782,0.5392689306754439,12.178199999999995,0.12,6,0.08,30.0,0.0,1.0,0.01
DirectoS1,161718,21.774199999999997,1.3756484037035934,82.77419999999996,0.14,7,1.5,30.0,0.0,1.0,0.01
DirectoS1,192021,116.26799999999999,1.0385311448269183,190.26800000000003,0.0,0,1.48,7.08,1.0,1.0,0.01
DirectoS1,222324,26.551,2.20626496641741,194.55100000000004,0.08,4,3.52,30.0,0.0,1.0,0.01
DirectoS1,252627,116.528,1.3072857064801662,212.528,0.0,0,1.92,9.22,1.0,1.0,0.01
ControlS0,42,116.00119999999998,0.9162715932806497,116.00119999999998,1.08,54,1.02,6.06,1.0,1.0,0.01
ControlS0,123,113.9624,13.536554826521725,113.9624,2.54,127,0.9,6.5,0.98,1.0,0.01
ControlS0,456,116.215,1.0723581681585344,116.215,0.5,25,1.24,6.14,1.0,1.0,0.01
ControlS0,789,115.93639999999998,0.9426964365205648,115.93639999999998,1.7,85,0.96,6.02,1.0,1.0,0.01
ControlS0,101112,115.7648,0.7377136217768385,115.7648,1.52,76,0.78,6.0,1.0,1.0,0.01
ControlS0,131415,115.7118,0.8944287653729229,115.7118,1.84,92,0.86,6.7,1.0,1.0,0.01
ControlS0,161718,116.3014,1.0807405057720034,116.3014,1.02,51,1.32,6.06,1.0,1.0,0.01
ControlS0,192021,115.927,0.8288281621958667,115.927,1.36,68,0.96,6.12,1.0,1.0,0.01
ControlS0,222324,115.79439999999998,0.6977870559921588,115.79439999999998,2.16,108,0.84,6.16,1.0,1.0,0.01
ControlS0,252627,106.73419999999999,27.943172806426187,106.73419999999999,3.28,164,1.1,9.04,0.9,1.0,0.01
