episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,0.0,ControlS0,22.6,22.6,0,2,30,False,0,0,0.1720768383829392,0.25,789,4
2,,0.0,ControlS0,20.599999999999998,20.599999999999998,0,0,30,False,0,0,0.14805219153934096,0.25,789,4
3,,0.0,ControlS0,20.950000000000003,20.950000000000003,25,0,30,False,0,0,0.12738176517877567,0.25,789,4
4,,0.0,ControlS0,22.8,22.8,0,2,30,False,0,0,0.10959725709800847,0.25,789,4
5,,0.0,ControlS0,22.6,22.6,0,2,30,False,0,0,0.09429574748433718,0.25,789,4
6,,0.0,ControlS0,22.0,22.0,0,1,30,False,0,0,0.08113057050030371,0.25,789,4
7,,0.0,ControlS0,23.8,23.8,0,3,30,False,0,0,0.06980346033948207,0.25,789,4
8,,0.0,ControlS0,22.6,22.6,0,2,30,False,0,0,0.06005779381703479,0.25,789,4
9,,0.0,ControlS0,24.8,24.8,0,4,30,False,0,0,0.05167277640144891,0.25,789,4
10,,0.0,ControlS0,21.6,21.6,0,1,30,False,0,0,0.04445843996814939,0.25,789,4
11,,0.0,ControlS0,20.599999999999998,20.599999999999998,0,0,30,False,0,0,0.03825133894578426,0.25,789,4
12,,0.0,ControlS0,21.99,21.99,1,1,30,False,0,0,0.032910847348523745,0.25,789,4
13,,0.0,ControlS0,24.19,24.19,1,3,30,False,0,0,0.028315972801187538,0.25,789,4
14,,0.0,ControlS0,114.37,114.37,3,1,14,True,0,0,0.026397002705814413,0.25,789,4
15,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.025614925755125268,0.25,789,4
16,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.024856019781975342,0.25,789,4
17,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.02411959828844439,0.25,789,4
18,,0.0,ControlS0,23.990000000000002,23.990000000000002,1,3,30,False,0,0,0.020752121082710316,0.25,789,4
19,,0.0,ControlS0,20.97,20.97,3,0,30,False,0,0,0.017854796928263642,0.25,789,4
20,,0.0,ControlS0,20.6,20.6,20,1,30,False,0,0,0.015361985026925104,0.25,789,4
21,,0.0,ControlS0,20.75,20.75,25,0,30,False,0,0,0.013217209073596614,0.25,789,4
22,,0.0,ControlS0,22.990000000000002,22.990000000000002,1,2,30,False,0,0,0.01137187774815401,0.25,789,4
23,,0.0,ControlS0,21.98,21.98,1,1,30,False,0,0,0.01,0.25,789,4
24,,0.0,ControlS0,113.58,113.58,1,1,18,True,0,0,0.01,0.25,789,4
25,,0.0,ControlS0,114.38,114.38,1,0,10,True,0,0,0.01,0.25,789,4
26,,0.0,ControlS0,115.99,115.99,0,1,6,True,0,0,0.01,0.25,789,4
27,,0.0,ControlS0,114.98,114.98,1,0,6,True,0,0,0.01,0.25,789,4
28,,0.0,ControlS0,115.98,115.98,1,1,6,True,0,0,0.01,0.25,789,4
29,,0.0,ControlS0,114.98,114.98,1,0,6,True,0,0,0.01,0.25,789,4
30,,0.0,ControlS0,114.98,114.98,1,0,6,True,0,0,0.01,0.25,789,4
31,,0.0,ControlS0,116.99,116.99,0,2,6,True,0,0,0.01,0.25,789,4
32,,0.0,ControlS0,116.99,116.99,0,2,6,True,0,0,0.01,0.25,789,4
33,,0.0,ControlS0,117.99,117.99,0,3,6,True,0,0,0.01,0.25,789,4
34,,0.0,ControlS0,115.78,115.78,1,1,8,True,0,0,0.01,0.25,789,4
