episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,1.0,DirectoS1,22.59,-1977.4100000000008,21,2,30,False,0,0,0.1720768383829392,0.25,222324,4
2,,1.0,DirectoS1,23.53,-576.4700000000006,7,2,30,False,0,0,0.14805219153934096,0.25,222324,4
3,,1.0,DirectoS1,24.8,124.79999999999995,0,2,30,False,0,0,0.12738176517877567,0.25,222324,4
4,,1.0,DirectoS1,22.59,122.58999999999992,0,2,30,False,0,0,0.10959725709800847,0.25,222324,4
5,,1.0,DirectoS1,21.39,21.39,0,0,30,False,0,0,0.09429574748433718,0.25,222324,4
6,,1.0,DirectoS1,21.0,21.0,0,0,30,False,0,0,0.08113057050030371,0.25,222324,4
7,,1.0,DirectoS1,29.4,379.40000000000015,0,7,30,False,0,0,0.06980346033948207,0.25,222324,4
8,,1.0,DirectoS1,22.47,-1077.53,12,2,30,False,0,0,0.06005779381703479,0.25,222324,4
9,,1.0,DirectoS1,22.97,72.96999999999996,0,1,30,False,0,0,0.05167277640144891,0.25,222324,4
10,,1.0,DirectoS1,20.799999999999997,20.799999999999997,0,0,30,False,0,0,0.04445843996814939,0.25,222324,4
11,,1.0,DirectoS1,21.59,-28.41000000000008,1,1,30,False,0,0,0.03825133894578426,0.25,222324,4
12,,1.0,DirectoS1,20.4,20.4,0,0,30,False,0,0,0.032910847348523745,0.25,222324,4
13,,1.0,DirectoS1,21.6,71.59999999999992,0,1,30,False,0,0,0.028315972801187538,0.25,222324,4
14,,1.0,DirectoS1,22.6,72.59999999999995,0,1,30,False,0,0,0.02436261537682825,0.25,222324,4
15,,1.0,DirectoS1,25.400000000000002,175.40000000000006,0,3,30,False,0,0,0.020961209143920925,0.25,222324,4
16,,1.0,DirectoS1,30.0,380.00000000000006,0,7,30,False,0,0,0.018034692990847347,0.25,222324,4
17,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.015516764755359819,0.25,222324,4
18,,1.0,DirectoS1,27.0,227.0000000000001,0,4,30,False,0,0,0.01335037910517069,0.25,222324,4
19,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.011486455138157128,0.25,222324,4
20,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,222324,4
21,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
22,,1.0,DirectoS1,27.990000000000002,277.99000000000007,0,5,30,False,0,0,0.01,0.25,222324,4
23,,1.0,DirectoS1,28.0,278.0000000000001,0,5,30,False,0,0,0.01,0.25,222324,4
24,,1.0,DirectoS1,28.0,278.0000000000001,0,5,30,False,0,0,0.01,0.25,222324,4
25,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,222324,4
26,,1.0,DirectoS1,25.0,174.99999999999997,0,3,30,False,0,0,0.01,0.25,222324,4
27,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,222324,4
28,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
29,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
30,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
31,,1.0,DirectoS1,28.0,278.00000000000006,0,5,30,False,0,0,0.01,0.25,222324,4
32,,1.0,DirectoS1,25.990000000000002,175.98999999999995,0,3,30,False,0,0,0.01,0.25,222324,4
33,,1.0,DirectoS1,27.2,227.20000000000005,0,4,30,False,0,0,0.01,0.25,222324,4
34,,1.0,DirectoS1,26.0,176.0,0,3,30,False,0,0,0.01,0.25,222324,4
35,,1.0,DirectoS1,26.0,176.0,0,3,30,False,0,0,0.01,0.25,222324,4
36,,1.0,DirectoS1,24.0,73.99999999999999,0,1,30,False,0,0,0.01,0.25,222324,4
37,,1.0,DirectoS1,26.2,176.2,0,3,30,False,0,0,0.01,0.25,222324,4
38,,1.0,DirectoS1,27.990000000000002,277.99000000000007,0,5,30,False,0,0,0.01,0.25,222324,4
39,,1.0,DirectoS1,29.0,329.0000000000001,0,6,30,False,0,0,0.01,0.25,222324,4
40,,1.0,DirectoS1,28.2,278.20000000000005,0,5,30,False,0,0,0.01,0.25,222324,4
41,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
42,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
43,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.01,0.25,222324,4
44,,1.0,DirectoS1,27.0,227.0,0,4,30,False,0,0,0.01,0.25,222324,4
45,,1.0,DirectoS1,28.0,278.00000000000006,0,5,30,False,0,0,0.01,0.25,222324,4
46,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
47,,1.0,DirectoS1,28.2,278.2,0,5,30,False,0,0,0.01,0.25,222324,4
48,,1.0,DirectoS1,31.2,431.20000000000005,0,8,30,False,0,0,0.01,0.25,222324,4
49,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
50,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
51,,1.0,DirectoS1,26.2,176.2,0,3,30,False,0,0,0.01,0.25,222324,4
52,,1.0,DirectoS1,26.2,176.2,0,3,30,False,0,0,0.01,0.25,222324,4
53,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.01,0.25,222324,4
54,,1.0,DirectoS1,29.0,329.0000000000001,0,6,30,False,0,0,0.01,0.25,222324,4
55,,1.0,DirectoS1,27.2,227.2000000000001,0,4,30,False,0,0,0.01,0.25,222324,4
56,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
57,,1.0,DirectoS1,28.2,278.20000000000005,0,5,30,False,0,0,0.01,0.25,222324,4
58,,1.0,DirectoS1,31.2,431.2000000000001,0,8,30,False,0,0,0.01,0.25,222324,4
59,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
60,,1.0,DirectoS1,30.0,380.0000000000001,0,7,30,False,0,0,0.01,0.25,222324,4
61,,1.0,DirectoS1,22.0,22.0,0,0,30,False,0,0,0.01,0.25,222324,4
62,,1.0,DirectoS1,30.0,380.0000000000001,0,7,30,False,0,0,0.01,0.25,222324,4
63,,1.0,DirectoS1,24.77,-125.2299999999998,3,3,30,False,0,0,0.01,0.25,222324,4
64,,1.0,DirectoS1,30.0,380.00000000000006,0,7,30,False,0,0,0.01,0.25,222324,4
65,,1.0,DirectoS1,25.0,174.99999999999994,0,3,30,False,0,0,0.01,0.25,222324,4
66,,1.0,DirectoS1,28.2,278.20000000000005,0,5,30,False,0,0,0.01,0.25,222324,4
67,,1.0,DirectoS1,28.0,278.00000000000006,0,5,30,False,0,0,0.01,0.25,222324,4
68,,1.0,DirectoS1,29.189999999999998,329.19000000000005,0,6,30,False,0,0,0.01,0.25,222324,4
69,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
70,,1.0,DirectoS1,26.0,176.0,0,3,30,False,0,0,0.01,0.25,222324,4
71,,1.0,DirectoS1,27.0,227.00000000000006,0,4,30,False,0,0,0.01,0.25,222324,4
72,,1.0,DirectoS1,27.2,227.20000000000002,0,4,30,False,0,0,0.01,0.25,222324,4
73,,1.0,DirectoS1,24.990000000000002,24.98999999999996,1,2,30,False,0,0,0.01,0.25,222324,4
74,,1.0,DirectoS1,27.19,127.19000000000008,1,4,30,False,0,0,0.01,0.25,222324,4
75,,1.0,DirectoS1,27.2,227.20000000000016,0,4,30,False,0,0,0.01,0.25,222324,4
76,,1.0,DirectoS1,27.990000000000002,327.9900000000001,0,6,30,False,0,0,0.01,0.25,222324,4
77,,1.0,DirectoS1,23.0,72.99999999999997,0,1,30,False,0,0,0.01,0.25,222324,4
78,,1.0,DirectoS1,21.4,21.4,0,0,30,False,0,0,0.01,0.25,222324,4
79,,1.0,DirectoS1,25.2,175.20000000000005,0,3,30,False,0,0,0.01,0.25,222324,4
80,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,222324,4
81,,1.0,DirectoS1,30.2,380.2000000000001,0,7,30,False,0,0,0.01,0.25,222324,4
82,,1.0,DirectoS1,26.2,176.20000000000002,0,3,30,False,0,0,0.01,0.25,222324,4
83,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.01,0.25,222324,4
84,,1.0,DirectoS1,28.2,278.2000000000001,0,5,30,False,0,0,0.01,0.25,222324,4
85,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
86,,1.0,DirectoS1,27.0,227.0,0,4,30,False,0,0,0.01,0.25,222324,4
87,,1.0,DirectoS1,27.8,277.8000000000001,0,5,30,False,0,0,0.01,0.25,222324,4
88,,1.0,DirectoS1,25.2,125.19999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
89,,1.0,DirectoS1,30.0,380.0000000000001,0,7,30,False,0,0,0.01,0.25,222324,4
90,,1.0,DirectoS1,29.0,329.0000000000001,0,6,30,False,0,0,0.01,0.25,222324,4
91,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
92,,1.0,DirectoS1,28.990000000000002,328.99,0,6,30,False,0,0,0.01,0.25,222324,4
93,,1.0,DirectoS1,26.200000000000003,226.20000000000013,0,4,30,False,0,0,0.01,0.25,222324,4
94,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
95,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.01,0.25,222324,4
96,,1.0,DirectoS1,25.0,175.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
97,,1.0,DirectoS1,27.2,227.20000000000005,0,4,30,False,0,0,0.01,0.25,222324,4
98,,1.0,DirectoS1,26.0,176.0000000000001,0,3,30,False,0,0,0.01,0.25,222324,4
99,,1.0,DirectoS1,25.2,125.19999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
100,,1.0,DirectoS1,24.8,124.79999999999995,0,2,30,False,0,0,0.01,0.25,222324,4
101,,1.0,DirectoS1,28.0,278.00000000000006,0,5,30,False,0,0,0.01,0.25,222324,4
102,,1.0,DirectoS1,27.0,227.00000000000006,0,4,30,False,0,0,0.01,0.25,222324,4
103,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,222324,4
104,,1.0,DirectoS1,29.0,329.00000000000006,0,6,30,False,0,0,0.01,0.25,222324,4
105,,1.0,DirectoS1,28.6,328.60000000000014,0,6,30,False,0,0,0.01,0.25,222324,4
106,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
107,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.01,0.25,222324,4
108,,1.0,DirectoS1,25.6,175.59999999999997,0,3,30,False,0,0,0.01,0.25,222324,4
109,,1.0,DirectoS1,27.0,227.0,0,4,30,False,0,0,0.01,0.25,222324,4
110,,1.0,DirectoS1,29.0,329.0,0,6,30,False,0,0,0.01,0.25,222324,4
111,,1.0,DirectoS1,26.8,226.80000000000004,0,4,30,False,0,0,0.01,0.25,222324,4
112,,1.0,DirectoS1,26.0,176.00000000000006,0,3,30,False,0,0,0.01,0.25,222324,4
113,,1.0,DirectoS1,23.0,122.99999999999993,0,2,30,False,0,0,0.01,0.25,222324,4
114,,1.0,DirectoS1,27.0,227.00000000000006,0,4,30,False,0,0,0.01,0.25,222324,4
115,,1.0,DirectoS1,22.2,22.2,0,0,30,False,0,0,0.01,0.25,222324,4
116,,1.0,DirectoS1,24.0,74.0,0,1,30,False,0,0,0.01,0.25,222324,4
117,,1.0,DirectoS1,29.0,329.0000000000001,0,6,30,False,0,0,0.01,0.25,222324,4
118,,1.0,DirectoS1,24.8,124.79999999999997,0,2,30,False,0,0,0.01,0.25,222324,4
119,,1.0,DirectoS1,23.6,123.59999999999995,0,2,30,False,0,0,0.01,0.25,222324,4
120,,1.0,DirectoS1,24.6,174.59999999999997,0,3,30,False,0,0,0.01,0.25,222324,4
121,,1.0,DirectoS1,22.8,72.8,0,1,30,False,0,0,0.01,0.25,222324,4
122,,1.0,DirectoS1,25.2,225.2000000000001,0,4,30,False,0,0,0.01,0.25,222324,4
123,,1.0,DirectoS1,27.0,227.00000000000006,0,4,30,False,0,0,0.01,0.25,222324,4
124,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.01,0.25,222324,4
125,,1.0,DirectoS1,27.0,226.99999999999994,0,4,30,False,0,0,0.01,0.25,222324,4
