episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,0.0,ControlS0,20.44,20.44,14,0,30,False,0,0,0.1720768383829392,0.25,456,6
2,,0.0,ControlS0,20.93,20.93,26,0,30,False,0,0,0.14805219153934096,0.25,456,6
3,,0.0,ControlS0,20.0,20.0,0,0,30,False,0,0,0.12738176517877567,0.25,456,6
4,,0.0,ControlS0,20.349999999999998,20.349999999999998,4,0,30,False,0,0,0.10959725709800847,0.25,456,6
5,,0.0,ControlS0,20.189999999999998,20.189999999999998,1,0,30,False,0,0,0.09429574748433718,0.25,456,6
6,,0.0,ControlS0,20.0,20.0,0,0,30,False,0,0,0.08113057050030371,0.25,456,6
7,,0.0,ControlS0,21.349999999999998,21.349999999999998,5,0,30,False,0,0,0.06980346033948207,0.25,456,6
8,,0.0,ControlS0,21.36,21.36,3,0,30,False,0,0,0.06005779381703479,0.25,456,6
9,,0.0,ControlS0,21.49,21.49,10,1,30,False,0,0,0.05167277640144891,0.25,456,6
10,,0.0,ControlS0,22.59,22.59,21,1,30,False,0,0,0.04445843996814939,0.25,456,6
11,,0.0,ControlS0,22.59,22.59,1,1,30,False,0,0,0.03825133894578426,0.25,456,6
12,,0.0,ControlS0,15.78000000000001,15.78000000000001,2,4,30,False,0,0,0.032910847348523745,0.25,456,6
13,,0.0,ControlS0,126.19,126.19,1,2,19,True,0,0,0.029921102940897188,0.25,456,6
14,,0.0,ControlS0,22.71,22.71,9,1,30,False,0,0,0.025743643975000268,0.25,456,6
15,,0.0,ControlS0,21.16,21.16,24,1,30,False,0,0,0.02214942431837024,0.25,456,6
16,,0.0,ControlS0,13.970000000000013,13.970000000000013,3,2,30,False,0,0,0.0190570145435367,0.25,456,6
17,,0.0,ControlS0,12.780000000000015,12.780000000000015,2,1,30,False,0,0,0.01639635405834743,0.25,456,6
18,,0.0,ControlS0,11.580000000000016,11.580000000000016,2,0,30,False,0,0,0.014107163836838495,0.25,456,6
19,,0.0,ControlS0,124.35,124.35,4,0,19,True,0,0,0.012825616335432347,0.25,456,6
20,,0.0,ControlS0,124.19,124.19,1,0,19,True,0,0,0.011660489400013503,0.25,456,6
21,,0.0,ControlS0,124.98,124.98,2,1,20,True,0,0,0.010548200916383305,0.25,456,6
22,,0.0,ControlS0,21.79,21.79,1,0,30,False,0,0,0.01,0.25,456,6
23,,0.0,ControlS0,117.99,117.99,1,2,10,True,0,0,0.01,0.25,456,6
24,,0.0,ControlS0,125.38,125.38,2,0,13,True,0,0,0.01,0.25,456,6
25,,0.0,ControlS0,114.98000000000002,114.98000000000002,2,2,25,True,0,0,0.01,0.25,456,6
26,,0.0,ControlS0,122.99,122.99,1,0,25,True,0,0,0.01,0.25,456,6
27,,0.0,ControlS0,115.99,115.99,1,0,10,True,0,0,0.01,0.25,456,6
28,,0.0,ControlS0,125.99,125.99,1,0,10,True,0,0,0.01,0.25,456,6
29,,0.0,ControlS0,116.99,116.99,1,1,10,True,0,0,0.01,0.25,456,6
30,,0.0,ControlS0,115.99,115.99,1,0,10,True,0,0,0.01,0.25,456,6
31,,0.0,ControlS0,117.98,117.98,2,2,10,True,0,0,0.01,0.25,456,6
32,,0.0,ControlS0,116.99,116.99,1,1,10,True,0,0,0.01,0.25,456,6
33,,0.0,ControlS0,124.39,124.39,1,2,28,True,0,0,0.01,0.25,456,6
34,,0.0,ControlS0,116.99,116.99,1,1,10,True,0,0,0.01,0.25,456,6
35,,0.0,ControlS0,117.97,117.97,2,2,10,True,0,0,0.01,0.25,456,6
36,,0.0,ControlS0,126.4,126.4,0,1,13,True,0,0,0.01,0.25,456,6
37,,0.0,ControlS0,126.19,126.19,1,1,14,True,0,0,0.01,0.25,456,6
38,,0.0,ControlS0,126.99,126.99,1,1,10,True,0,0,0.01,0.25,456,6
39,,0.0,ControlS0,125.17,125.17,2,1,19,True,0,0,0.01,0.25,456,6
40,,0.0,ControlS0,125.99,125.99,1,0,10,True,0,0,0.01,0.25,456,6
41,,0.0,ControlS0,125.59,125.59,1,0,12,True,0,0,0.01,0.25,456,6
42,,0.0,ControlS0,115.98,115.98,2,0,10,True,0,0,0.01,0.25,456,6
43,,0.0,ControlS0,13.780000000000015,13.780000000000015,1,2,30,False,0,0,0.01,0.25,456,6
44,,0.0,ControlS0,113.79,113.79,1,0,21,True,0,0,0.01,0.25,456,6
45,,0.0,ControlS0,126.59,126.59,1,1,12,True,0,0,0.01,0.25,456,6
46,,0.0,ControlS0,124.39,124.39,1,0,18,True,0,0,0.01,0.25,456,6
47,,0.0,ControlS0,128.99,128.99,1,3,10,True,0,0,0.01,0.25,456,6
48,,0.0,ControlS0,126.79,126.79,1,1,11,True,0,0,0.01,0.25,456,6
49,,0.0,ControlS0,125.99,125.99,1,0,10,True,0,0,0.01,0.25,456,6
50,,0.0,ControlS0,125.99,125.99,1,0,10,True,0,0,0.01,0.25,456,6
51,,0.0,ControlS0,126.96,126.96,3,1,10,True,0,0,0.01,0.25,456,6
52,,0.0,ControlS0,125.99,125.99,1,0,10,True,0,0,0.01,0.25,456,6
53,,0.0,ControlS0,126.99,126.99,1,1,10,True,0,0,0.01,0.25,456,6
54,,0.0,ControlS0,125.95,125.95,5,0,10,True,0,0,0.01,0.25,456,6
55,,0.0,ControlS0,128.99,128.99,1,3,10,True,0,0,0.01,0.25,456,6
56,,0.0,ControlS0,126.99,126.99,1,1,10,True,0,0,0.01,0.25,456,6
57,,0.0,ControlS0,126.99,126.99,1,1,10,True,0,0,0.01,0.25,456,6
58,,0.0,ControlS0,126.99,126.99,1,1,10,True,0,0,0.01,0.25,456,6
