episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,1,0.0,Curriculum,21.8,21.8,0,0,30,False,0,0,0.1720768383829392,0.25,42,6
2,1,0.0,Curriculum,21.0,21.0,0,0,30,False,0,0,0.14805219153934096,0.25,42,6
3,1,0.0,Curriculum,22.59,22.59,1,1,30,False,0,0,0.12738176517877567,0.25,42,6
4,1,0.0,Curriculum,11.770000000000016,11.770000000000016,3,0,30,False,0,0,0.10959725709800847,0.25,42,6
5,1,0.0,Curriculum,125.98,125.98,2,2,20,True,0,0,0.09914282738021017,0.25,42,6
6,1,0.0,Curriculum,22.189999999999998,22.189999999999998,0,1,30,False,0,0,0.08530092141966035,0.25,42,6
7,1,0.0,Curriculum,21.58,21.58,1,0,30,False,0,0,0.07339156434523345,0.25,42,6
8,1,0.0,Curriculum,21.38,21.38,2,0,30,False,0,0,0.06314494178252908,0.25,42,6
9,1,0.0,Curriculum,21.18,21.18,1,0,30,False,0,0,0.05432890970906179,0.25,42,6
10,1,0.0,Curriculum,23.380000000000003,23.380000000000003,1,2,30,False,0,0,0.04674373507763762,0.25,42,6
11,1,0.0,Curriculum,21.38,21.38,1,0,30,False,0,0,0.04021757073184788,0.25,42,6
12,1,0.0,Curriculum,21.18,21.18,1,0,30,False,0,0,0.03460256209489309,0.25,42,6
13,1,0.0,Curriculum,21.58,21.58,2,0,30,False,0,0,0.029771497426192704,0.25,42,6
14,1,0.0,Curriculum,22.58,22.58,2,1,30,False,0,0,0.025614925755125268,0.25,42,6
15,1,0.0,Curriculum,21.58,21.58,2,0,30,False,0,0,0.02203867719677839,0.25,42,6
16,1,0.0,Curriculum,123.58,123.58,2,0,22,True,0,0,0.019737552590418102,0.25,42,6
17,1,0.0,Curriculum,123.39,123.39,1,1,28,True,0,0,0.01715297920343496,0.25,42,6
18,1,0.0,Curriculum,21.0,21.0,0,0,30,False,0,0,0.014758152150876966,0.25,42,6
19,1,0.0,Curriculum,124.36,124.36,4,0,18,True,0,0,0.013484890891816561,0.25,42,6
20,1,0.0,Curriculum,114.56,114.56,4,0,18,True,0,0,0.012321480393017342,0.25,42,6
21,1,0.0,Curriculum,11.750000000000016,11.750000000000016,4,0,30,False,0,0,0.010601206951139,0.25,42,6
22,1,0.0,Curriculum,116.95,116.95,4,1,10,True,0,0,0.010082915326392463,0.25,42,6
23,1,0.0,Curriculum,115.95,115.95,4,0,10,True,0,0,0.01,0.25,42,6
24,1,0.0,Curriculum,14.750000000000012,14.750000000000012,4,3,30,False,0,0,0.01,0.25,42,6
25,1,0.0,Curriculum,21.58,21.58,2,0,30,False,0,0,0.01,0.25,42,6
26,1,0.0,Curriculum,123.56,123.56,3,0,23,True,0,0,0.01,0.25,42,6
27,1,0.0,Curriculum,126.96,126.96,4,1,10,True,0,0,0.01,0.25,42,6
28,1,0.0,Curriculum,115.96000000000001,115.96000000000001,4,0,10,True,0,0,0.01,0.25,42,6
29,1,0.0,Curriculum,11.760000000000016,11.760000000000016,4,0,30,False,0,0,0.01,0.25,42,6
30,1,0.0,Curriculum,115.96000000000001,115.96000000000001,4,0,10,True,0,0,0.01,0.25,42,6
31,1,0.0,Curriculum,124.01,124.01,19,2,30,True,0,0,0.01,0.25,42,6
32,1,0.0,Curriculum,115.95,115.95,4,0,10,True,0,0,0.01,0.25,42,6
33,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
34,1,0.0,Curriculum,126.95,126.95,4,1,10,True,0,0,0.01,0.25,42,6
35,1,0.0,Curriculum,116.15,116.15,4,1,14,True,0,0,0.01,0.25,42,6
36,1,0.0,Curriculum,114.76,114.76,3,1,21,True,0,0,0.01,0.25,42,6
37,1,0.0,Curriculum,126.97,126.97,3,1,10,True,0,0,0.01,0.25,42,6
38,1,0.0,Curriculum,126.95,126.95,4,1,10,True,0,0,0.01,0.25,42,6
39,1,0.0,Curriculum,126.95,126.95,4,1,10,True,0,0,0.01,0.25,42,6
40,1,0.0,Curriculum,125.95,125.95,4,0,10,True,0,0,0.01,0.25,42,6
41,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
42,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
43,1,0.0,Curriculum,126.97,126.97,3,1,10,True,0,0,0.01,0.25,42,6
44,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
45,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
46,1,0.0,Curriculum,117.97,117.97,3,2,10,True,0,0,0.01,0.25,42,6
47,1,0.0,Curriculum,127.97,127.97,3,2,10,True,0,0,0.01,0.25,42,6
48,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
49,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
50,1,0.0,Curriculum,117.97,117.97,3,2,10,True,0,0,0.01,0.25,42,6
51,1,0.0,Curriculum,117.97,117.97,3,2,10,True,0,0,0.01,0.25,42,6
52,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
53,1,0.0,Curriculum,117.97,117.97,3,2,10,True,0,0,0.01,0.25,42,6
54,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
55,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
56,1,0.0,Curriculum,125.96,125.96,4,0,10,True,0,0,0.01,0.25,42,6
57,1,0.0,Curriculum,126.97,126.97,3,1,10,True,0,0,0.01,0.25,42,6
58,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
59,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
60,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
61,1,0.0,Curriculum,116.97,116.97,3,1,10,True,0,0,0.01,0.25,42,6
62,1,0.0,Curriculum,127.75,127.75,5,2,12,True,0,0,0.01,0.25,42,6
63,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
64,1,0.0,Curriculum,127.97,127.97,3,2,10,True,0,0,0.01,0.25,42,6
65,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
66,1,0.0,Curriculum,127.97,127.97,3,2,10,True,0,0,0.01,0.25,42,6
67,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
68,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
69,1,0.0,Curriculum,115.77,115.77,3,0,11,True,0,0,0.01,0.25,42,6
70,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
71,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
72,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
73,1,0.0,Curriculum,115.97,115.97,3,0,10,True,0,0,0.01,0.25,42,6
74,1,0.0,Curriculum,125.97,125.97,3,0,10,True,0,0,0.01,0.25,42,6
75,1,0.0,Curriculum,125.96,125.96,4,0,10,True,0,0,0.01,0.25,42,6
76,2,0.25,Curriculum,126.97,64.47,3,1,10,True,0,0,0.01,0.25,42,6
77,2,0.25,Curriculum,125.95,25.94999999999999,4,0,10,True,0,0,0.01,0.25,42,6
78,2,0.25,Curriculum,125.97,50.97,3,0,10,True,0,0,0.01,0.25,42,6
79,2,0.25,Curriculum,115.97,40.969999999999985,3,0,10,True,0,0,0.01,0.25,42,6
80,2,0.25,Curriculum,125.76,25.75999999999999,4,0,12,True,0,0,0.01,0.25,42,6
81,2,0.25,Curriculum,116.97,54.47,3,1,10,True,0,0,0.01,0.25,42,6
82,2,0.25,Curriculum,127.97,77.97,3,2,10,True,0,0,0.01,0.25,42,6
83,2,0.25,Curriculum,126.96,39.459999999999994,4,1,10,True,0,0,0.01,0.25,42,6
84,2,0.25,Curriculum,116.97,54.469999999999985,3,1,10,True,0,0,0.01,0.25,42,6
85,2,0.25,Curriculum,126.97,64.47,3,1,10,True,0,0,0.01,0.25,42,6
86,2,0.25,Curriculum,126.8,139.3,0,1,12,True,0,0,0.01,0.25,42,6
87,2,0.25,Curriculum,126.97,64.47,3,1,10,True,0,0,0.01,0.25,42,6
