episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,1.0,DirectoS1,21.8,21.8,0,0,30,False,0,0,0.1720768383829392,0.25,42,6
2,,1.0,DirectoS1,21.0,21.0,0,0,30,False,0,0,0.14805219153934096,0.25,42,6
3,,1.0,DirectoS1,22.59,-27.410000000000064,1,1,30,False,0,0,0.12738176517877567,0.25,42,6
4,,1.0,DirectoS1,22.4,72.39999999999998,0,1,30,False,0,0,0.10959725709800847,0.25,42,6
5,,1.0,DirectoS1,20.799999999999997,20.799999999999997,0,0,30,False,0,0,0.09429574748433718,0.25,42,6
6,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.08113057050030371,0.25,42,6
7,,1.0,DirectoS1,23.91,123.90999999999998,0,2,30,False,0,0,0.06980346033948207,0.25,42,6
8,,1.0,DirectoS1,21.2,71.19999999999999,0,1,30,False,0,0,0.06005779381703479,0.25,42,6
9,,1.0,DirectoS1,21.6,21.6,0,0,30,False,0,0,0.05167277640144891,0.25,42,6
10,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.04445843996814939,0.25,42,6
11,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.03825133894578426,0.25,42,6
12,,1.0,DirectoS1,22.35,-477.65,5,0,30,False,0,0,0.032910847348523745,0.25,42,6
13,,1.0,DirectoS1,25.2,125.19999999999996,0,2,30,False,0,0,0.028315972801187538,0.25,42,6
14,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.02436261537682825,0.25,42,6
15,,1.0,DirectoS1,25.2,125.19999999999999,0,2,30,False,0,0,0.020961209143920925,0.25,42,6
16,,1.0,DirectoS1,25.37,-124.62999999999984,3,3,30,False,0,0,0.018034692990847347,0.25,42,6
17,,1.0,DirectoS1,22.0,71.99999999999993,0,1,30,False,0,0,0.015516764755359819,0.25,42,6
18,,1.0,DirectoS1,21.0,21.0,0,0,30,False,0,0,0.01335037910517069,0.25,42,6
19,,1.0,DirectoS1,22.4,72.39999999999995,0,1,30,False,0,0,0.011486455138157128,0.25,42,6
20,,1.0,DirectoS1,24.200000000000003,74.19999999999999,0,1,30,False,0,0,0.01,0.25,42,6
