episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,0.0,ControlS0,23.13,23.13,7,1,30,False,0,0,0.1720768383829392,0.25,42,8
2,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.14805219153934096,0.25,42,8
3,,0.0,ControlS0,22.94,22.94,6,1,30,False,0,0,0.12738176517877567,0.25,42,8
4,,0.0,ControlS0,22.58,22.58,2,1,30,False,0,0,0.10959725709800847,0.25,42,8
5,,0.0,ControlS0,22.77,22.77,3,1,30,False,0,0,0.09429574748433718,0.25,42,8
6,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.08113057050030371,0.25,42,8
7,,0.0,ControlS0,22.58,22.58,2,1,30,False,0,0,0.06980346033948207,0.25,42,8
8,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.06005779381703479,0.25,42,8
9,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.05167277640144891,0.25,42,8
10,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.04445843996814939,0.25,42,8
11,,0.0,ControlS0,21.57,21.57,3,0,30,False,0,0,0.03825133894578426,0.25,42,8
12,,0.0,ControlS0,21.58,21.58,2,0,30,False,0,0,0.032910847348523745,0.25,42,8
13,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.028315972801187538,0.25,42,8
14,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.02436261537682825,0.25,42,8
15,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.020961209143920925,0.25,42,8
16,,0.0,ControlS0,21.58,21.58,2,0,30,False,0,0,0.018034692990847347,0.25,42,8
17,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.015516764755359819,0.25,42,8
18,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.01335037910517069,0.25,42,8
19,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.011486455138157128,0.25,42,8
20,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.01,0.25,42,8
21,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.01,0.25,42,8
22,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.01,0.25,42,8
23,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.01,0.25,42,8
24,,0.0,ControlS0,21.38,21.38,2,0,30,False,0,0,0.01,0.25,42,8
25,,0.0,ControlS0,22.38,22.38,2,1,30,False,0,0,0.01,0.25,42,8
