episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,1,0.0,Curriculum,20.75,20.75,2,0,30,False,0,0,0.1720768383829392,0.25,123,8
2,1,0.0,Curriculum,20.389999999999997,20.389999999999997,1,0,30,False,0,0,0.14805219153934096,0.25,123,8
3,1,0.0,Curriculum,125.54,125.54,6,1,21,True,0,0,0.1332599162736423,0.25,123,8
4,1,0.0,Curriculum,22.39,22.39,1,1,30,False,0,0,0.11465472537771781,0.25,123,8
5,1,0.0,Curriculum,22.39,22.39,1,1,30,False,0,0,0.09864711324330912,0.25,123,8
6,1,0.0,Curriculum,22.59,22.59,1,1,30,False,0,0,0.08487441681256205,0.25,123,8
7,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.07302460652350727,0.25,123,8
8,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.06282921707361644,0.25,123,8
9,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.05405726516051648,0.25,123,8
10,1,0.0,Curriculum,22.759999999999998,22.759999999999998,3,1,30,False,0,0,0.04651001640224943,0.25,123,8
11,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.040016482878188646,0.25,123,8
12,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.034429549284418624,0.25,123,8
13,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.02962263993906174,0.25,123,8
14,1,0.0,Curriculum,21.759999999999998,21.759999999999998,3,0,30,False,0,0,0.02548685112634964,0.25,123,8
15,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.021928483810794496,0.25,123,8
16,1,0.0,Curriculum,20.0,20.0,0,0,30,False,0,0,0.01886692082346492,0.25,123,8
17,1,0.0,Curriculum,19.189999999999998,19.189999999999998,1,0,30,False,0,0,0.016232800426615412,0.25,123,8
18,1,0.0,Curriculum,21.78,21.78,2,0,30,False,0,0,0.01396644487756603,0.25,123,8
19,1,0.0,Curriculum,24.17,24.17,3,2,30,False,0,0,0.012016508389905792,0.25,123,8
20,1,0.0,Curriculum,22.990000000000002,22.990000000000002,1,1,30,False,0,0,0.010338813860685265,0.25,123,8
21,1,0.0,Curriculum,22.189999999999998,22.189999999999998,1,0,30,False,0,0,0.01,0.25,123,8
22,1,0.0,Curriculum,23.19,23.19,1,1,30,False,0,0,0.01,0.25,123,8
23,1,0.0,Curriculum,24.59,24.59,1,1,30,False,0,0,0.01,0.25,123,8
24,1,0.0,Curriculum,22.18,22.18,2,0,30,False,0,0,0.01,0.25,123,8
25,1,0.0,Curriculum,25.39,25.39,1,3,30,False,0,0,0.01,0.25,123,8
