episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,1.0,DirectoS1,21.46,-1128.5400000000004,12,1,30,False,0,0,0.1720768383829392,0.25,456,8
2,,1.0,DirectoS1,21.810000000000002,-1728.1900000000005,18,1,30,False,0,0,0.14805219153934096,0.25,456,8
3,,1.0,DirectoS1,19.24,-1580.7600000000002,16,0,30,False,0,0,0.12738176517877567,0.25,456,8
4,,1.0,DirectoS1,20.61,-1879.3900000000008,19,0,30,False,0,0,0.10959725709800847,0.25,456,8
5,,1.0,DirectoS1,22.14,-577.8600000000001,6,0,30,False,0,0,0.09429574748433718,0.25,456,8
6,,1.0,DirectoS1,22.38,-127.61999999999976,2,1,30,False,0,0,0.08113057050030371,0.25,456,8
7,,1.0,DirectoS1,21.91,-878.0900000000007,9,0,30,False,0,0,0.06980346033948207,0.25,456,8
8,,1.0,DirectoS1,21.68,-1128.32,12,1,30,False,0,0,0.06005779381703479,0.25,456,8
9,,1.0,DirectoS1,21.43,-1678.5700000000004,17,0,30,False,0,0,0.05167277640144891,0.25,456,8
10,,1.0,DirectoS1,21.58,-178.41999999999976,2,0,30,False,0,0,0.04445843996814939,0.25,456,8
11,,1.0,DirectoS1,21.18,-178.81999999999974,2,0,30,False,0,0,0.03825133894578426,0.25,456,8
12,,1.0,DirectoS1,21.68,-1178.3200000000004,12,0,30,False,0,0,0.032910847348523745,0.25,456,8
13,,1.0,DirectoS1,20.589999999999996,-79.41000000000008,1,0,30,False,0,0,0.028315972801187538,0.25,456,8
14,,1.0,DirectoS1,20.58,-179.42000000000002,2,0,30,False,0,0,0.02436261537682825,0.25,456,8
15,,1.0,DirectoS1,20.39,-79.61000000000001,1,0,30,False,0,0,0.020961209143920925,0.25,456,8
16,,1.0,DirectoS1,20.58,-179.4199999999999,2,0,30,False,0,0,0.018034692990847347,0.25,456,8
17,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.015516764755359819,0.25,456,8
18,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01335037910517069,0.25,456,8
19,,1.0,DirectoS1,20.389999999999997,-79.61000000000004,1,0,30,False,0,0,0.011486455138157128,0.25,456,8
20,,1.0,DirectoS1,20.389999999999997,-79.61000000000008,1,0,30,False,0,0,0.01,0.25,456,8
21,,1.0,DirectoS1,20.389999999999997,-79.61000000000008,1,0,30,False,0,0,0.01,0.25,456,8
22,,1.0,DirectoS1,20.389999999999997,-79.61000000000003,1,0,30,False,0,0,0.01,0.25,456,8
23,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
24,,1.0,DirectoS1,20.189999999999998,-79.81000000000002,1,0,30,False,0,0,0.01,0.25,456,8
25,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
26,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
27,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
28,,1.0,DirectoS1,20.189999999999998,-79.81000000000009,1,0,30,False,0,0,0.01,0.25,456,8
29,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
30,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
31,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
32,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
33,,1.0,DirectoS1,20.189999999999998,-79.81000000000003,1,0,30,False,0,0,0.01,0.25,456,8
34,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
35,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
36,,1.0,DirectoS1,20.189999999999998,-79.81000000000006,1,0,30,False,0,0,0.01,0.25,456,8
37,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
38,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
39,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
40,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
41,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
42,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
43,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
44,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
45,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
46,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
47,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
48,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
49,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
50,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
51,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
52,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
53,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
54,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
55,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
56,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
