risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.29490806553342913,-0.06090806553342911,0.23400000000000004,0.0,-4.0
0.5,simbiosis,-0.43436264071095254,-0.08736264071095254,0.34700000000000003,0.1,-21.718132035547626
0.5,dqn_control,-0.39878405454272503,-0.04178405454272512,0.357,0.0,4.5
1.0,control,-0.29490806553342913,-0.06090806553342911,0.23400000000000004,0.0,-4.0
1.0,simbiosis,-0.4183626407109525,-0.08736264071095254,0.331,0.1,-20.918132035547625
1.0,dqn_control,-0.39878405454272503,-0.04178405454272512,0.357,0.0,4.5
1.5,control,-0.29490806553342913,-0.06090806553342911,0.23400000000000004,0.0,-4.0
1.5,simbiosis,-0.40236264071095257,-0.08736264071095254,0.315,0.1,-20.118132035547625
1.5,dqn_control,-0.39878405454272503,-0.04178405454272512,0.357,0.0,4.5
2.0,control,-0.29490806553342913,-0.06090806553342911,0.23400000000000004,0.0,-4.0
2.0,simbiosis,-0.4183626407109525,-0.08736264071095254,0.331,0.1,-20.918132035547625
2.0,dqn_control,-0.39878405454272503,-0.04178405454272512,0.357,0.0,4.5
3.0,control,-0.29490806553342913,-0.06090806553342911,0.23400000000000004,0.0,-4.0
3.0,simbiosis,-0.45036264071095256,-0.08736264071095254,0.363,0.1,-22.518132035547627
3.0,dqn_control,-0.39878405454272503,-0.04178405454272512,0.357,0.0,4.5
