risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,ppo_sota,-0.12622502911983596,-0.12622502911983596,0.0,0.15,497.55
1.0,ppo_sota,-0.12875840075868747,-0.12875840075868747,0.0,0.16,424.95
1.5,ppo_sota,-0.08558596506409151,-0.08558596506409151,0.0,0.07,395.0
2.0,ppo_sota,-0.125254695433787,-0.125254695433787,0.0,0.08,299.5
3.0,ppo_sota,-0.009622391561415788,-0.009622391561415788,0.0,0.0,1.15
0.5,a2c_sota,0.0,0.0,0.0,0.0,0.0
1.0,a2c_sota,-0.0013928018180908374,-0.0013928018180908374,0.0,0.0,-0.1
1.5,a2c_sota,0.0,0.0,0.0,0.0,0.0
2.0,a2c_sota,0.0,0.0,0.0,0.0,0.0
3.0,a2c_sota,0.0,0.0,0.0,0.0,0.0
0.5,dqn_sota,-0.16508962786182932,-0.16508962786182932,0.0,0.02,609.4
1.0,dqn_sota,-0.09824398192590916,-0.09824398192590916,0.0,0.07,137.75
1.5,dqn_sota,-0.047033893402373315,-0.047033893402373315,0.0,0.02,12.4
2.0,dqn_sota,-0.037538723006177596,-0.037538723006177596,0.0,0.02,6.55
3.0,dqn_sota,-0.027030203954441268,-0.027030203954441268,0.0,0.04,98.65
