Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,0.0,0,0.0,0.0
2,0.0,0,0.0,0.0
3,-5.0,0,-0.13928018180908375,0.245
4,-5.0,0,-0.13928018180908375,0.14
5,-5.0,0,-0.13928018180908375,0.23
6,0.0,0,0.0,0.0
7,-5.0,0,-0.13928018180908375,0.085
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-30.0,1,-0.6330113597463811,0.27
11,-30.0,1,-0.6330113597463811,0.09
12,-5.0,0,-0.13928018180908375,0.02
13,-10.0,0,-0.2785603636181675,0.34
14,0.0,0,0.0,0.0
15,-5.0,0,-0.13928018180908375,0.23
16,-10.0,0,-0.2785603636181675,0.065
17,-5.0,0,-0.13928018180908375,0.135
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,-5.0,0,-0.13928018180908375,0.04
23,-15.0,0,-0.41784054542725124,0.28
24,0.0,0,0.0,0.0
25,195.0,0,0.0,1.365
26,105.0,0,-0.31650567987319056,0.87
27,-5.0,0,-0.13928018180908375,0.15
28,0.0,0,0.0,0.0
29,-35.0,1,-0.7722915415554649,0.16
30,-5.0,0,-0.13928018180908375,0.16
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-5.0,0,-0.13928018180908375,0.165
34,-5.0,0,-0.13928018180908375,0.22
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-10.0,0,-0.2785603636181675,0.45
39,-5.0,0,-0.13928018180908375,0.04
40,-5.0,0,-0.13928018180908375,0.02
41,0.0,0,0.0,0.0
42,-60.0,2,-1.2660227194927622,0.3
43,-5.0,0,-0.13928018180908375,0.12
44,0.0,0,0.0,0.0
45,-5.0,0,-0.13928018180908375,0.14
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,-10.0,0,-0.2785603636181675,0.36
49,-5.0,0,-0.13928018180908375,0.06
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,-5.0,0,-0.13928018180908375,0.025
53,-5.0,0,-0.13928018180908375,0.005
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-50.0,1,-1.0887972214286554,2.12
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-15.0,0,-0.41784054542725124,0.43
63,0.0,0,0.0,0.0
64,185.0,0,-0.2785603636181675,3.51
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,-35.0,1,-0.7722915415554649,1.62
68,0.0,0,0.0,0.0
69,-30.0,1,-0.6330113597463811,0.18
70,0.0,0,0.0,0.0
71,-60.0,2,-1.2660227194927622,0.84
72,0.0,0,0.0,0.0
73,345.0,0,0.0,5.52
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,-10.0,0,-0.2785603636181675,0.255
77,-5.0,0,-0.13928018180908375,0.015
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,-10.0,0,-0.2785603636181675,0.425
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,-35.0,1,-0.7722915415554649,0.69
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,-15.0,0,-0.41784054542725124,0.185
88,-15.0,0,-0.31650567987319056,0.21
89,-5.0,0,-0.13928018180908375,0.145
90,-30.0,0,-0.6330113597463811,0.09
91,0.0,0,0.0,0.0
92,-5.0,0,-0.13928018180908375,0.145
93,105.0,0,0.0,0.465
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,-45.0,0,-0.9495170396195717,0.585
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,-5.0,0,-0.13928018180908375,0.055
103,-15.0,0,-0.41784054542725124,0.24
104,-10.0,0,-0.2785603636181675,0.22
105,-10.0,0,-0.2785603636181675,0.23
106,0.0,0,0.0,0.0
107,-5.0,0,-0.13928018180908375,0.245
108,0.0,0,0.0,0.0
109,-145.0,3,-2.7899276583611523,1.1793478260869565
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,-5.0,0,-0.13928018180908375,0.245
114,-10.0,0,-0.2785603636181675,0.38
115,75.0,0,0.0,0.285
116,-5.0,0,-0.13928018180908375,0.115
117,-10.0,0,-0.2785603636181675,0.04
118,-5.0,0,-0.13928018180908375,0.09
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,60.0,0,0.0,0.15
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,-15.0,0,-0.41784054542725124,0.215
125,0.0,0,0.0,0.0
126,-15.0,0,-0.41784054542725124,0.27
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,-10.0,0,-0.2785603636181675,0.12
131,15.0,0,0.0,0.015
132,-10.0,0,-0.2785603636181675,0.325
133,0.0,0,0.0,0.0
134,-5.0,0,-0.13928018180908375,0.165
135,-5.0,0,-0.13928018180908375,0.245
136,0.0,0,0.0,0.0
137,-15.0,0,-0.31650567987319056,0.135
138,-45.0,0,-0.9495170396195717,0.585
139,-5.0,0,-0.13928018180908375,0.005
140,0.0,0,0.0,0.0
141,-75.0,1,-1.5825283993659527,1.2
142,0.0,0,0.0,0.0
143,0.0,0,0.0,0.0
144,-5.0,0,-0.13928018180908375,0.245
145,-30.0,1,-0.6330113597463811,0.24
146,0.0,0,0.0,0.0
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,60.0,0,0.0,0.15
151,135.0,0,0.0,0.69
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,-45.0,0,-0.9495170396195717,0.765
155,-5.0,0,-0.13928018180908375,0.01
156,-65.0,1,-1.4053029013018459,0.695
157,-5.0,0,-0.13928018180908375,0.095
158,-45.0,1,-0.9495170396195717,2.085
159,195.0,0,0.0,1.95
160,0.0,0,0.0,0.0
161,-15.0,0,-0.41784054542725124,0.285
162,0.0,0,0.0,0.0
163,-5.0,0,-0.13928018180908375,0.245
164,-15.0,0,-0.41784054542725124,0.53
165,-20.0,0,-0.557120727236335,0.595
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,105.0,0,0.0,1.14
169,-30.0,1,-0.6330113597463811,0.48
170,-15.0,0,-0.31650567987319056,0.15
171,-5.0,0,-0.13928018180908375,0.11
172,-5.0,0,-0.13928018180908375,0.2
173,-5.0,0,-0.13928018180908375,0.175
174,0.0,0,0.0,0.0
175,-65.0,2,-1.4053029013018459,1.545
176,0.0,0,0.0,0.0
177,45.0,0,0.0,0.09
178,0.0,0,0.0,0.0
179,-5.0,0,-0.13928018180908375,0.195
180,-60.0,1,-1.2660227194927622,1.89
181,-5.0,0,-0.13928018180908375,0.065
182,0.0,0,0.0,0.0
183,0.0,0,0.0,0.0
184,-15.0,0,-0.41784054542725124,0.245
185,-5.0,0,-0.13928018180908375,0.22
186,-5.0,0,-0.13928018180908375,0.01
187,15.0,0,0.0,0.015
188,0.0,0,0.0,0.0
189,0.0,0,0.0,0.0
190,-5.0,0,-0.13928018180908375,0.09
191,-5.0,0,-0.13928018180908375,0.2
192,-20.0,0,-0.4557858616822743,0.615
193,0.0,0,0.0,0.0
194,0.0,0,0.0,0.0
195,0.0,0,0.0,0.0
196,0.0,0,0.0,0.0
197,0.0,0,0.0,0.0
198,-10.0,0,-0.2785603636181675,0.4
199,-5.0,0,-0.13928018180908375,0.015
200,0.0,0,0.0,0.0
