Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.15227016383357278,0.55
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-10.0,0,-0.15227016383357278,0.86
5,-5.0,0,-0.07613508191678639,0.38
6,-15.0,0,-0.22840524575035917,0.55
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-10.0,0,-0.15227016383357278,0.79
13,0.0,0,0.0,0.0
14,-5.0,0,-0.07613508191678639,0.44
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-15.0,0,-0.22840524575035917,0.87
18,-5.0,0,-0.07613508191678639,0.07
19,-5.0,0,-0.07613508191678639,0.46
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,-5.0,0,-0.07613508191678639,0.26
23,0.0,0,0.0,0.0
24,-10.0,0,-0.15227016383357278,0.27
25,-45.0,2,-0.768184318248324,2.55
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,-5.0,0,-0.07613508191678639,0.29
32,-5.0,0,-0.07613508191678639,0.37
33,0.0,0,0.0,0.0
34,0.0,0,0.0,0.0
35,-5.0,0,-0.07613508191678639,0.45
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-10.0,0,-0.15227016383357278,0.49
40,-5.0,0,-0.07613508191678639,0.09
41,-10.0,0,-0.15227016383357278,0.27
42,-5.0,0,-0.07613508191678639,0.04
43,0.0,0,0.0,0.0
44,-10.0,0,-0.15227016383357278,0.54
45,-10.0,0,-0.15227016383357278,0.48
46,0.0,0,0.0,0.0
47,-5.0,0,-0.07613508191678639,0.45
48,-5.0,0,-0.07613508191678639,0.4
49,-25.0,0,-0.380675409583932,1.4
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-5.0,0,-0.07613508191678639,0.16
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,-5.0,0,-0.07613508191678639,0.36
57,-5.0,0,-0.07613508191678639,0.06
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,-5.0,0,-0.07613508191678639,0.28
61,-5.0,0,-0.07613508191678639,0.29
62,-10.0,0,-0.15227016383357278,0.71
63,0.0,0,0.0,0.0
64,-10.0,0,-0.15227016383357278,0.2
65,0.0,0,0.0,0.0
66,-15.0,0,-0.22840524575035917,0.67
67,-10.0,0,-0.15227016383357278,0.62
68,-10.0,0,-0.15227016383357278,0.27
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-10.0,0,-0.15227016383357278,0.65
74,0.0,0,0.0,0.0
75,-10.0,0,-0.15227016383357278,0.19
