risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.2929837700742172,-0.07343377007421725,0.21955,0.045,-4.25
0.5,simbiosis,-0.4497708753666594,-0.06552087536665942,0.38425,0.05,-22.48854376833297
0.5,dqn_control,-0.45795463427887506,-0.05830463427887507,0.39965000000000006,0.04,9.85
1.0,control,-0.31628377007421726,-0.07343377007421725,0.24285,0.045,-4.7
1.0,simbiosis,-0.4767208753666594,-0.06552087536665942,0.41120000000000007,0.05,-23.83604376833297
1.0,dqn_control,-0.481895898478558,-0.05909589847855805,0.4228,0.04,8.95
1.5,control,-0.3395837700742173,-0.07343377007421725,0.26615,0.045,-5.15
1.5,simbiosis,-0.5022708753666594,-0.06552087536665942,0.43675,0.05,-25.11354376833297
1.5,dqn_control,-0.5049458984785581,-0.05909589847855805,0.44585,0.04,8.15
2.0,control,-0.3686904376088401,-0.09388558811051233,0.27480484949832773,0.055,-8.15
2.0,simbiosis,-0.5146778116214992,-0.06507781162149916,0.4496,0.045,-25.733890581074956
2.0,dqn_control,-0.516637162678241,-0.05988716267824103,0.45675,0.04,5.75
3.0,control,-0.34368458580741135,-0.08641375247407801,0.25727083333333334,0.05,-6.8
3.0,simbiosis,-0.53486764805418,-0.09275025674983219,0.4421173913043478,0.055,-24.618031960409436
3.0,dqn_control,-0.6596746609953718,-0.08871354988426056,0.570961111111111,0.04,6.35
