Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,0.0,0,0.0,0.0
2,-5.0,0,-0.06964009090454187,0.03
3,-5.0,0,-0.06964009090454187,0.45
4,0.0,0,0.0,0.0
5,-5.0,0,-0.06964009090454187,0.37
6,0.0,0,0.0,0.0
7,-5.0,0,-0.06964009090454187,0.47
8,-5.0,0,-0.06964009090454187,0.31
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-30.0,0,-0.31650567987319056,0.24
13,-5.0,0,-0.06964009090454187,0.16
14,-10.0,0,-0.13928018180908375,0.65
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-15.0,0,-0.20892027271362562,0.61
18,-5.0,0,-0.06964009090454187,0.49
19,-5.0,0,-0.06964009090454187,0.01
20,0.0,0,0.0,0.0
