Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,0,0,0,0
2,-4.982004545,0,-0.069640091,0.03
3,-25.98200455,0,-0.069640091,0.45
4,0,0,0,0
5,-21.98200455,0,-0.069640091,0.37
6,0,0,0,0
7,-26.98200455,0,-0.069640091,0.47
8,-58.80728854,1,-0.386145771,0.79
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,-31.82528399,0,-0.31650568,0.32
13,-11.48200455,0,-0.069640091,0.16
14,-39.46400909,0,-0.139280182,0.65
15,0,0,0,0
16,0,0,0,0
17,-25.48200455,0,-0.069640091,0.44
18,-62.98200455,0,-0.069640091,1.19
19,-3.982004545,0,-0.069640091,0.01
20,0,0,0,0
