risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
<<<<<<< HEAD
0.5,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
0.5,simbiosis,-1.09050933596463,-0.21650933596463026,0.874,0.0,-54.525466798231506
1.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
1.0,simbiosis,-1.1045093359646303,-0.21650933596463026,0.8880000000000001,0.0,-55.2254667982315
1.5,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
1.5,simbiosis,-1.1185093359646303,-0.21650933596463026,0.9019999999999999,0.0,-55.925466798231504
2.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
2.0,simbiosis,-1.1343251690386742,-0.2183251690386742,0.916,0.0,-56.71625845193371
3.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
3.0,simbiosis,-1.2209394010811183,-0.24018940108111825,0.9807500000000001,0.0,-59.11265936097912
=======
0.5,control,-0.3094080655334291,-0.060908065533429104,0.24850000000000003,0.0,-4.0
0.5,simbiosis,-0.2839526179848171,-0.06995261798481708,0.21399999999999997,0.05,-14.197630899240853
0.5,dqn_control,-0.2425913430816117,-0.06109134308161174,0.1815,0.0,-3.75
1.0,control,-0.3094080655334291,-0.060908065533429104,0.24850000000000003,0.0,-4.0
1.0,simbiosis,-0.2939526179848171,-0.06995261798481708,0.22400000000000003,0.05,-14.697630899240853
1.0,dqn_control,-0.2465913430816117,-0.06109134308161174,0.1855,0.0,-4.25
1.5,control,-0.3094080655334291,-0.060908065533429104,0.24850000000000003,0.0,-4.0
1.5,simbiosis,-0.30395261798481704,-0.06995261798481708,0.23399999999999999,0.05,-15.197630899240853
1.5,dqn_control,-0.2505913430816117,-0.06109134308161174,0.1895,0.0,-4.75
2.0,control,-0.3094080655334291,-0.060908065533429104,0.24850000000000003,0.0,-4.0
2.0,simbiosis,-0.31395261798481705,-0.06995261798481708,0.244,0.05,-15.697630899240853
2.0,dqn_control,-0.2545913430816117,-0.06109134308161174,0.1935,0.0,-5.25
3.0,control,-0.3094080655334291,-0.060908065533429104,0.24850000000000003,0.0,-4.0
<<<<<<< HEAD
3.0,simbiosis,-0.9644166270752711,-0.07691662707527128,0.8874999999999998,0.05,-48.220831353763565
3.0,dqn_control,-1.1071966965395548,-0.049696696539554885,1.0574999999999997,0.0,29.25
>>>>>>> 968a747 (cleanup: Remove cache files and loose test artifacts)
=======
3.0,simbiosis,-0.33395261798481707,-0.06995261798481708,0.26399999999999996,0.05,-16.697630899240853
3.0,dqn_control,-0.2625913430816117,-0.06109134308161174,0.20149999999999996,0.0,-6.25
>>>>>>> f89d18b (Estado estable: DQN robusto, seguridad mejorada, cobertura 99%, listo para refactorización de configuración y arquitectura)
