risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.25949159383814463,-0.15066159383814465,0.10883,0.032,-4.54
0.5,simbiosis,-0.3688332758147627,-0.15408327581476272,0.21475,0.082,-12.443331032590505
0.5,dqn_control,-0.3504410806355224,-0.13694108063552238,0.2135,0.068,11.2
1.0,control,-0.26651159383814466,-0.15066159383814465,0.11585000000000001,0.032,-4.86
1.0,simbiosis,-0.3828677268108909,-0.15443772681089094,0.22842999999999997,0.082,-13.484709072435633
1.0,dqn_control,-0.3652301147147615,-0.13884011471476154,0.22638999999999998,0.068,9.29
1.5,control,-0.2735315938381447,-0.15066159383814465,0.12287,0.032,-5.18
1.5,simbiosis,-0.40249901617630723,-0.1558490161763072,0.24664999999999998,0.082,-14.581960647052286
1.5,dqn_control,-0.38128538136068507,-0.13898538136068503,0.2423,0.068,7.77
2.0,control,-0.29059838281849215,-0.16387741291882665,0.12672096989966555,0.038,-7.15
2.0,simbiosis,-0.41068069493415826,-0.15614919768059238,0.2545314972535659,0.076,-15.513312085275896
2.0,dqn_control,-0.3906228943411489,-0.14106756730034892,0.24955532704079994,0.06,3.65
3.0,control,-0.27162252521970087,-0.15431835855303422,0.11730416666666665,0.03,-5.89
3.0,simbiosis,-0.4259730109350581,-0.16599350685571082,0.25997950407934733,0.078,-15.784963880781847
3.0,dqn_control,-0.39885143926271494,-0.15494545764199652,0.24390598162071847,0.064,2.22
