Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-37.464009090454184,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-246.11728316921435,0,-0.9523456633842872,3.97
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-53.42801818090837,0,-0.2785603636181675,0.79
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-15.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-775.8502839936596,1,-0.31650567987319056,9.97
14,-94.75569414547674,3,-2.1636805440567977,1.4807692307692308
15,-267.4391589048037,0,-2.071739967788345,5.794117647058823
16,0.0,0,0.0,0.0
17,-17.464009090454187,0,-0.13928018180908375,0.21
18,-92.48200454522708,0,-0.06964009090454187,1.78
19,-16.464009090454187,0,-0.13928018180908375,0.19
20,-67.65,0,0.0,0.9
21,0.0,0,0.0,0.0
22,-6.482004545227094,0,-0.06964009090454187,0.06
23,0.0,0,0.0,0.0
24,-37.91264199682976,0,-0.15825283993659528,0.6
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,-13.482004545227094,0,-0.06964009090454187,0.2
28,-27.464009090454187,0,-0.13928018180908375,0.41
29,-22.964009090454187,0,-0.13928018180908375,0.32
30,-427.275,0,0.0,5.76
31,-64.23792599048929,0,-0.47475851980978584,0.81
32,-89.025,0,0.0,0.87
33,0.0,0,0.0,0.0
34,-43.65,0,0.0,0.42
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-93.35700454522708,0,-0.06964009090454187,0.89
38,0.0,0,0.0,0.0
39,-85.82528399365953,0,-0.31650567987319056,1.4
40,-72.38376851800056,3,-1.5119927661875177,0.75
41,-21.964009090454187,0,-0.13928018180908375,0.3
42,-22.446013635681282,0,-0.20892027271362562,0.24
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-9.0,0,0.0,0.18
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,-11.482004545227094,0,-0.06964009090454187,0.16
53,0.0,0,0.0,0.0
54,-53.91264199682976,0,-0.15825283993659528,0.92
55,-60.39202727136256,0,-0.41784054542725124,0.79
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-25.982004545227092,0,-0.06964009090454187,0.45
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-515.25,0,0.0,4.08
63,0.0,0,0.0,0.0
64,-1.5,0,0.0,0.03
65,-26.482004545227092,0,-0.06964009090454187,0.46
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,-29.307288538886617,1,-0.38614577077773243,0.2
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-9.482004545227094,0,-0.06964009090454187,0.12
75,-233.7892930841137,1,-0.4557858616822743,4.22
76,-11.482004545227094,0,-0.06964009090454187,0.16
77,0.0,0,0.0,0.0
78,-36.464009090454184,0,-0.13928018180908375,0.59
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,-175.95,0,0.0,1.68
83,0.0,0,0.0,0.0
84,-38.928018180908374,0,-0.2785603636181675,0.5
85,-105.37665108728395,0,-0.29753302174567897,1.81
86,0.0,0,0.0,0.0
87,-165.85603636181673,0,-0.557120727236335,2.76
88,-15.482004545227094,0,-0.06964009090454187,0.24
89,0.0,0,0.0,0.0
90,-24.482004545227092,0,-0.06964009090454187,0.42
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,-45.825283993659525,0,-0.31650567987319056,0.6
95,-38.964009090454184,0,-0.13928018180908375,0.64
96,-33.98200454522709,0,-0.06964009090454187,0.61
97,0.0,0,0.0,0.0
98,-9.982004545227094,0,-0.06964009090454187,0.13
99,-201.445273254315,1,-1.9579803582247302,3.4864864864864864
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-47.928018180908374,0,-0.2785603636181675,0.68
104,0.0,0,0.0,0.0
105,-203.82528399365953,1,-0.31650567987319056,3.76
106,-176.77129762934078,1,-0.5254259525868161,3.01
107,0.0,0,0.0,0.0
108,-29.464009090454187,0,-0.13928018180908375,0.45
109,-11.982004545227094,0,-0.06964009090454187,0.17
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-42.928018180908374,0,-0.2785603636181675,0.58
115,0.0,0,0.0,0.0
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-17.482004545227092,0,-0.06964009090454187,0.28
119,0.0,0,0.0,0.0
120,-269.71993053571634,1,-0.5443986107143277,4.85
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-21.482004545227092,0,-0.06964009090454187,0.36
126,0.0,0,0.0,0.0
127,-106.01716825265981,0,-0.9760284939673124,1.6097560975609757
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-13.482004545227094,0,-0.06964009090454187,0.2
135,-175.43915890480372,0,-2.8175663561921493,4.2
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,-31.946013635681282,0,-0.20892027271362562,0.43
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,-110.77368960024964,3,-1.2272951069825497,1.3488372093023255
142,-36.0,0,0.0,0.72
143,-63.894646542056854,0,-0.22789293084113715,1.05
144,0.0,0,0.0,0.0
145,-23.964009090454187,0,-0.13928018180908375,0.34
146,0.0,0,0.0,0.0
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,-226.1320045452271,0,-0.06964009090454187,2.62
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,-33.94601363568128,0,-0.20892027271362562,0.47
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,0.0,0,0.0,0.0
161,0.0,0,0.0,0.0
162,-15.0,0,0.0,0.3
163,-13.982004545227094,0,-0.06964009090454187,0.21
164,-9.482004545227094,0,-0.06964009090454187,0.12
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,-20.982004545227092,0,-0.06964009090454187,0.35
168,-98.75569414547674,3,-2.4458997454555105,1.8478260869565217
169,-72.48200454522708,0,-0.06964009090454187,1.38
170,-8.964009090454187,0,-0.13928018180908375,0.04
171,-44.928018180908374,0,-0.2785603636181675,0.62
172,0.0,0,0.0,0.0
173,-5.482004545227094,0,-0.06964009090454187,0.04
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,0.0,0,0.0,0.0
177,-15.982004545227094,0,-0.06964009090454187,0.25
178,-918.15,0,0.0,10.05
179,0.0,0,0.0,0.0
180,0.0,0,0.0,0.0
181,0.0,0,0.0,0.0
182,-64.44601363568128,0,-0.20892027271362562,1.08
183,0.0,0,0.0,0.0
184,-99.27129762934081,1,-0.5254259525868161,1.46
185,0.0,0,0.0,0.0
186,-8.982004545227094,0,-0.06964009090454187,0.11
187,-103.82528399365953,1,-0.31650567987319056,1.76
