risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.17136528192129288,-0.10225528192129286,0.06911000000000002,0.011,-3.205
0.5,simbiosis,-0.4697728849349104,-0.251702582591751,0.2180703023431595,0.131,-26.351325603851514
0.5,dqn_control,-0.5148810318678041,-0.2637424267095214,0.25113860515828257,0.118,-8.957375
0.5,tui,-0.23518391296081276,-0.14423891296081273,0.090945,0.027,-10.283356518432505
1.0,control,-0.1735702819212929,-0.10225528192129286,0.071315,0.011,-3.325
1.0,simbiosis,-0.5114730581757273,-0.2786665803901686,0.23280647778555869,0.118,-25.912073110433052
1.0,dqn_control,-0.5200339579626986,-0.2837832341453938,0.2362507238173047,0.131,-8.9469
1.0,tui,-0.24012315702753131,-0.1445831570275313,0.09553999999999999,0.027,-10.574926281101247
1.5,control,-0.1757752819212929,-0.10225528192129286,0.07352,0.011,-3.445
1.5,simbiosis,-0.5247281189089574,-0.2794572658530287,0.2452708530559287,0.106,-27.14760515988783
1.5,dqn_control,-0.5160474747037234,-0.28795783635631456,0.22808963834740875,0.113,-11.892175
1.5,tui,-0.27886840944765556,-0.16317994112367795,0.11568846832397756,0.04,-12.207368363971698
2.0,control,-0.19372601942306977,-0.10462289442306978,0.089103125,0.017,-3.99655
2.0,simbiosis,-0.5029910893884413,-0.2837922740169596,0.21919881537148175,0.119,-25.028325032250418
2.0,dqn_control,-0.48867867789386177,-0.2540537015216268,0.2346249763722349,0.11,-12.59815
2.0,tui,-0.2822937761911163,-0.16681102029180836,0.11548275589930798,0.036,-12.229904033608618
3.0,control,-0.21242386672657926,-0.11321825448168127,0.09920561224489796,0.021,-4.545
3.0,simbiosis,-0.4904934604015001,-0.2652258928762145,0.22526756752528562,0.1,-24.79585395808956
3.0,dqn_control,-0.4371258235520289,-0.2274432227475686,0.20968260080446033,0.075,-12.13325
3.0,tui,-0.2721898102668716,-0.16284769360939713,0.10934211665747447,0.029,-11.66287261496547
