Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-30.0,0,-0.15825283993659528,0.48
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-60.0,1,-0.31650567987319056,0.12
5,0.0,0,0.0,0.0
6,-5.0,0,-0.06964009090454187,0.19
7,-5.0,0,-0.06964009090454187,0.49
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-60.0,0,-0.31650567987319056,2.88
11,-20.0,0,-0.2785603636181675,0.1
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-5.0,0,-0.06964009090454187,0.05
15,0.0,0,0.0,0.0
16,-40.0,0,-0.557120727236335,1.29
17,45.0,0,0.0,0.18
18,-25.0,0,-0.3482004545227093,0.43
19,-5.0,0,-0.06964009090454187,0.16
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-35.0,0,-0.22789293084113715,1.39
24,-20.0,0,-0.2785603636181675,0.51
25,45.0,0,0.0,0.18
26,-5.0,0,-0.06964009090454187,0.06
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.06964009090454187,0.07
33,0.0,0,0.0,0.0
34,-10.0,0,-0.13928018180908375,0.66
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-45.0,0,-0.6267608181408768,0.89
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-60.0,0,-0.31650567987319056,3.18
46,-10.0,0,-0.13928018180908375,0.28
47,-20.0,0,-0.2785603636181675,0.14
48,-15.0,0,-0.20892027271362562,1.41
49,-5.0,0,-0.06964009090454187,0.02
50,-25.0,0,-0.3482004545227093,0.55
