Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-30.0,0,-0.31650567987319056,0.24
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-60.0,1,-0.6330113597463811,0.06
5,0.0,0,0.0,0.0
6,-5.0,0,-0.13928018180908375,0.095
7,-5.0,0,-0.13928018180908375,0.245
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-60.0,0,-0.6330113597463811,1.44
11,-20.0,0,-0.557120727236335,0.05
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-5.0,0,-0.13928018180908375,0.025
15,0.0,0,0.0,0.0
16,-40.0,0,-1.11424145447267,0.645
17,45.0,0,0.0,0.09
18,-25.0,0,-0.6964009090454186,0.215
19,-5.0,0,-0.13928018180908375,0.08
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-35.0,0,-0.4557858616822743,0.695
24,-20.0,0,-0.557120727236335,0.255
25,45.0,0,0.0,0.09
26,-5.0,0,-0.13928018180908375,0.03
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.13928018180908375,0.035
33,0.0,0,0.0,0.0
34,-10.0,0,-0.2785603636181675,0.33
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-45.0,0,-1.2535216362817536,0.445
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-60.0,0,-0.6330113597463811,1.59
46,-10.0,0,-0.2785603636181675,0.14
47,-20.0,0,-0.557120727236335,0.07
48,-15.0,0,-0.41784054542725124,0.705
49,-5.0,0,-0.13928018180908375,0.01
50,-25.0,0,-0.6964009090454186,0.275
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-75.0,1,-1.0508519051736323,3.23
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-12.524999999999999,0,0.0,0.825
58,-5.0,0,-0.13928018180908375,0.005
59,-20.0,0,-0.557120727236335,0.11
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-5.0,0,-0.13928018180908375,0.095
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,-25.0,0,-0.6964009090454186,0.315
66,-5.0,0,-0.13928018180908375,0.14
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-5.0,0,-0.13928018180908375,0.09
74,0.0,0,0.0,0.0
75,-130.0,2,-2.959862229485549,0.4090909090909091
76,0.0,0,0.0,0.0
77,-10.0,0,-0.2785603636181675,0.055
78,0.0,0,0.0,0.0
79,-65.0,1,-0.7722915415554649,1.085
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-70.0,0,-1.9499225453271725,2.285
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,15.0,0,0.0,0.015
98,-5.0,0,-0.13928018180908375,0.245
99,45.0,0,0.0,0.09
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,0.0,0,0.0,0.0
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,-5.0,0,-0.13928018180908375,0.065
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,-115.0,1,-1.9243276608156425,0.4166666666666667
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-5.0,0,-0.13928018180908375,0.065
115,-75.0,0,-2.0892027271362563,1.705
116,0.0,0,0.0,0.0
117,-5.0,0,-0.13928018180908375,0.13
118,-40.0,0,-1.11424145447267,0.51
119,-140.0,0,-1.3289177356873894,0.42857142857142855
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,-30.0,0,-0.8356810908545025,0.94
123,-130.0,2,-1.5504040249686208,0.2857142857142857
124,0.0,0,0.0,0.0
125,5.25,0,0.0,0.54
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,-10.0,0,-0.2785603636181675,0.48
134,0.0,0,0.0,0.0
135,0.0,0,0.0,0.0
136,-10.0,0,-0.2785603636181675,0.105
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,-140.0,1,-1.3854674265677038,0.4787234042553192
141,0.0,0,0.0,0.0
142,-545.0,1,-1.106955552169095,4.415
143,-5.0,0,-0.13928018180908375,0.245
144,-5.0,0,-0.13928018180908375,0.24
145,-5.0,0,-0.13928018180908375,0.2
146,0.0,0,0.0,0.0
147,-40.875,0,0.0,1.365
148,0.0,0,0.0,0.0
149,-15.0,0,-0.41784054542725124,0.41
150,-5.0,0,-0.13928018180908375,0.245
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,-5.0,0,-0.13928018180908375,0.105
155,0.0,0,0.0,0.0
156,-5.0,0,-0.13928018180908375,0.015
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,-60.0,1,-0.6330113597463811,0.18
160,-120.0,1,-2.2414454775196715,2.0489130434782608
161,0.0,0,0.0,0.0
162,0.0,0,0.0,0.0
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,-15.0,0,-0.41784054542725124,0.315
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,-20.0,0,-0.557120727236335,0.17
171,0.0,0,0.0,0.0
