Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-5.0,0,-0.31650567987319056,0.04
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-10.0,1,-0.6330113597463811,0.01
5,0.0,0,0.0,0.0
6,-5.0,0,-0.13928018180908375,0.095
7,-5.0,0,-0.13928018180908375,0.245
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-67.975,0,-0.6330113597463811,2.66
11,-20.0,0,-0.557120727236335,0.05
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-5.0,0,-0.13928018180908375,0.025
15,0.0,0,0.0,0.0
16,-40.0,0,-1.11424145447267,0.645
17,45.0,0,0.0,0.09
18,-25.0,0,-0.6964009090454186,0.215
19,-5.0,0,-0.13928018180908375,0.08
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-10.0,0,-0.4557858616822743,0.32
24,-20.0,0,-0.557120727236335,0.255
25,45.0,0,0.0,0.09
26,-5.0,0,-0.13928018180908375,0.03
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.13928018180908375,0.035
33,0.0,0,0.0,0.0
34,-10.0,0,-0.2785603636181675,0.33
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-45.0,0,-1.2535216362817536,0.445
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-10.0,0,-0.6330113597463811,0.265
46,-10.0,0,-0.2785603636181675,0.14
47,-20.0,0,-0.557120727236335,0.07
48,-15.0,0,-0.41784054542725124,0.705
49,-5.0,0,-0.13928018180908375,0.01
50,-25.0,0,-0.6964009090454186,0.275
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-25.0,1,-1.0508519051736323,0.985
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-12.524999999999999,0,0.0,0.825
58,-5.0,0,-0.13928018180908375,0.005
59,-20.0,0,-0.557120727236335,0.11
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-5.0,0,-0.13928018180908375,0.095
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,-25.0,0,-0.6964009090454186,0.315
66,-5.0,0,-0.13928018180908375,0.14
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-5.0,0,-0.13928018180908375,0.09
74,0.0,0,0.0,0.0
75,-50.0,5,-3.1650567987319054,1.27
76,0.0,0,0.0,0.0
77,-20.0,1,-0.9115717233645486,0.93
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,-5.0,0,-0.31650567987319056,0.125
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,-12.524999999999999,0,0.0,0.825
87,-20.0,0,-0.557120727236335,0.27
88,-5.0,0,-0.13928018180908375,0.05
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-60.0,0,-1.671362181709005,2.23
94,0.0,0,0.0,0.0
95,-5.0,0,-0.13928018180908375,0.02
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,-10.0,0,-0.2785603636181675,0.315
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,0.0,0,0.0,0.0
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,-5.0,0,-0.31650567987319056,0.095
110,0.0,0,0.0,0.0
111,-275.0,8,-5.554564746360058,2.655
112,-10.0,0,-0.2785603636181675,0.35
113,0.0,0,0.0,0.0
114,0.0,0,0.0,0.0
115,0.0,0,0.0,0.0
116,-10.0,0,-0.2785603636181675,0.175
117,-10.0,0,-0.2785603636181675,0.03
118,0.0,0,0.0,0.0
119,-25.0,0,-0.6964009090454186,0.95
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,0.0,0,0.0,0.0
135,-5.0,0,-0.13928018180908375,0.145
136,-25.0,0,-0.6964009090454186,0.27
137,-10.0,0,-0.2785603636181675,0.415
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,-5.0,0,-0.31650567987319056,0.05
141,-5.0,0,-0.13928018180908375,0.11
142,0.0,0,0.0,0.0
143,0.0,0,0.0,0.0
144,0.0,0,0.0,0.0
145,0.0,0,0.0,0.0
146,-5.0,0,-0.13928018180908375,0.015
147,-31.2,0,0.0,1.335
148,-5.0,0,-0.13928018180908375,0.245
149,-10.0,0,-0.2785603636181675,0.24
150,0.0,0,0.0,0.0
151,-10.0,0,-0.2785603636181675,0.285
152,-5.0,0,-0.13928018180908375,0.005
153,-5.0,0,-0.13928018180908375,0.01
154,-5.0,0,-0.13928018180908375,0.2
155,-12.524999999999999,0,0.0,0.825
156,-30.0,0,-0.8356810908545025,0.915
157,0.0,0,0.0,0.0
158,-15.0,0,-0.41784054542725124,0.18
159,0.0,0,0.0,0.0
160,-20.0,0,-0.557120727236335,0.41
161,-10.0,0,-0.2785603636181675,0.295
162,-5.0,0,-0.31650567987319056,0.01
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,0.0,0,0.0,0.0
171,0.0,0,0.0,0.0
172,0.0,0,0.0,0.0
173,0.0,0,0.0,0.0
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,-5.0,0,-0.13928018180908375,0.195
177,44.475,0,0.0,0.315
178,0.0,0,0.0,0.0
179,-5.0,0,-0.31650567987319056,0.005
180,-5.0,0,-0.13928018180908375,0.215
181,0.0,0,0.0,0.0
182,-5.0,0,-0.13928018180908375,0.115
183,-5.0,0,-0.13928018180908375,0.005
184,-55.0,1,-1.886532996028135,1.27
185,-15.0,0,-0.41784054542725124,0.35
186,0.0,0,0.0,0.0
187,-20.0,0,-0.557120727236335,0.61
188,-50.0,0,-1.3928018180908373,1.525
189,15.0,0,0.0,0.015
190,0.0,0,0.0,0.0
191,-10.0,0,-0.2785603636181675,0.225
192,0.0,0,0.0,0.0
193,-10.0,1,-0.6330113597463811,0.04
194,-20.0,0,-0.557120727236335,0.95
195,0.0,0,0.0,0.0
196,-10.0,0,-0.2785603636181675,0.175
197,0.0,0,0.0,0.0
198,5.0,0,-0.6330113597463811,0.16
199,0.0,0,0.0,0.0
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,0.0,0,0.0,0.0
203,-15.0,0,-0.41784054542725124,0.29
204,-15.0,0,-0.41784054542725124,0.315
205,-5.0,0,-0.13928018180908375,0.07
206,-10.0,0,-0.2785603636181675,0.14
207,0.0,0,0.0,0.0
208,-10.0,0,-0.2785603636181675,0.135
209,15.0,0,0.0,0.015
210,-25.0,0,-0.6964009090454186,0.865
211,-25.0,0,-0.6964009090454186,1.025
212,-5.0,0,-0.13928018180908375,0.13
213,0.0,0,0.0,0.0
214,31.6,0,-0.31650567987319056,0.53
215,-5.0,0,-0.13928018180908375,0.11
216,52.35,0,0.0,0.225
217,0.0,0,0.0,0.0
218,0.0,0,0.0,0.0
219,0.0,0,0.0,0.0
220,-20.0,0,-0.557120727236335,0.89
221,-5.0,0,-0.13928018180908375,0.155
222,0.0,0,0.0,0.0
223,-5.0,0,-0.13928018180908375,0.195
224,0.0,0,0.0,0.0
225,0.0,0,0.0,0.0
226,0.0,0,0.0,0.0
227,0.0,0,0.0,0.0
228,0.0,0,0.0,0.0
229,0.0,0,0.0,0.0
230,0.0,0,0.0,0.0
231,-30.0,0,-0.8356810908545025,0.345
232,0.0,0,0.0,0.0
233,0.0,0,0.0,0.0
234,0.0,0,0.0,0.0
235,-15.0,0,-0.41784054542725124,0.03
236,15.0,0,0.0,0.015
237,-5.0,0,-0.13928018180908375,0.05
238,0.0,0,0.0,0.0
239,0.0,0,0.0,0.0
240,-10.0,1,-0.6330113597463811,0.04
241,-5.0,0,-0.13928018180908375,0.19
242,-5.0,0,-0.13928018180908375,0.16
243,0.0,0,0.0,0.0
244,0.0,0,0.0,0.0
245,0.0,0,0.0,0.0
246,0.0,0,0.0,0.0
247,-5.0,0,-0.13928018180908375,0.03
248,0.0,0,0.0,0.0
249,52.35,0,0.0,0.24
250,0.0,0,0.0,0.0
251,-5.0,0,-0.13928018180908375,0.245
252,0.0,0,0.0,0.0
253,-10.0,1,-0.6330113597463811,0.05
254,0.0,0,0.0,0.0
255,0.0,0,0.0,0.0
256,0.0,0,0.0,0.0
257,-10.0,0,-0.2785603636181675,0.185
258,0.0,0,0.0,0.0
259,0.0,0,0.0,0.0
260,5.25,0,0.0,0.54
261,-20.0,1,-0.9115717233645486,0.93
262,-3.5249999999999986,0,0.0,0.675
263,0.0,0,0.0,0.0
264,-10.0,0,-0.2785603636181675,0.355
265,0.0,0,0.0,0.0
266,-10.0,0,-0.2785603636181675,0.25
267,-10.0,1,-0.6330113597463811,0.15
268,-30.0,0,-0.8356810908545025,1.245
269,45.0,0,0.0,0.18
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,0.0,0,0.0,0.0
273,-10.0,0,-0.2785603636181675,0.225
274,-10.0,0,-0.2785603636181675,0.25
275,0.0,0,0.0,0.0
276,0.0,0,0.0,0.0
277,0.0,0,0.0,0.0
278,37.35,0,0.0,0.45
279,0.0,0,0.0,0.0
280,0.0,0,0.0,0.0
281,0.0,0,0.0,0.0
282,0.0,0,0.0,0.0
283,-30.0,1,-1.190132086982716,0.585
284,-15.0,0,-0.41784054542725124,0.32
285,0.0,0,0.0,0.0
286,0.0,0,0.0,0.0
287,-5.0,0,-0.13928018180908375,0.065
288,-50.0,0,-1.3928018180908373,1.475
289,0.0,0,0.0,0.0
290,0.0,0,0.0,0.0
291,47.425,0,-0.31650567987319056,0.215
292,0.0,0,0.0,0.0
293,-5.0,0,-0.13928018180908375,0.06
294,-40.0,0,-1.11424145447267,1.11
295,0.0,0,0.0,0.0
296,-5.0,0,-0.13928018180908375,0.04
297,-45.0,2,-1.9624236285381806,0.99
298,-5.0,0,-0.13928018180908375,0.22
299,0.0,0,0.0,0.0
300,0.0,0,0.0,0.0
301,0.0,0,0.0,0.0
302,0.0,0,0.0,0.0
303,0.0,0,0.0,0.0
304,0.0,0,0.0,0.0
305,0.0,0,0.0,0.0
306,-5.0,0,-0.13928018180908375,0.245
307,-5.0,0,-0.13928018180908375,0.015
308,-5.0,0,-0.31650567987319056,0.055
309,0.0,0,0.0,0.0
310,-5.0,0,-0.13928018180908375,0.035
311,-25.0,0,-0.6964009090454186,0.45
312,-10.0,0,-0.2785603636181675,0.22
313,-20.0,0,-0.557120727236335,0.305
314,0.0,0,0.0,0.0
315,0.0,0,0.0,0.0
316,0.0,0,0.0,0.0
317,0.0,0,0.0,0.0
318,-8.800000000000004,1,-0.6330113597463811,1.385
319,-5.0,0,-0.13928018180908375,0.07
320,-15.0,1,-0.9495170396195717,0.095
321,0.0,0,0.0,0.0
322,-15.0,0,-0.41784054542725124,0.225
323,-15.0,1,-0.9495170396195717,0.185
324,-10.0,0,-0.2785603636181675,0.23
