Episodio,Recompensa_Dqn_control,Tripwires_Dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.52
2,-5.0,0,-0.06964009090454187,0.05
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,60.0,0,0.0,1.62
6,-5.0,0,-0.06964009090454187,0.34
7,-5.0,0,-0.06964009090454187,0.47
8,0.0,0,0.0,0.0
9,15.0,0,0.0,0.27
10,-5.0,0,-0.06964009090454187,0.3
11,0.0,0,0.0,0.0
12,105.0,0,0.0,2.58
13,345.0,0,0.0,12.24
14,30.0,0,0.0,0.09
15,-20.0,0,-0.15825283993659528,0.48
16,120.0,0,0.0,1.08
17,-20.0,0,-0.2785603636181675,0.36
18,-5.0,0,-0.06964009090454187,0.49
19,-5.0,0,-0.06964009090454187,0.02
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,150.0,0,0.0,2.07
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-10.0,0,-0.13928018180908375,0.2
34,-10.0,0,-0.13928018180908375,0.75
35,145.0,0,-0.06964009090454187,2.69
36,30.0,0,0.0,0.39
37,0.0,0,0.0,0.0
38,-5.0,0,-0.06964009090454187,0.11
39,0.0,0,0.0,0.0
40,-10.0,0,-0.13928018180908375,0.55
41,15.0,0,0.0,0.42
42,-5.0,0,-0.06964009090454187,0.02
43,-5.0,0,-0.06964009090454187,0.24
44,0.0,0,0.0,0.0
45,-15.0,0,-0.20892027271362562,0.48
46,-60.0,1,-0.47475851980978584,1.12
47,-5.0,0,-0.06964009090454187,0.43
48,-40.0,1,-0.31650567987319056,0.64
49,-5.0,0,-0.06964009090454187,0.49
50,-10.0,0,-0.13928018180908375,0.07
51,0.0,0,0.0,0.0
52,-5.0,0,-0.06964009090454187,0.05
53,-5.0,0,-0.06964009090454187,0.24
54,-5.0,0,-0.06964009090454187,0.45
55,-25.0,0,-0.3482004545227093,1.63
56,-15.0,0,-0.20892027271362562,1.17
57,-5.0,0,-0.06964009090454187,0.06
58,0.0,0,0.0,0.0
59,-25.0,0,-0.22789293084113715,1.13
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-40.0,1,-0.31650567987319056,0.72
63,-5.0,0,-0.06964009090454187,0.17
64,135.0,0,0.0,1.35
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,-15.0,0,-0.20892027271362562,0.73
68,90.0,0,0.0,0.63
69,-10.0,0,-0.13928018180908375,0.1
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,-50.0,1,-0.4557858616822743,1.58
79,-5.0,0,-0.06964009090454187,0.16
80,-5.0,0,-0.06964009090454187,0.11
81,-10.0,0,-0.13928018180908375,0.21
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-10.0,0,-0.13928018180908375,0.54
85,-5.0,0,-0.06964009090454187,0.05
86,-20.0,0,-0.15825283993659528,0.12
87,-45.0,1,-0.38614577077773243,0.85
88,-40.0,1,-0.31650567987319056,1.44
89,-45.0,1,-0.38614577077773243,0.27
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,-5.0,0,-0.06964009090454187,0.02
93,-45.0,1,-0.38614577077773243,0.74
94,105.0,0,0.0,1.26
95,0.0,0,0.0,0.0
96,-10.0,0,-0.13928018180908375,0.53
97,-175.0,2,-0.7208097813913626,1.73
98,-5.0,0,-0.06964009090454187,0.06
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
