Episodio,Recompensa_Dqn_control,Tripwires_Dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.52
2,-5.0,0,-0.06964009090454187,0.05
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,60.0,0,0.0,1.62
6,-5.0,0,-0.06964009090454187,0.34
7,-5.0,0,-0.06964009090454187,0.47
8,0.0,0,0.0,0.0
9,15.0,0,0.0,0.27
10,-5.0,0,-0.06964009090454187,0.3
11,0.0,0,0.0,0.0
12,105.0,0,0.0,2.58
13,345.0,0,0.0,12.24
14,30.0,0,0.0,0.09
15,65.0,0,-0.15825283993659528,0.49
16,120.0,0,0.0,1.08
17,-20.0,0,-0.2785603636181675,0.36
18,-5.0,0,-0.06964009090454187,0.49
19,-5.0,0,-0.06964009090454187,0.02
20,0.0,0,0.0,0.0
