Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-45.0,0,-0.6267608181408768,3.69
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.13928018180908375,0.67
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,14.22
14,-140.0,2,-1.580899744591809,1.26
15,-380.0,0,-1.2615123162843724,6.45
16,45.0,0,0.0,0.6
17,-10.0,0,-0.13928018180908375,0.36
18,0.0,0,0.0,0.0
19,-10.0,0,-0.13928018180908375,0.75
20,45.0,0,0.0,0.81
