risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
0.5,simbiosis,-1.09050933596463,-0.21650933596463026,0.874,0.0,-54.525466798231506
1.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
1.0,simbiosis,-1.1045093359646303,-0.21650933596463026,0.8880000000000001,0.0,-55.2254667982315
1.5,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
1.5,simbiosis,-1.1185093359646303,-0.21650933596463026,0.9019999999999999,0.0,-55.925466798231504
2.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
2.0,simbiosis,-1.1343251690386742,-0.2183251690386742,0.916,0.0,-56.71625845193371
3.0,control,-0.3801350819167864,-0.07613508191678639,0.304,0.0,-5.0
3.0,simbiosis,-1.2209394010811183,-0.24018940108111825,0.9807500000000001,0.0,-59.11265936097912
