Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
dqn_control,1,-25.16,0.0,0.5,0.7733333333333337,0.7,5.496053728182074,0.0,0.3272215277777778,0.0
dqn_control,2,-25.03,0.0,0.5,0.9600000000000002,0.8333333333333334,5.499303599090953,0.0,0.3272034722222222,0.0
dqn_control,3,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.22572048322048321,0.0
dqn_control,4,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.22748533873533874,0.0
dqn_control,5,-25.060000000000002,0.0,0.5,0.8933333333333336,0.8333333333333334,5.49814293090921,0.0,0.30764027777777775,0.0
dqn_control,6,-24.0,0.0,0.5,0.9866666666666667,0.8,5.499767866363651,0.0,0.28970659722222225,0.0
dqn_control,7,-24.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.2725,0.0
dqn_control,8,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.22626281126281128,0.0
dqn_control,9,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.22708622396122397,0.0
dqn_control,10,-24.0,0.0,0.5,0.9866666666666667,0.8,5.499767866363651,0.0,0.28220972222222224,0.0
dqn_control,11,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2280815943315943,0.0
dqn_control,12,-24.0,0.0,0.5,1.0,0.9,5.5,0.0,0.2802777777777778,0.0
dqn_control,13,-24.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.2725,0.0
dqn_control,14,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.29000000000000004,0.0
dqn_control,15,-24.0,0.0,0.5,1.0,1.0,5.5,0.0,0.22280381655381654,0.0
dqn_control,16,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.23288877788877788,0.0
dqn_control,17,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27166666666666667,0.0
dqn_control,18,-24.0,0.0,0.5,1.0,0.9,5.5,0.0,0.22917286417286417,0.0
dqn_control,19,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27416666666666667,0.0
dqn_control,20,-23.8,0.0,0.5,0.9866666666666667,0.7666666666666667,5.499767866363652,0.0,0.29022152777777777,0.0
dqn_control,21,-25.09,0.0,0.5,0.8666666666666669,0.9333333333333333,5.4976786636365125,0.0,0.30955034722222224,0.0
dqn_control,22,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2279350741850742,0.0
dqn_control,23,-25.01,0.0,0.5,0.9733333333333334,0.8333333333333334,5.499535732727302,0.0,0.27860173611111105,0.0
dqn_control,24,-24.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.22280381655381654,0.0
dqn_control,25,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.32583333333333336,0.0
dqn_control,26,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.22924892237392236,0.0
dqn_control,27,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.23044270544270545,0.0
dqn_control,28,-25.01,0.0,0.5,0.9733333333333334,0.8666666666666667,5.499535732727302,0.0,0.2811017361111111,0.0
dqn_control,29,-23.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2816666666666666,0.0
dqn_control,30,-24.0,0.0,0.5,0.9866666666666667,0.8333333333333334,5.499767866363651,0.0,0.2763701388888889,0.0
dqn_control,31,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.27999999999999997,0.0
dqn_control,32,-24.0,0.0,0.5,1.0,0.9,5.5,0.0,0.22518807581307584,0.0
dqn_control,33,-24.0,0.0,0.5,1.0,0.8,5.5,0.0,0.22733153420653418,0.0
dqn_control,34,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2725,0.0
dqn_control,35,-24.0,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.31444444444444447,0.0
dqn_control,36,-24.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.28666666666666674,0.0
dqn_control,37,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27333333333333343,0.0
dqn_control,38,-24.0,0.0,0.5,0.9866666666666667,0.8,5.499767866363652,0.0,0.2821472222222222,0.0
dqn_control,39,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.29000000000000004,0.0
dqn_control,40,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2766666666666666,0.0
dqn_control,41,-24.11,0.0,0.5,0.8400000000000001,0.8,5.497214396363819,0.0,0.3190034722222223,0.0
dqn_control,42,-24.0,0.0,0.5,1.0,0.7,5.5,0.0,0.23184380434380433,0.0
dqn_control,43,-24.01,0.0,0.5,0.9599999999999999,0.7666666666666667,5.499303599090954,0.0,0.2962513888888889,0.0
dqn_control,44,-24.81,0.0,0.5,0.9866666666666667,0.7,5.499767866363651,0.0,0.2922190972222222,0.0
dqn_control,45,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.222873260998261,0.0
dqn_control,46,-24.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.23081968956968957,0.0
dqn_control,47,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2741666666666667,0.0
dqn_control,48,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.22725818163318165,0.0
dqn_control,49,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.22710937210937213,0.0
dqn_control,50,-24.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2841666666666666,0.0
