grid,seed,agent,episodes,len_min,len_mean,len_max
8,42,control,200,25,29.91,30
8,42,simbiosis,200,30,30.0,30
8,42,dqn_control,200,30,30.0,30
8,101,control,200,15,29.805,30
8,101,simbiosis,200,30,30.0,30
8,101,dqn_control,200,30,30.0,30
8,13,control,200,26,29.955,30
8,13,simbiosis,200,30,30.0,30
8,13,dqn_control,200,27,29.985,30
8,7,control,200,25,29.945,30
8,7,simbiosis,200,30,30.0,30
8,7,dqn_control,200,30,30.0,30
8,99,control,200,23,29.875,30
8,99,simbiosis,200,30,30.0,30
8,99,dqn_control,200,17,29.935,30
16,42,control,200,30,30.0,30
16,42,simbiosis,200,30,30.0,30
16,42,dqn_control,200,30,30.0,30
16,101,control,200,30,30.0,30
16,101,simbiosis,200,30,30.0,30
16,101,dqn_control,200,30,30.0,30
16,13,control,200,30,30.0,30
16,13,simbiosis,200,30,30.0,30
16,13,dqn_control,200,27,29.985,30
16,7,control,200,30,30.0,30
16,7,simbiosis,200,30,30.0,30
16,7,dqn_control,200,30,30.0,30
16,99,control,200,30,30.0,30
16,99,simbiosis,200,30,30.0,30
16,99,dqn_control,200,17,29.935,30
