Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
simbiosis,1,-12.119999999999976,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.23582961020461018,0.0
simbiosis,2,-13.879999999999981,0.0,0.5,1.0,0.6666666666666666,5.5,0.0,0.2977777777777778,0.0
simbiosis,3,-14.839999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2725,0.0
simbiosis,4,-14.839999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2741666666666667,0.0
simbiosis,5,-14.839999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.29333333333333333,0.0
simbiosis,6,-12.59999999999998,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.22509548322048323,0.0
simbiosis,7,-14.199999999999989,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.2788888888888889,0.0
simbiosis,8,-12.119999999999976,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.24351810226810228,0.0
simbiosis,9,-20.865722528900225,6.0,0.5,0.9333333333333333,0.7333333333333333,5.01971291184996,0.14399999999999988,0.3989256944444444,0.2
simbiosis,10,-14.35028482908944,0.0,0.5,0.7866666666666668,0.7,5.496285861818423,0.0,0.3310916666666666,0.0
simbiosis,11,-14.999999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27166666666666667,0.0
simbiosis,12,-12.27999999999998,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2309850334850335,0.0
simbiosis,13,-12.119999999999976,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.235998260998261,0.0
simbiosis,14,-11.95999999999998,0.0,0.5,1.0,0.8,5.5,0.0,0.23933779183779183,0.0
simbiosis,15,-14.999999999999982,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.27166666666666667,0.0
simbiosis,16,-14.999999999999982,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.27166666666666667,0.0
simbiosis,17,-12.27999999999998,0.0,0.5,1.0,0.8,5.5,0.0,0.23162555037555038,0.0
simbiosis,18,-14.698785603636168,0.0,0.5,0.9733333333333333,0.8333333333333334,5.499535732727304,0.0,0.2918475694444445,0.0
simbiosis,19,-14.538785603636164,0.0,0.5,0.9733333333333333,0.8666666666666667,5.499535732727304,0.0,0.29185694444444443,0.0
simbiosis,20,-12.439999999999976,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.22901642339142336,0.0
simbiosis,21,-14.64210642363517,0.0,0.5,0.8266666666666668,0.8666666666666667,5.49698226272747,0.0,0.33256805555555563,0.0
simbiosis,22,-14.877248838179902,0.0,0.5,0.7200000000000003,0.9,5.49512519363668,0.0,0.321778125,0.0
simbiosis,23,-14.199999999999982,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3363888888888889,0.0
simbiosis,24,-12.59999999999998,0.0,0.5,1.0,0.9,5.5,0.0,0.22643476893476894,0.0
simbiosis,25,-14.369392801818073,0.0,0.5,0.9866666666666667,0.8333333333333334,5.499767866363652,0.0,0.28467847222222226,0.0
simbiosis,26,-14.999999999999982,0.0,0.5,1.0,0.9,5.5,0.0,0.27166666666666667,0.0
simbiosis,27,-14.199999999999982,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.27999999999999997,0.0
simbiosis,28,-12.27999999999998,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2275454637954638,0.0
simbiosis,29,-14.359999999999985,0.0,0.5,1.0,0.8,5.5,0.0,0.29250000000000004,0.0
simbiosis,30,-14.359999999999985,0.0,0.5,1.0,0.8,5.5,0.0,0.2905555555555555,0.0
simbiosis,31,-12.119999999999976,0.0,0.5,1.0,0.9,5.5,0.0,0.2304615292115292,0.0
simbiosis,32,-15.318252839936576,2.0,0.5,1.0,0.8,5.473624526677233,0.0,0.39357638888888885,0.06666666666666667
