Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
control,1,-58.41,0.0,0.5,0.9866666666666667,0.8666666666666667,5.49974621639361,0.0,0.34568115079365075,0.0
control,2,-58.6,0.0,0.5,1.0,0.8,5.5,0.0,0.32376984126984126,0.0
control,3,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.32184523809523813,0.0
control,4,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3361309523809524,0.0
control,5,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.33809523809523806,0.0
control,6,-7.1999999999999975,0.0,0.5,1.0,0.6666666666666666,5.458333333333333,0.20833333333333334,0.3581026034151034,0.0
control,7,-60.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3466666666666667,0.0
control,8,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.32607142857142857,0.0
control,9,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.32843253968253966,0.0
control,10,-58.6,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.33654761904761904,0.0
control,11,-57.81,0.0,0.5,0.9866666666666667,0.6666666666666666,5.49974621639361,0.0,0.3532773809523809,0.0
control,12,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.33218253968253975,0.0
control,13,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3255952380952381,0.0
control,14,-58.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.32339285714285715,0.0
control,15,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.33599206349206345,0.0
control,16,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.33434523809523814,0.0
control,17,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3280357142857143,0.0
control,18,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3259920634920635,0.0
control,19,-58.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.32922619047619045,0.0
control,20,-58.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3245238095238095,0.0
control,21,-60.0,0.0,0.5,1.0,0.9,5.5,0.0,0.3466666666666667,0.0
control,22,-59.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3508333333333333,0.0
control,23,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.32404761904761903,0.0
control,24,-60.0,0.0,0.5,1.0,0.8,5.5,0.0,0.3466666666666667,0.0
control,25,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.32976190476190476,0.0
control,26,-58.2,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.32553571428571426,0.0
control,27,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3221428571428572,0.0
control,28,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3466666666666667,0.0
control,29,-58.6,0.0,0.5,1.0,0.8,5.5,0.0,0.3237896825396825,0.0
control,30,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.32404761904761903,0.0
control,31,-58.2,0.0,0.5,1.0,0.8,5.5,0.0,0.3414087301587302,0.0
control,32,-58.4,0.0,0.5,1.0,0.8,5.5,0.0,0.3255357142857144,0.0
control,33,-59.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3505555555555556,0.0
control,34,-58.199999999999996,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3601587301587302,0.0
control,35,-58.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.33797619047619043,0.0
control,36,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.33890873015873013,0.0
control,37,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3230952380952381,0.0
control,38,-57.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.33770502645502637,0.0
control,39,-59.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3499999999999999,0.0
control,40,-59.2,0.0,0.5,1.0,0.9,5.5,0.0,0.35138888888888886,0.0
control,41,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3243452380952381,0.0
control,42,-58.199999999999996,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.34573412698412703,0.0
control,43,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3400793650793651,0.0
control,44,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.31934523809523807,0.0
control,45,-6.9999999999999964,0.0,0.5,1.0,0.8214285714285714,5.464285714285714,0.17857142857142858,0.3411670274170275,0.0
control,46,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.34531746031746036,0.0
control,47,-58.2,0.0,0.5,1.0,0.9,5.5,0.0,0.3232738095238095,0.0
control,48,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3377976190476191,0.0
control,49,-58.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.32654761904761903,0.0
control,50,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.3466666666666667,0.0
control,51,-58.199999999999996,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.33158730158730154,0.0
control,52,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3300396825396826,0.0
control,53,-60.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3466666666666667,0.0
control,54,-58.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.33954365079365084,0.0
control,55,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.33408730158730154,0.0
control,56,-58.01,0.0,0.5,0.9866666666666667,0.7333333333333333,5.49974621639361,0.0,0.3404514880952381,0.0
control,57,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3196428571428572,0.0
control,58,-58.0,0.0,0.5,1.0,0.6666666666666666,5.5,0.0,0.35861111111111105,0.0
control,59,-57.8,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3285515873015873,0.0
control,60,-58.8,0.0,0.5,1.0,0.8,5.5,0.0,0.3530555555555555,0.0
control,61,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3361309523809524,0.0
control,62,-60.0,0.0,0.5,1.0,0.9,5.5,0.0,0.3466666666666667,0.0
control,63,-58.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.34615079365079376,0.0
control,64,-58.2,0.0,0.5,1.0,0.8,5.5,0.0,0.3289285714285714,0.0
control,65,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3273214285714286,0.0
control,66,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.33529761904761907,0.0
control,67,-58.2,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.3393849206349206,0.0
control,68,-58.6,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.32738095238095244,0.0
control,69,-58.6,0.0,0.5,1.0,0.8,5.5,0.0,0.32460317460317456,0.0
control,70,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3417857142857143,0.0
control,71,-57.8,0.0,0.5,1.0,0.8,5.5,0.0,0.34952380952380946,0.0
control,72,-58.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3378571428571429,0.0
control,73,-58.6,0.0,0.5,1.0,0.8,5.5,0.0,0.3208928571428571,0.0
control,74,-56.81,0.0,0.5,0.9866666666666667,0.6666666666666666,5.49974621639361,0.0,0.33767516534391534,0.0
control,75,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3308134920634921,0.0
control,76,-6.9999999999999964,0.0,0.5,1.0,0.7777777777777778,5.462962962962963,0.18518518518518517,0.36069437763882206,0.0
control,77,-58.2,0.0,0.5,1.0,0.8,5.5,0.0,0.33005952380952386,0.0
control,78,-58.81,1.0,0.5,0.9866666666666667,0.8,5.485328523970037,0.0,0.3652537698412699,0.03333333333333333
control,79,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3422420634920635,0.0
control,80,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.35750000000000004,0.0
control,81,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.34309523809523806,0.0
control,82,-58.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.322797619047619,0.0
control,83,-58.6,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.33029761904761906,0.0
control,84,-58.4,0.0,0.5,1.0,0.7,5.5,0.0,0.33573412698412697,0.0
control,85,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3323809523809524,0.0
control,86,-58.0,0.0,0.5,1.0,0.8,5.5,0.0,0.325218253968254,0.0
control,87,-57.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.3431746031746032,0.0
control,88,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.34253968253968264,0.0
control,89,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3272420634920635,0.0
control,90,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3378174603174603,0.0
control,91,-60.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3466666666666667,0.0
control,92,-57.8,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.3509920634920636,0.0
control,93,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3466666666666667,0.0
control,94,-57.8,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.36253968253968266,0.0
control,95,-71.71,1.0,0.5333333333333333,0.9733333333333333,0.6666666666666666,4.794196235120944,0.08406666666666668,0.44844999999999996,0.12000000000000001
control,96,-58.0,0.0,0.5,1.0,0.8,5.5,0.0,0.32615079365079364,0.0
control,97,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3271428571428571,0.0
control,98,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.333234126984127,0.0
control,99,-60.0,0.0,0.5,1.0,0.9,5.5,0.0,0.3466666666666667,0.0
control,100,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.32892857142857146,0.0
control,101,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.34349206349206346,0.0
control,102,-58.199999999999996,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3480753968253968,0.0
control,103,-58.2,0.0,0.5,1.0,0.8,5.5,0.0,0.3273809523809524,0.0
control,104,-58.599999999999994,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.347797619047619,0.0
control,105,-7.1999999999999975,0.0,0.5,1.0,0.7407407407407407,5.462962962962963,0.18518518518518517,0.3408751536529315,0.0
control,106,-57.199999999999996,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3245701058201058,0.0
control,107,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.3466666666666667,0.0
control,108,-58.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.322797619047619,0.0
control,109,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.32559523809523816,0.0
control,110,-58.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3347420634920635,0.0
control,111,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3306746031746032,0.0
control,112,-60.0,0.0,0.5,1.0,0.9,5.5,0.0,0.3466666666666667,0.0
control,113,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.34029761904761907,0.0
control,114,-58.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3427976190476191,0.0
control,115,-59.199999999999996,0.0,0.5,1.0,0.9,5.5,0.0,0.35055555555555556,0.0
control,116,-57.8,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.33021825396825394,0.0
control,117,-58.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3410119047619047,0.0
