Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
simbiosis,1,-13.719999999999978,0.0,0.5,1.0,0.9,5.5,0.0,0.3267857142857143,0.0
simbiosis,2,-14.839999999999982,0.0,0.5,1.0,0.9,5.5,0.0,0.37083333333333335,0.0
simbiosis,3,-14.359999999999985,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.4130555555555555,0.0
simbiosis,4,-13.719999999999978,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.31934523809523807,0.0
simbiosis,5,-14.839999999999982,0.0,0.5,1.0,0.9,5.5,0.0,0.35333333333333333,0.0
simbiosis,6,-13.559999999999981,0.0,0.5,1.0,0.8,5.5,0.0,0.3335317460317461,0.0
simbiosis,7,-13.23999999999998,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.33303571428571427,0.0
simbiosis,8,-13.719999999999978,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3226785714285715,0.0
simbiosis,9,-14.679999999999986,0.0,0.5,1.0,0.9,5.5,0.0,0.3575,0.0
simbiosis,10,-14.359999999999985,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3597222222222223,0.0
simbiosis,11,-13.399999999999977,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.34503968253968254,0.0
simbiosis,12,-14.529392801818076,0.0,0.5,0.9866666666666667,0.8333333333333334,5.499767866363652,0.0,0.3812263888888889,0.0
simbiosis,13,-14.679999999999986,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.365,0.0
simbiosis,14,-14.839999999999982,0.0,0.5,1.0,0.8,5.5,0.0,0.3475,0.0
simbiosis,15,-13.23999999999998,0.0,0.5,1.0,0.8,5.5,0.0,0.336765873015873,0.0
simbiosis,16,-13.399999999999984,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3306746031746031,0.0
simbiosis,17,-14.199999999999982,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.40222222222222226,0.0
simbiosis,18,-13.249392801818068,0.0,0.5,0.9866666666666667,0.8,5.499767866363652,0.0,0.35081706349206343,0.0
simbiosis,19,-14.839999999999982,0.0,0.5,1.0,0.8,5.5,0.0,0.3483333333333334,0.0
simbiosis,20,-14.839999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.34833333333333333,0.0
simbiosis,21,-14.999999999999982,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.3466666666666667,0.0
simbiosis,22,-14.839999999999982,0.0,0.5,1.0,0.9,5.5,0.0,0.3516666666666667,0.0
simbiosis,23,-13.559999999999981,0.0,0.5,1.0,0.9,5.5,0.0,0.32648809523809524,0.0
simbiosis,24,-13.399999999999977,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3229761904761905,0.0
simbiosis,25,-14.839999999999982,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.34750000000000003,0.0
simbiosis,26,-14.839999999999982,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.34750000000000003,0.0
simbiosis,27,-13.559999999999981,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3265476190476191,0.0
simbiosis,28,-14.999999999999982,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3466666666666667,0.0
simbiosis,29,-14.839999999999982,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3675,0.0
simbiosis,30,-14.839999999999982,0.0,0.5,1.0,0.9,5.5,0.0,0.3475,0.0
simbiosis,31,-14.679999999999986,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.35500000000000004,0.0
simbiosis,32,-13.399999999999977,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.33170634920634917,0.0
simbiosis,33,-14.999999999999982,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3466666666666667,0.0
simbiosis,34,-13.719999999999978,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.31934523809523807,0.0
simbiosis,35,-14.839999999999982,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.365,0.0
simbiosis,36,-13.559999999999981,0.0,0.5,1.0,0.9,5.5,0.0,0.31994047619047616,0.0
simbiosis,37,-13.559999999999981,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.32490079365079366,0.0
simbiosis,38,-14.689392801818073,0.0,0.5,0.9866666666666667,0.8666666666666667,5.499767866363652,0.0,0.3563451388888889,0.0
