Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
dqn_control,1,-63.019999999999996,0.0,0.5,0.9599999999999999,0.6333333333333333,4.832636932424288,0.25533333333333325,0.19006360441796863,0.0
dqn_control,2,-62.14,0.0,0.5,0.786666666666667,0.8,5.496285861818422,0.0,0.19845657387955187,0.0
dqn_control,3,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.26202380952380955,0.4
dqn_control,4,-62.0,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.19644862214811903,0.0
dqn_control,5,-62.6,0.0,0.5,1.0,0.7666666666666667,5.0,0.14999999999999997,0.18790257085535728,0.0
dqn_control,6,-66.0,0.0,0.5,1.0,0.9333333333333333,4.566666666666666,0.40333333333333327,0.1715224358974359,0.0
dqn_control,7,-72.3,0.0,0.75,1.0,1.0,0.8166998673296231,0.6000000000000001,0.2710606060606061,0.4
dqn_control,8,-62.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.2051282051282052,0.0
dqn_control,9,-62.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.20308760683760682,0.0
dqn_control,10,-65.03,0.0,0.5,0.9466666666666667,0.8666666666666667,4.799071465454606,0.2661333333333332,0.19938970404595407,0.0
dqn_control,11,-65.8,0.0,0.5,0.9866666666666667,0.9333333333333333,4.633101199696985,0.4335333333333332,0.17260901575276572,0.0
dqn_control,12,-63.8,0.0,0.5,1.0,0.8333333333333334,4.7,0.2766666666666667,0.17837301587301588,0.0
dqn_control,13,-61.0,0.0,0.5,1.0,0.9,5.5,0.0,0.19642361111111115,0.0
dqn_control,14,-72.3,0.0,0.5192307692307693,1.0,0.8076923076923077,5.13974614364074,0.04615384615384616,0.21497939560439563,0.03076923076923077
dqn_control,15,-62.0,0.0,0.5,1.0,0.7,5.5,0.0,0.19696022727272727,0.0
dqn_control,16,-63.0,0.0,0.5,1.0,0.8333333333333334,5.133333333333334,0.11,0.19801994301994305,0.0
dqn_control,17,-63.0,0.0,0.5,0.9866666666666667,0.8,5.433101199696986,0.020066666666666667,0.24640232614607616,0.0
dqn_control,18,-70.5,10.0,0.5,1.0,0.8947368421052632,4.502298894820269,0.494736842105263,0.4555372807017544,0.5684210526315789
dqn_control,19,-62.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.1860049603174603,0.0
dqn_control,20,-72.3,0.0,0.5714285714285714,0.9428571428571428,0.5714285714285714,4.16091938936697,0.17157142857142857,0.2611842333017043,0.1142857142857143
dqn_control,21,-66.6,0.0,0.5,1.0,0.8666666666666667,5.1,0.2166666666666667,0.17169392684610077,0.0
dqn_control,22,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,23,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,24,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,25,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,26,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,27,-73.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.3,0.23179487179487182,0.8
dqn_control,28,-73.1,0.0,0.75,1.0,1.0,0.8166998673296222,0.65,0.26637310606060605,0.4
dqn_control,29,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,30,-72.5,0.0,1.0,1.0,1.0,-3.866600265340743,1.2000000000000002,0.23179487179487182,0.8
dqn_control,31,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,32,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,33,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,34,-73.89999999999999,0.0,0.5625,0.95,0.75,4.3283044656961,0.175125,0.2818491048881674,0.1
dqn_control,35,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,36,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,37,-73.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.3,0.23179487179487182,0.8
dqn_control,38,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,39,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,40,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,41,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,42,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,43,-72.5,0.0,0.75,1.0,0.5,0.8166998673296222,0.6000000000000001,0.26756410256410257,0.4
dqn_control,44,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,45,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,46,-72.5,0.0,0.75,1.0,0.5,0.8166998673296222,0.6000000000000001,0.26756410256410257,0.4
dqn_control,47,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,48,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,49,-72.5,0.0,0.75,1.0,0.5,0.8166998673296222,0.6000000000000001,0.26756410256410257,0.4
dqn_control,50,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,51,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,52,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,53,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
dqn_control,54,-73.5,0.0,1.0,1.0,0.0,-3.8666002653407556,1.3,0.23179487179487182,0.8
dqn_control,55,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,56,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,57,-72.5,0.0,1.0,1.0,1.0,-3.8666002653407556,1.2000000000000002,0.23179487179487182,0.8
dqn_control,58,-72.3,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.2710606060606061,0.4
