Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
simbiosis,1,-63.42,0.0,0.5,0.9733333333333333,0.7,4.832869066060637,0.2544666666666667,0.1909445741758242,0.0
simbiosis,2,-58.6,0.0,0.5,1.0,0.8,5.5,0.0,0.19378235370810923,0.0
simbiosis,3,-72.1,0.0,0.5294117647058824,1.0,0.8823529411764706,4.9490235138034855,0.07058823529411766,0.24332633053221292,0.047058823529411764
simbiosis,4,-60.8,0.0,0.5,1.0,0.8666666666666667,5.066666666666666,0.17,0.18667811548616506,0.0
simbiosis,5,-61.4,0.0,0.5,1.0,0.8333333333333334,5.033333333333333,0.19333333333333333,0.18834464378214377,0.0
simbiosis,6,-62.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1948157051282051,0.0
simbiosis,7,-62.6,0.0,0.5,1.0,0.7,5.266666666666667,0.07000000000000002,0.19556356837606836,0.0
simbiosis,8,-63.21,0.0,0.5,0.9866666666666667,0.8333333333333334,5.133101199696984,0.12353333333333331,0.19776776903651902,0.0
simbiosis,9,-72.1,0.0,0.75,1.0,1.0,0.8166998673296213,0.6000000000000001,0.2710606060606061,0.4
simbiosis,10,-66.31,0.0,0.5,0.9866666666666667,0.9,5.033101199696985,0.2538000000000001,0.2307024276649277,0.0
simbiosis,11,-63.35,0.0,0.5,0.8000000000000003,0.8,5.163184662121438,0.13449999999999993,0.19144461961649464,0.0
simbiosis,12,-61.6,0.0,0.5,1.0,0.8,5.5,0.0,0.19381944444444443,0.0
simbiosis,13,-59.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.20368055555555556,0.0
simbiosis,14,-60.4,0.0,0.5,1.0,0.8,5.5,0.0,0.1992708333333333,0.0
simbiosis,15,-63.0,0.0,0.5,1.0,0.8,5.466666666666667,0.010000000000000002,0.1997800925925926,0.0
simbiosis,16,-62.21,0.0,0.5,0.9866666666666667,0.8666666666666667,5.466434533030319,0.010033333333333333,0.20506438665501164,0.0
simbiosis,17,-67.9,6.0,0.5,1.0,0.8333333333333334,4.720873580031702,0.3233333333333332,0.38156249999999997,0.2
simbiosis,18,-72.11,0.0,0.53125,0.975,0.6875,4.91415223284805,0.0875625,0.24293506865081943,0.05
simbiosis,19,-72.1,0.0,0.5384615384615384,1.0,0.7692307692307693,4.77949228728148,0.09230769230769233,0.24301839464882946,0.06153846153846154
simbiosis,20,-72.1,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.248786231884058,0.4
simbiosis,21,-76.53999999999999,0.0,0.5172413793103449,0.9448275862068967,0.7241379310344828,5.038122196493014,0.11103448275862068,0.184003452819045,0.027586206896551727
simbiosis,22,-72.5,0.0,1.0,1.0,1.0,-3.866600265340761,1.2000000000000002,0.2141666666666667,0.8
