Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
control,1,-63.4,0.0,0.5,1.0,0.7333333333333333,5.166666666666667,0.1566666666666667,0.31436838624338626,0.0
control,2,-74.1,0.0,0.5238095238095238,1.0,0.7142857142857143,4.8263375146530025,0.1285714285714286,0.3134967017109874,0.0380952380952381
control,3,-60.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2954142616642617,0.0
control,4,-72.11,0.0,0.75,0.8,0.5,0.9708224596869117,0.6005,0.3423809523809524,0.4
control,5,-75.1,0.0,0.5192307692307693,1.0,0.7307692307692307,4.878964915681271,0.15000000000000002,0.309454365079365,0.03076923076923077
control,6,-74.11,0.0,0.5454545454545454,0.9636363636363636,0.7272727272727273,4.676513174488529,0.12736363636363637,0.36473484848484844,0.07272727272727274
control,7,-73.11,0.0,0.6,0.9199999999999999,0.2,3.688328983874764,0.26020000000000004,0.43500000000000005,0.16
control,8,-59.2,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.3081547619047619,0.0
control,9,-60.4,0.0,0.5,1.0,0.7333333333333333,5.2,0.09000000000000001,0.29928240740740736,0.0
control,10,-73.3,0.0,0.52,1.0,0.68,5.0941235123085225,0.06,0.3310714285714286,0.032
control,11,-65.8,3.0,0.5,1.0,0.6333333333333333,4.690080256062612,0.34866666666666657,0.3243161375661376,0.1
control,12,-61.0,1.0,0.5,1.0,0.9,5.4855823075764265,0.0,0.36477777777777776,0.03333333333333333
control,13,-71.89999999999999,0.0,0.6666666666666666,1.0,0.6666666666666666,2.1176959359043495,0.4000000000000001,0.37158730158730163,0.26666666666666666
control,14,-63.8,0.0,0.5,1.0,0.7,4.8,0.29,0.2561757455507455,0.0
control,15,-71.89999999999999,0.0,0.5714285714285714,1.0,0.7142857142857143,4.05044111538758,0.17142857142857146,0.3472871572871573,0.1142857142857143
control,16,-71.5,0.0,0.5208333333333334,1.0,0.7916666666666666,5.077211991988044,0.05416666666666667,0.3152578613516113,0.03333333333333333
control,17,-71.7,0.0,0.5555555555555556,1.0,0.7777777777777778,4.372565311968117,0.13333333333333336,0.3484147025813693,0.08888888888888889
control,18,-73.3,0.0,0.5263157894736842,1.0,0.7894736842105263,4.965951989879635,0.0736842105263158,0.29975744284954803,0.042105263157894736
control,19,-74.1,0.0,0.5277777777777778,1.0,0.8333333333333334,4.9362826559840585,0.08333333333333333,0.3146201175367842,0.044444444444444446
control,20,-71.89999999999999,0.0,0.6,1.0,0.6,3.4706175615426114,0.24000000000000005,0.35179292929292927,0.16
control,21,-71.3,0.0,0.5294117647058824,1.0,0.7058823529411765,4.903122812218415,0.07647058823529412,0.33453781512605046,0.047058823529411764
control,22,-71.89999999999999,0.0,0.5625,1.0,0.875,4.2316359759641315,0.15000000000000002,0.3721577380952381,0.1
control,23,-71.89999999999999,0.0,0.6666666666666666,1.0,0.6666666666666666,2.117695935904352,0.4000000000000001,0.37158730158730163,0.26666666666666666
control,24,-75.89999999999999,0.0,0.5333333333333333,1.0,0.6666666666666666,4.756872520514204,0.12666666666666668,0.3429058441558442,0.05333333333333334
control,25,-72.5,1.0,0.5416666666666666,1.0,0.5833333333333334,4.6183797529171535,0.11333333333333334,0.41434358465608473,0.15
control,26,-72.1,0.0,0.5454545454545454,1.0,0.8181818181818182,4.5775534370648225,0.11818181818181818,0.3569606782106782,0.07272727272727274
control,27,-71.89999999999999,0.0,0.5454545454545454,1.0,0.9090909090909091,4.5775534370648225,0.10909090909090911,0.3499531024531024,0.07272727272727274
control,28,-61.8,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.2877777777777778,0.0
control,29,-71.89999999999999,0.0,0.55,1.0,0.8,4.485308780771305,0.12000000000000002,0.3589484126984127,0.08
control,30,-74.9,1.0,0.5185185185185185,1.0,0.7407407407407407,4.996138599929582,0.09111111111111111,0.324698865948866,0.037037037037037035
control,31,-71.1,0.0,0.5625,1.0,0.75,4.2316359759641315,0.15000000000000002,0.3722840007215007,0.1
control,32,-71.1,0.0,0.5714285714285714,1.0,0.8571428571428571,4.05044111538758,0.17142857142857146,0.36880076272933415,0.1142857142857143
control,33,-57.8,0.0,0.5,1.0,0.8,5.5,0.0,0.30650132275132275,0.0
control,34,-62.6,0.0,0.5,1.0,0.7,5.233333333333333,0.09666666666666666,0.33974206349206354,0.0
control,35,-73.89999999999999,0.0,0.53125,1.0,0.5625,4.740817987982066,0.13125,0.3256498015873016,0.05
