Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-58.4,1.0,0.5,1.0,0.8,5.085582307576426,0.128,0.24321967333292885,0.03333333333333333,0,0
control,2,-74.3,0.0,0.5263157894736842,1.0,0.7368421052631579,4.965951989879635,0.07894736842105263,0.21792828167256084,0.042105263157894736,1,0
control,3,-63.0,0.0,0.5,1.0,0.7,5.3,0.08666666666666667,0.18615279124470302,0.0,0,0
control,4,-58.599999999999994,0.0,0.5,1.0,0.9,5.5,0.0,0.20398275335775337,0.0,0,0
control,5,-62.81,0.0,0.5,0.9866666666666667,0.7666666666666667,5.19974621639361,0.10359999999999998,0.1888932345432345,0.0,0,0
control,6,-59.61,0.0,0.5,0.9866666666666667,0.8,5.49974621639361,0.0,0.1997827910022965,0.0,0,0
control,7,-62.0,0.0,0.5,1.0,0.7,4.966666666666667,0.19000000000000006,0.16664552235204405,0.0,0,0
control,8,-59.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.1991685870735092,0.0,0,0
control,9,-60.6,0.0,0.5,1.0,0.7666666666666667,4.766666666666667,0.2833333333333334,0.1699403774476547,0.0,0,0
control,10,-56.8,0.0,0.5,1.0,0.9,5.5,0.0,0.19789214568155208,0.0,0,0
control,11,-71.7,0.0,0.625,1.0,0.75,2.963271951928264,0.30000000000000004,0.27427312271062276,0.2,1,0
control,12,-71.31,0.0,0.5384615384615384,0.9692307692307692,0.46153846153846156,4.718882638424721,0.09238461538461538,0.25619603544080355,0.06153846153846154,1,0
