Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-63.4,0.0,0.5,1.0,0.7333333333333333,5.166666666666667,0.1566666666666667,0.23164415445665443,0.0,0,0
control,2,-74.1,0.0,0.5238095238095238,1.0,0.7142857142857143,4.8263375146530025,0.1285714285714286,0.21841901589082044,0.0380952380952381,1,0
control,3,-59.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.21525351192017858,0.0,0,0
control,4,-71.31,0.0,0.5384615384615384,0.9692307692307692,0.6153846153846154,4.718882638424722,0.10007692307692309,0.2491163022241776,0.06153846153846154,1,0
control,5,-63.6,0.0,0.5,1.0,0.6333333333333333,4.833333333333333,0.3366666666666666,0.1818338461971017,0.0,0,0
control,6,-60.199999999999996,4.0,0.5,1.0,0.6333333333333333,4.775662563639039,0.2799999999999999,0.27871570790320793,0.13333333333333333,0,0
control,7,-60.6,0.0,0.5,1.0,0.7666666666666667,5.233333333333333,0.08000000000000002,0.24611111111111114,0.0,0,0
control,8,-70.3,0.0,0.5333333333333333,1.0,0.8,4.82353918718087,0.08000000000000002,0.3109151034151034,0.05333333333333334,1,0
control,9,-63.809999999999995,3.0,0.5,0.9866666666666667,0.6333333333333333,4.656493139122889,0.4680666666666664,0.22652020614706456,0.1,0,0
control,10,-63.61,0.0,0.5,0.9866666666666667,0.7333333333333333,4.666412883060277,0.3441666666666666,0.1896948932071055,0.0,0,0
control,11,-73.89999999999999,0.0,0.5185185185185185,1.0,0.8148148148148148,5.013077326211595,0.0888888888888889,0.24736890558448532,0.02962962962962963,1,0
control,12,-61.2,0.0,0.5,1.0,0.7666666666666667,4.966666666666667,0.16,0.18099205501288834,0.0,0,0
control,13,-57.0,0.0,0.5,1.0,0.6666666666666666,5.5,0.0,0.19401060705433767,0.0,0,0
control,14,-60.4,0.0,0.5,1.0,0.9,5.266666666666667,0.07333333333333333,0.18349057457706838,0.0,0,0
control,15,-57.8,0.0,0.5,1.0,0.8,5.5,0.0,0.20004378755346247,0.0,0,0
control,16,-61.6,0.0,0.5,1.0,0.6666666666666666,5.166666666666667,0.14666666666666667,0.1883342948225503,0.0,0,0
control,17,-57.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.22253490722240718,0.0,0,0
control,18,-61.8,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.20817538126361657,0.0,0,0
control,19,-71.89999999999999,0.0,0.5833333333333334,1.0,0.6666666666666666,3.808847967952176,0.20000000000000004,0.27058881886087766,0.13333333333333333,1,0
control,20,-74.3,0.0,0.5185185185185185,1.0,0.7407407407407407,5.013077326211595,0.0888888888888889,0.21750063168960138,0.02962962962962963,1,0
control,21,-56.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.19499498444157323,0.0,0,0
control,22,-61.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.21887400793650794,0.0,0,0
control,23,-62.0,0.0,0.5,1.0,0.7333333333333333,5.166666666666667,0.13333333333333333,0.2537855848861284,0.0,0,0
control,24,-71.89999999999999,0.0,0.55,1.0,0.9,4.485308780771305,0.12000000000000002,0.2484629419112178,0.08,1,0
control,25,-71.5,0.0,0.5277777777777778,1.0,0.6111111111111112,4.9362826559840585,0.07222222222222223,0.22093228476969448,0.044444444444444446,1,0
control,26,-72.1,0.0,0.5208333333333334,1.0,0.8333333333333334,5.077211991988044,0.05833333333333334,0.20441365166174633,0.03333333333333333,1,0
control,27,-71.5,0.0,0.5416666666666666,1.0,0.75,4.654423983976088,0.10833333333333334,0.24416629538693413,0.06666666666666667,1,0
control,28,-71.89999999999999,0.0,0.5333333333333333,1.0,0.8666666666666667,4.82353918718087,0.08000000000000002,0.23788506179810529,0.05333333333333334,1,0
control,29,-71.5,0.0,0.55,1.0,0.9,4.485308780771305,0.13,0.25760372113098756,0.08,1,0
control,30,-59.8,0.0,0.5,1.0,0.7666666666666667,5.466666666666667,0.010000000000000002,0.19614714645893136,0.0,0,0
control,31,-72.89999999999999,0.0,0.53125,1.0,0.75,4.865817987982066,0.08125,0.24873500631313133,0.05,1,0
control,32,-73.7,0.0,0.5238095238095238,1.0,0.7142857142857143,4.731099419414908,0.15714285714285717,0.2208446588364213,0.0380952380952381,1,0
control,33,-64.41,0.0,0.5,0.9866666666666667,0.7666666666666667,4.866412883060278,0.2706333333333334,0.2031816201159951,0.0,0,0
control,34,-70.5,0.0,0.5357142857142857,1.0,0.7857142857142857,4.77522055769379,0.08571428571428573,0.26055170028384317,0.05714285714285715,1,0
control,35,-60.61,0.0,0.5,0.9866666666666667,0.7333333333333333,4.933079549726944,0.18056666666666665,0.18087539710262318,0.0,0,0
control,36,-64.2,0.0,0.5,1.0,0.6,5.133333333333334,0.15333333333333332,0.1848653980823099,0.0,0,0
control,37,-71.31,0.0,0.525,0.9800000000000001,0.7,4.992273714976069,0.06505000000000001,0.26866309090215335,0.04,1,0
control,38,-71.89999999999999,0.0,0.6,1.0,0.8,3.4706175615426114,0.24000000000000005,0.3242857142857143,0.16,1,0
control,39,-71.89999999999999,0.0,0.5833333333333334,1.0,0.8333333333333334,3.808847967952176,0.20000000000000004,0.32329365079365086,0.13333333333333333,1,0
control,40,-74.11,1.0,0.5333333333333333,0.9733333333333333,0.6666666666666666,4.794196235120945,0.10406666666666667,0.3606104166666667,0.12000000000000001,1,0
control,41,-63.4,0.0,0.5,1.0,0.6,4.9,0.26666666666666666,0.2156455169787213,0.0,0,0
control,42,-56.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.20173260484586034,0.0,0,0
control,43,-60.8,0.0,0.5,1.0,0.7666666666666667,5.466666666666667,0.010000000000000002,0.1879577068637255,0.0,0,0
control,44,-71.89999999999999,0.0,0.625,1.0,0.75,2.963271951928264,0.30000000000000004,0.26186064840956147,0.2,1,0
control,45,-76.1,1.0,0.5192307692307693,1.0,0.6923076923076923,4.70848296288484,0.19153846153846155,0.22142015488691913,0.06923076923076923,1,0
control,46,-73.3,2.0,0.5277777777777778,1.0,0.7222222222222222,4.8326681256832575,0.10222222222222221,0.36897597001763666,0.15555555555555556,1,0
control,47,-72.5,0.0,0.5208333333333334,1.0,0.7916666666666666,4.618878658654711,0.20000000000000004,0.24185410348094175,0.03333333333333333,1,0
control,48,-71.89999999999999,0.0,0.5555555555555556,1.0,0.8888888888888888,4.372565311968117,0.13333333333333336,0.26408535636476815,0.08888888888888889,1,0
control,49,-63.0,0.0,0.5,1.0,0.8,5.333333333333333,0.06333333333333332,0.1927027445593622,0.0,0,0
control,50,-73.3,0.0,0.52,1.0,0.8,5.0941235123085225,0.05600000000000001,0.20526190476190476,0.032,1,0
control,51,-72.50999999999999,0.0,0.5833333333333334,0.9333333333333332,0.5,3.807579049920235,0.21683333333333335,0.2681911168341606,0.13333333333333333,1,0
control,52,-74.5,0.0,0.5294117647058824,1.0,0.4117647058823529,4.550181635747826,0.19411764705882353,0.2254951749373105,0.047058823529411764,1,0
control,53,-72.31,0.0,0.5333333333333333,0.9733333333333333,0.7333333333333333,4.823031619968092,0.0934,0.25082271636315756,0.05333333333333334,1,0
control,54,-70.7,0.0,0.5192307692307693,1.0,0.7692307692307693,5.109734146450502,0.05384615384615385,0.20609892200724841,0.03076923076923077,1,0
control,55,-71.3,0.0,0.5166666666666667,1.0,0.8666666666666667,5.161769593590435,0.04666666666666667,0.20184131520385556,0.02666666666666667,1,0
control,56,-58.0,0.0,0.5,1.0,0.9,5.5,0.0,0.21117037078362624,0.0,0,0
control,57,-59.599999999999994,0.0,0.5,1.0,0.8,5.5,0.0,0.21627720658970653,0.0,0,0
control,58,-61.21,0.0,0.5,0.9866666666666667,0.7333333333333333,4.866412883060278,0.19063333333333335,0.1891794738621944,0.0,0,0
control,59,-71.89999999999999,0.0,0.5714285714285714,1.0,0.8571428571428571,4.05044111538758,0.17142857142857146,0.2652908619588186,0.1142857142857143,1,0
control,60,-72.89999999999999,0.0,0.625,1.0,0.5,2.963271951928264,0.325,0.26124091632266944,0.2,1,0
control,61,-71.5,0.0,0.5333333333333333,1.0,0.7333333333333333,4.82353918718087,0.08666666666666667,0.24333399565404207,0.05333333333333334,1,0
control,62,-61.6,0.0,0.5,1.0,0.6666666666666666,4.933333333333334,0.21000000000000008,0.19968671983474615,0.0,0,0
control,63,-71.89999999999999,0.0,0.5714285714285714,1.0,0.5714285714285714,4.05044111538758,0.17142857142857146,0.2671533613445378,0.1142857142857143,1,0
control,64,-63.0,0.0,0.5,1.0,0.6666666666666666,4.833333333333333,0.25000000000000006,0.19573489043206535,0.0,0,0
control,65,-61.809999999999995,0.0,0.5,0.9866666666666667,0.8,5.066412883060278,0.13703333333333337,0.18347370146086284,0.0,0,0
control,66,-71.89999999999999,0.0,0.6666666666666666,1.0,0.6666666666666666,2.117695935904352,0.4000000000000001,0.26799836601307186,0.26666666666666666,1,0
control,67,-71.89999999999999,0.0,0.5454545454545454,1.0,0.7272727272727273,4.5775534370648225,0.10909090909090911,0.25692884729649434,0.07272727272727274,1,0
control,68,-71.89999999999999,0.0,0.5714285714285714,1.0,0.7142857142857143,4.05044111538758,0.17142857142857146,0.2669199346405229,0.1142857142857143,1,0
control,69,-72.89999999999999,0.0,0.5714285714285714,1.0,0.5714285714285714,4.05044111538758,0.18571428571428572,0.26657271241830066,0.1142857142857143,1,0
control,70,-70.89999999999999,0.0,0.5208333333333334,1.0,0.7083333333333334,5.077211991988044,0.05416666666666667,0.22048121404739054,0.03333333333333333,1,0
control,71,-71.50999999999999,0.0,0.5384615384615384,0.9692307692307692,0.6923076923076923,4.718882638424722,0.10007692307692309,0.2541524703457678,0.06153846153846154,1,0
control,72,-60.4,0.0,0.5,1.0,0.8,5.5,0.0,0.21926870107017168,0.0,0,0
control,73,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.30312500000000003,0.0,0,0
control,74,-62.8,0.0,0.5,1.0,0.8,5.1,0.14333333333333334,0.22200021043771043,0.0,0,0
control,75,-73.1,0.0,0.625,1.0,0.5,2.963271951928264,0.325,0.30161687271062276,0.2,1,0
control,76,-73.11,0.0,0.5166666666666667,0.9866666666666667,0.8333333333333334,4.761515809984046,0.17040000000000002,0.1869703516186972,0.02666666666666667,1,0
control,77,-73.1,0.0,0.5714285714285714,1.0,0.5714285714285714,4.05044111538758,0.18571428571428572,0.2850255102040817,0.1142857142857143,1,0
control,78,-74.1,0.0,0.6666666666666666,1.0,0.3333333333333333,2.117695935904352,0.46666666666666673,0.3028373015873016,0.26666666666666666,1,0
control,79,-73.1,0.0,0.6,1.0,0.6,3.4706175615426114,0.26,0.30470238095238095,0.16,1,0
control,80,-74.1,0.0,0.5833333333333334,1.0,0.6666666666666666,3.808847967952176,0.23333333333333336,0.2840079365079365,0.13333333333333333,1,0
control,81,-72.1,0.0,0.6666666666666666,1.0,0.3333333333333333,2.117695935904352,0.4000000000000001,0.2707936507936508,0.26666666666666666,1,0
control,82,-73.1,0.0,0.6,1.0,0.6,3.4706175615426114,0.26,0.2688095238095238,0.16,1,0
control,83,-73.1,0.0,0.625,1.0,0.5,2.963271951928264,0.325,0.2677827380952381,0.2,1,0
control,84,-73.1,0.0,0.5555555555555556,1.0,0.6666666666666666,4.372565311968117,0.14444444444444446,0.26322751322751325,0.08888888888888889,1,0
control,85,-74.1,0.0,0.6,1.0,0.6,3.4706175615426114,0.28,0.2672888685388686,0.16,1,0
control,86,-72.1,0.0,0.5454545454545454,1.0,0.8181818181818182,4.5775534370648225,0.10909090909090911,0.2455952795607968,0.07272727272727274,1,0
control,87,-72.89999999999999,0.0,0.5416666666666666,1.0,0.75,4.654423983976088,0.10833333333333334,0.23896085150215898,0.06666666666666667,1,0
control,88,-70.31,0.0,0.5357142857142857,0.9714285714285714,0.8571428571428571,4.7746767356800985,0.08578571428571428,0.24069211757813141,0.05714285714285715,1,0
control,89,-72.1,0.0,0.5454545454545454,1.0,0.7272727272727273,4.5775534370648225,0.10909090909090911,0.2455952795607968,0.07272727272727274,1,0
control,90,-72.1,0.0,0.6666666666666666,1.0,0.6666666666666666,2.117695935904352,0.4000000000000001,0.2545390135620021,0.26666666666666666,1,0
control,91,-74.31,0.0,0.5333333333333333,0.9733333333333333,0.6,4.423031619968092,0.2204,0.21948051149308334,0.05333333333333334,1,0
control,92,-74.1,0.0,0.5625,1.0,0.5,4.2316359759641315,0.17500000000000002,0.24966433759806606,0.1,1,0
control,93,-72.1,0.0,0.625,1.0,0.75,2.963271951928264,0.30000000000000004,0.2572979383324211,0.2,1,0
