Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
simbiosis,1,-58.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.319047619047619,0.0,0,0
simbiosis,2,-60.22,0.0,0.5,0.9733333333333333,0.8,5.499535732727304,0.0,0.3538715277777777,0.0,0,0
simbiosis,3,-58.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3206349206349206,0.0,0,0
simbiosis,4,-59.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3483333333333334,0.0,0,0
simbiosis,5,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3273809523809524,0.0,0,0
simbiosis,6,-72.1,0.0,0.75,1.0,1.0,0.8166998673296222,0.6000000000000001,0.4108333333333334,0.4,1,0
simbiosis,7,-58.8,0.0,0.5,1.0,0.8,5.5,0.0,0.31041005291005297,0.0,0,0
simbiosis,8,-72.1,0.0,0.5454545454545454,1.0,0.7272727272727273,4.648490884969022,0.10909090909090911,0.46681818181818185,0.07272727272727274,1,0
simbiosis,9,-59.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3522222222222222,0.0,0,0
simbiosis,10,-71.95,0.0,0.5192307692307693,0.9230769230769231,0.7692307692307693,5.138406911123345,0.04634615384615385,0.3850320512820513,0.03076923076923077,1,0
