Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-57.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.3533531746031746,0.0,0,0
control,2,-57.2,0.0,0.5,1.0,0.6333333333333333,5.5,0.0,0.33440476190476187,0.0,0,0
control,3,-60.22,0.0,0.5,0.9733333333333333,0.7333333333333333,5.499492432787221,0.0,0.38539374999999987,0.0,0,0
control,4,-59.8,0.0,0.5,1.0,0.8,5.5,0.0,0.3499999999999999,0.0,0,0
control,5,-60.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.37291666666666673,0.0,0,0
control,6,-72.3,0.0,0.5192307692307693,1.0,0.8076923076923077,5.109734146450502,0.05384615384615385,0.3144871794871795,0.03076923076923077,1,0
control,7,-71.3,0.0,0.5833333333333334,1.0,0.6666666666666666,3.808847967952176,0.20000000000000004,0.3561008898508898,0.13333333333333333,1,0
control,8,-60.61,0.0,0.5,0.9866666666666667,0.8333333333333334,5.49974621639361,0.0,0.28736205993080993,0.0,0,0
control,9,-59.66,0.0,0.5,0.92,0.8333333333333334,5.498477298361664,0.0,0.3095266865079365,0.0,0,0
control,10,-63.0,0.0,0.5,1.0,0.9,4.933333333333334,0.16999999999999998,0.2616435185185185,0.0,0,0
control,11,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2977405002405003,0.0,0,0
control,12,-58.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2983952621452622,0.0,0,0
control,13,-59.51,0.0,0.5,0.8533333333333335,0.8,5.4972083803297185,0.0,0.3037404431216932,0.0,0,0
control,14,-70.7,0.0,0.52,1.0,0.76,5.0941235123085225,0.04800000000000001,0.31084199134199136,0.032,1,0
control,15,-59.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.29524290524290525,0.0,0,0
control,16,-59.2,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.36057208994708995,0.0,0,0
control,17,-58.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2969137806637806,0.0,0,0
control,18,-59.0,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.3064748677248677,0.0,0,0
control,19,-70.7,0.0,0.5238095238095238,1.0,0.8571428571428571,5.016813705129193,0.05714285714285715,0.3194499415927987,0.0380952380952381,1,0
control,20,-70.5,0.0,0.5416666666666666,1.0,0.6666666666666666,4.654423983976088,0.10000000000000002,0.3583201058201058,0.06666666666666667,1,0
control,21,-70.89999999999999,0.0,0.52,1.0,0.88,5.0941235123085225,0.04800000000000001,0.30636219336219334,0.032,1,0
control,22,-72.3,0.0,0.5714285714285714,1.0,0.5714285714285714,4.05044111538758,0.18571428571428572,0.3599121315192744,0.1142857142857143,1,0
control,23,-60.8,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2911342592592593,0.0,0,0
control,24,-60.8,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.28925925925925927,0.0,0,0
control,25,-60.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2955257936507936,0.0,0,0
control,26,-59.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2904133597883598,0.0,0,0
control,27,-71.7,0.0,0.5178571428571429,1.0,0.7857142857142857,5.1376102788468945,0.04642857142857143,0.29574501391465674,0.028571428571428574,1,0
control,28,-70.89999999999999,0.0,0.5454545454545454,1.0,0.7272727272727273,4.5775534370648225,0.10909090909090911,0.35127312081857537,0.07272727272727274,1,0
control,29,-70.31,0.0,0.5263157894736842,0.9789473684210527,0.7894736842105263,4.965551278922177,0.06321052631578948,0.3411542919799499,0.042105263157894736,1,0
control,30,-72.7,0.0,0.5217391304347826,1.0,0.782608695652174,5.058829904683177,0.06086956521739131,0.2955493600602296,0.034782608695652174,1,0
control,31,-57.8,0.0,0.5,1.0,0.8,5.5,0.0,0.2831014356014356,0.0,0,0
control,32,-59.4,0.0,0.5,1.0,0.9,5.5,0.0,0.27928650053650045,0.0,0,0
control,33,-60.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.345625,0.0,0,0
control,34,-59.209999999999994,0.0,0.5,0.9866666666666667,0.8333333333333334,5.49974621639361,0.0,0.34985000000000005,0.0,0,0
control,35,-59.01,0.0,0.5,0.9866666666666667,0.8,5.49974621639361,0.0,0.3408483134920635,0.0,0,0
control,36,-59.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.37444444444444447,0.0,0,0
control,37,-59.8,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.38555555555555554,0.0,0,0
control,38,-60.2,0.0,0.5,1.0,0.9,5.5,0.0,0.2769537638287638,0.0,0,0
control,39,-60.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.29444673382173386,0.0,0,0
control,40,-59.61,0.0,0.5,0.9866666666666667,0.8666666666666667,5.49974621639361,0.0,0.3045594246031746,0.0,0,0
control,41,-60.199999999999996,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.28057396307396315,0.0,0,0
control,42,-60.28,0.0,0.5,0.8933333333333333,0.8,5.497969731148885,0.0,0.2794087752525253,0.0,0,0
control,43,-70.89999999999999,0.0,0.5416666666666666,1.0,0.9166666666666666,4.654423983976088,0.10000000000000002,0.3514763708513709,0.06666666666666667,1,0
control,44,-70.7,0.0,0.5263157894736842,1.0,0.8421052631578947,4.965951989879634,0.06315789473684212,0.33167483101693634,0.042105263157894736,1,0
control,45,-72.31,0.0,0.5833333333333334,0.9333333333333332,0.6666666666666666,3.8075790499202307,0.21683333333333335,0.3515942760942761,0.13333333333333333,1,0
