Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
control,1,-22.0,0.0,0.5,1.0,0.8,5.5,0.0,0.3394444444444444,0.0
control,2,-22.2,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3286706349206349,0.0
control,3,-22.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3492460317460317,0.0
control,4,-22.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.33968253968253964,0.0
control,5,29.000000000000004,0.0,0.5,1.0,0.8666666666666667,5.466666666666667,0.16666666666666666,0.327890812890813,0.0
control,6,-21.6,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.3433730158730159,0.0
control,7,-22.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.34710317460317464,0.0
control,8,-22.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.33017857142857143,0.0
control,9,-22.0,0.0,0.5,1.0,0.8,5.5,0.0,0.3370833333333334,0.0
control,10,-22.2,0.0,0.5,1.0,0.8,5.5,0.0,0.32926587301587307,0.0
control,11,-22.400000000000002,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.352936507936508,0.0
control,12,-21.8,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3219246031746031,0.0
control,13,-22.6,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.3377976190476191,0.0
control,14,-22.2,0.0,0.5,1.0,0.8,5.5,0.0,0.34234126984126984,0.0
control,15,-22.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3458531746031746,0.0
control,16,-22.4,0.0,0.5,1.0,0.8,5.5,0.0,0.3305952380952381,0.0
control,17,-23.0,0.0,0.5,1.0,0.9,5.5,0.0,0.3499999999999999,0.0
control,18,-22.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.32029761904761905,0.0
control,19,-22.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3252976190476191,0.0
control,20,28.790000000000003,0.0,0.5,0.9862068965517242,0.9310344827586207,5.465254706614079,0.17237931034482762,0.3451382793451759,0.0
control,21,-22.6,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.33529761904761907,0.0
control,22,-22.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3290476190476191,0.0
control,23,-22.4,0.0,0.5,1.0,0.8,5.5,0.0,0.3542460317460317,0.0
control,24,-24.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.3466666666666667,0.0
control,25,-22.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3421428571428572,0.0
control,26,-21.6,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.33918650793650795,0.0
control,27,-22.4,0.0,0.5,1.0,0.9,5.5,0.0,0.32559523809523816,0.0
control,28,-22.4,0.0,0.5,1.0,0.9,5.5,0.0,0.3408730158730159,0.0
control,29,-22.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.3292261904761905,0.0
