comparison,condition,grid,metric,group_a,group_b,n_a,n_b,mean_diff,ci95_lo,ci95_hi,p_bootstrap_two_sided,p_holm_family_primary
F1:m0p0_simbiosis_vs_control,F1_highrisk,,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),10,10,-1.8831949999999793,-2.297366999999982,-1.4998996250000132,0.0003999200159968006,0.0023995200959808036
F1:m0p0_simbiosis_vs_dqn_control,F1_highrisk,,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),10,10,1.318950000000008,1.123656125000008,1.5185847499999714,0.0003999200159968006,0.001999600079984003
F2:m0p0_simbiosis_vs_control,F2_redteam,,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),10,10,1.2920600000000064,0.42373750000003874,2.2122438749999884,0.003199360127974405,0.01279744051189762
F2:m0p0_simbiosis_vs_dqn_control,F2_redteam,,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),10,10,0.2646349999998847,-0.8321817500000943,1.3797373749999313,0.6710657868426315,1.0
F1:pgf_ablation_m0p2_vs_m0p0,F1_highrisk,,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),10,10,0.0,-0.28428062499998835,0.2805716249999784,0.9886022795440912,1.0
F2:pgf_ablation_m0p2_vs_m0p0,F2_redteam,,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),10,10,0.0,-1.2019316250000014,1.1612141250000236,0.9958008398320336,0.9958008398320336
grid8:F1:m0p0_simbiosis_vs_control,F1_highrisk,8,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),5,5,-2.6375099999999847,-3.0763207499999874,-2.2114252500000062,0.0003999200159968006,
grid8:F1:m0p0_simbiosis_vs_dqn_control,F1_highrisk,8,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),5,5,1.0022500000000036,0.9617759999999833,1.0425220000000244,0.0003999200159968006,
grid8:F2:m0p0_simbiosis_vs_control,F2_redteam,8,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),5,5,0.8371799999999894,0.24117800000000003,1.4766870000000019,0.004399120175964807,
grid8:F2:m0p0_simbiosis_vs_dqn_control,F2_redteam,8,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),5,5,0.1057099999999167,-0.6536327500000872,0.8871514999999477,0.764247150569886,
grid8:F1:pgf_ablation_m0p2_vs_m0p0,F1_highrisk,8,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),5,5,0.0,-0.03970200000003086,0.039080000000019946,1.0,
grid8:F2:pgf_ablation_m0p2_vs_m0p0,F2_redteam,8,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),5,5,0.0,-0.6964860000000412,0.7359200000000357,0.9782043591281744,
grid16:F1:m0p0_simbiosis_vs_control,F1_highrisk,16,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),5,5,-1.1288800000000023,-1.2089705000000013,-1.0418377500000218,0.0003999200159968006,
grid16:F1:m0p0_simbiosis_vs_dqn_control,F1_highrisk,16,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),5,5,1.635649999999984,1.5785332499999618,1.695390499999975,0.0003999200159968006,
grid16:F2:m0p0_simbiosis_vs_control,F2_redteam,16,reward_env_total,simbiosis (pgf_mix=0.0),control (pgf_mix=0.0),5,5,1.746940000000052,0.38635999999999593,2.8514982499999153,0.012397520495900819,
grid16:F2:m0p0_simbiosis_vs_dqn_control,F2_redteam,16,reward_env_total,simbiosis (pgf_mix=0.0),dqn_control (pgf_mix=0.0),5,5,0.42355999999989535,-1.1156395000001282,1.919134499999922,0.5722855428914218,
grid16:F1:pgf_ablation_m0p2_vs_m0p0,F1_highrisk,16,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),5,5,0.0,-0.07100200000001902,0.07108000000001624,1.0,
grid16:F2:pgf_ablation_m0p2_vs_m0p0,F2_redteam,16,reward_env_total,simbiosis (pgf_mix=0.2),simbiosis (pgf_mix=0.0),5,5,0.0,-1.6466939999999912,1.601050000000015,0.9894021195760848,
