group,grid_size,seed,agent,pgf_mix,budget,red_team_prob,episodes_completed,catastrophes_total,budget_exhausted,cfr,catastrophe_episodes_rate,filename
C-H,16,123,control,0.0,3,0.03,31,3,1,1,0.0967741935483871,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b3_m0p0_v11_episodes.csv
C-H,16,271,control,0.0,3,0.03,18,3,1,1,0.16666666666666666,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b3_m0p0_v11_episodes.csv
C-H,16,314,control,0.0,3,0.03,72,3,1,1,0.041666666666666664,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed314_stkH_b3_m0p0_v11_episodes.csv
C-H,16,404,control,0.0,3,0.03,6,3,1,1,0.5,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed404_stkH_b3_m0p0_v11_episodes.csv
C-H,16,808,control,0.0,3,0.03,32,3,1,1,0.09375,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed808_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,123,simbiosis,0.0,3,0.03,24,3,1,1,0.125,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b3_m0p0_v11_episodes.csv
S2-H,16,123,simbiosis,0.2,3,0.03,24,3,1,1,0.125,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b3_m0p2_v11_episodes.csv
S0-H,16,271,simbiosis,0.0,3,0.03,43,3,1,1,0.06976744186046512,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b3_m0p0_v11_episodes.csv
S2-H,16,271,simbiosis,0.2,3,0.03,43,3,1,1,0.06976744186046512,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b3_m0p2_v11_episodes.csv
S0-H,16,314,simbiosis,0.0,3,0.03,73,3,1,1,0.0410958904109589,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed314_stkH_b3_m0p0_v11_episodes.csv
S2-H,16,314,simbiosis,0.2,3,0.03,73,3,1,1,0.0410958904109589,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed314_stkH_b3_m0p2_v11_episodes.csv
S0-H,16,404,simbiosis,0.0,3,0.03,39,3,1,1,0.07692307692307693,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed404_stkH_b3_m0p0_v11_episodes.csv
S2-H,16,404,simbiosis,0.2,3,0.03,39,3,1,1,0.07692307692307693,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed404_stkH_b3_m0p2_v11_episodes.csv
S0-H,16,808,simbiosis,0.0,3,0.03,23,3,1,1,0.13043478260869565,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed808_stkH_b3_m0p0_v11_episodes.csv
S2-H,16,808,simbiosis,0.2,3,0.03,23,3,1,1,0.13043478260869565,results/v11/F6/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed808_stkH_b3_m0p2_v11_episodes.csv
C-H,8,123,control,0.0,3,0.03,16,3,1,1,0.1875,results/v11/F6/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed123_stkH_b3_m0p0_v11_episodes.csv
C-H,8,271,control,0.0,3,0.03,10,3,1,1,0.3,results/v11/F6/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed271_stkH_b3_m0p0_v11_episodes.csv
C-H,8,314,control,0.0,3,0.03,28,3,1,1,0.10714285714285714,results/v11/F6/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed314_stkH_b3_m0p0_v11_episodes.csv
C-H,8,404,control,0.0,3,0.03,6,3,1,1,0.5,results/v11/F6/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed404_stkH_b3_m0p0_v11_episodes.csv
C-H,8,808,control,0.0,3,0.03,8,3,1,1,0.375,results/v11/F6/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed808_stkH_b3_m0p0_v11_episodes.csv
