group,grid_size,seed,agent,pgf_mix,budget,episodes_completed,catastrophes_total,budget_exhausted,cfr,catastrophe_episodes_rate,filename
C-H,16,123,control,0.0,40,175,40,1,1,0.22857142857142856,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b40_m0p0_v11_episodes.csv
C-H,16,271,control,0.0,40,125,40,1,1,0.32,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b40_m0p0_v11_episodes.csv
C-H,16,314,control,0.0,40,200,23,0,0,0.115,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed314_stkH_b40_m0p0_v11_episodes.csv
C-H,16,404,control,0.0,40,101,40,1,1,0.39603960396039606,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed404_stkH_b40_m0p0_v11_episodes.csv
C-H,16,808,control,0.0,40,81,40,1,1,0.49382716049382713,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed808_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,123,simbiosis,0.0,40,138,40,1,1,0.2898550724637681,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b40_m0p0_v11_episodes.csv
S2-H,16,123,simbiosis,0.2,40,138,40,1,1,0.2898550724637681,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed123_stkH_b40_m0p2_v11_episodes.csv
S0-H,16,271,simbiosis,0.0,40,140,40,1,1,0.2857142857142857,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b40_m0p0_v11_episodes.csv
S2-H,16,271,simbiosis,0.2,40,140,40,1,1,0.2857142857142857,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed271_stkH_b40_m0p2_v11_episodes.csv
S0-H,16,314,simbiosis,0.0,40,200,11,0,0,0.055,results/v11/F7/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed314_stkH_b40_m0p0_v11_episodes.csv
