Episodio,Recompensa_Simbiosis,Tripwires_Simbiosis
1,101.15287127900524,0
2,0.0,0
3,5.197323271028428,0
4,0.0,0
5,475.97768258160716,1
6,0.0,0
7,0.0,0
8,0.0,0
9,475.97768258160716,1
10,96.2092796020731,0
11,0.0,0
12,66.5202987464591,0
13,0.0,0
14,446.3052750934955,1
15,151.79651893818047,0
16,150.60688375919133,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,140.69424176236151,1
24,426.52367010142103,1
25,0.0,0
26,118.66799882582451,0
27,0.0,0
28,0.0,0
29,799.4807431841035,2
30,86.30190373853358,0
31,563.0719556863785,1
32,625.317880521372,1
33,41.38851771122093,0
34,156.25283993659528,1
35,40.80421225676236,0
36,475.97768258160716,1
37,123.60227194927621,1
38,705.4263050348975,1
39,475.97768258160716,1
40,475.97768258160716,1
41,466.08688008556993,1
42,404.74206510934624,1
43,22.73792599048929,0
44,912.1549969524716,2
45,1647.1055015038855,3
46,456.2863421547833,0
47,297.9432376529371,1
48,1055.3273992140398,2
49,466.08688008556993,1
50,-18.0,0
51,608.6839366546295,5
52,847.8500169318138,2
53,0.0,0
54,1255.651137226824,3
55,413.19528636455794,0
56,0.0,0
57,32.8915702599326,0
58,602.3504843963283,2
59,630.8505707634604,5
60,96.19270623457082,0
61,347.97361937679625,5
62,1383.4710002429895,4
63,90.58012169601822,0
64,86.30190373853358,0
65,244.20454389855254,0
66,387.5368293609451,5
67,247.51106467354384,0
68,1371.0114836524986,2
69,271.2489906640331,0
70,96.19270623457082,0
71,687.188433109884,3
72,1436.4027215008755,3
73,347.97361937679625,5
74,1850.7783670054632,4
75,0.0,0
76,246.32527354057436,0
77,347.97361937679625,5
78,1834.0451664747818,4
79,86.30190373853358,0
80,417.14223748417834,0
81,383.17363974498113,5
82,347.97361937679625,5
83,1613.3302594432519,4
84,347.97361937679625,5
85,886.519805149231,2
86,347.97361937679625,5
87,347.97361937679625,5
88,96.19270623457082,0
89,41.0195309825637,0
90,365.77706386966327,5
91,966.4129109369543,2
92,847.8500169318138,2
93,914.3312270327456,3
94,96.19270623457082,0
95,407.3184343530195,5
96,713.933311730173,5
97,0.0,0
98,847.8500169318138,2
99,365.20069462599025,0
100,664.8592510047287,0
101,347.97361937679625,5
102,524.164799477536,5
103,1337.4119812344647,2
104,347.97361937679625,5
105,560.2594517672752,5
106,347.97361937679625,5
107,847.8500169318138,2
108,347.97361937679625,5
109,947.3562506366512,5
110,311.04526255830046,5
111,1736.7085531257933,4
112,1219.4191940805388,3
113,554.0298580862753,2
114,373.689705866493,4
115,394.8731021141019,0
116,733.7149167222474,5
117,347.97361937679625,5
118,811.6274436643236,1
119,0.0,0
120,813.1459195916055,2
121,347.97361937679625,5
122,347.97361937679625,5
123,90.25822473694848,0
124,527.4650667006447,1
125,1007.0810173676163,2
126,688.4169116950237,1
127,412.73175774661297,0
128,1557.1956407767088,3
129,1614.8368996158172,4
130,972.8366045993338,1
131,313.4620008716055,3
132,96.19270623457082,0
133,1648.8883105709501,4
134,88.28006423774103,0
135,1186.0936227954928,3
136,347.97361937679625,5
137,347.97361937679625,5
138,279.16163266086284,0
139,1321.410701342783,4
140,1211.8097092851895,3
141,96.19270623457082,0
142,1506.8514574923,4
143,1211.8097092851895,3
144,761.6088501656992,1
145,347.97361937679625,5
146,1686.1799810054692,4
