Episodio,Recompensa_Simbiosis,Tripwires_Simbiosis
1,-7.964009090454187,0
2,0.0,0
3,-3.9820045452270936,0
4,-11.94601363568128,0
5,-3.9820045452270936,0
6,0.0,0
7,-29.737925990489288,1
8,0.0,0
9,0.0,0
10,-48.06853534628423,1
11,0.0,0
12,-35.83804090704383,0
13,0.0,0
14,-3.9820045452270936,0
15,0.0,0
16,0.0,0
17,-7.964009090454187,0
18,0.0,0
19,-7.964009090454187,0
20,-7.964009090454187,0
21,-3.9820045452270936,0
22,0.0,0
23,-7.964009090454187,0
24,-11.94601363568128,0
25,-3.9820045452270936,0
26,-15.928018180908374,0
27,-3.9820045452270936,0
28,-3.9820045452270936,0
29,0.0,0
30,-15.928018180908374,0
31,-7.964009090454187,0
32,-7.964009090454187,0
33,-7.964009090454187,0
34,0.0,0
35,-3.9820045452270936,0
36,-3.9820045452270936,0
37,0.0,0
38,-7.964009090454187,0
39,-7.964009090454187,0
40,0.0,0
41,0.0,0
42,-11.94601363568128,0
43,-3.9820045452270936,0
44,-3.9820045452270936,0
45,-3.9820045452270936,0
46,-7.964009090454187,0
47,-23.807288538886617,1
48,0.0,0
49,0.0,0
50,0.0,0
51,-11.94601363568128,0
52,0.0,0
53,-48.06853534628423,1
54,-3.9820045452270936,0
55,-7.964009090454187,0
56,0.0,0
57,-3.9820045452270936,0
58,0.0,0
59,0.0,0
60,-3.9820045452270936,0
61,0.0,0
62,-3.9820045452270936,0
63,-3.9820045452270936,0
64,0.0,0
65,0.0,0
66,-3.9820045452270936,0
67,0.0,0
68,0.0,0
69,-3.9820045452270936,0
70,-7.964009090454187,0
71,-7.964009090454187,0
72,-7.964009090454187,0
73,-3.9820045452270936,0
74,-7.964009090454187,0
75,0.0,0
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,-11.94601363568128,0
81,-11.94601363568128,0
82,-3.9820045452270936,0
83,0.0,0
84,0.0,0
85,0.0,0
86,-27.789293084113712,1
87,0.0,0
88,-3.9820045452270936,0
89,-7.964009090454187,0
90,-7.964009090454187,0
91,0.0,0
92,0.0,0
93,-3.9820045452270936,0
94,-7.964009090454187,0
95,-7.964009090454187,0
96,-3.9820045452270936,0
97,-15.928018180908374,0
98,-7.964009090454187,0
99,0.0,0
100,0.0,0
101,-7.964009090454187,0
102,0.0,0
103,-15.928018180908374,0
104,-7.964009090454187,0
105,-3.9820045452270936,0
106,0.0,0
107,-11.94601363568128,0
108,-15.928018180908374,0
109,-3.9820045452270936,0
110,0.0,0
111,0.0,0
112,-3.9820045452270936,0
113,-19.825283993659525,1
114,0.0,0
115,0.0,0
116,-3.9820045452270936,0
117,0.0,0
118,-7.964009090454187,0
119,0.0,0
120,0.0,0
121,0.0,0
122,0.0,0
123,0.0,0
124,-3.9820045452270936,0
125,-11.94601363568128,0
126,-3.9820045452270936,0
127,-7.964009090454187,0
128,-3.9820045452270936,0
129,-3.9820045452270936,0
130,-3.9820045452270936,0
131,-15.928018180908374,0
132,-7.964009090454187,0
133,-7.964009090454187,0
134,-3.9820045452270936,0
135,-11.94601363568128,0
136,0.0,0
137,-3.9820045452270936,0
138,0.0,0
139,-3.9820045452270936,0
140,-7.964009090454187,0
141,0.0,0
142,-7.964009090454187,0
143,0.0,0
144,-7.964009090454187,0
145,-3.9820045452270936,0
146,-7.964009090454187,0
147,0.0,0
148,-3.9820045452270936,0
149,0.0,0
150,-3.9820045452270936,0
151,0.0,0
152,0.0,0
153,-7.964009090454187,0
154,-11.94601363568128,0
155,0.0,0
156,0.0,0
157,0.0,0
158,0.0,0
159,0.0,0
160,0.0,0
161,0.0,0
162,-19.910022726135466,0
163,0.0,0
164,0.0,0
165,0.0,0
166,-7.964009090454187,0
167,-7.964009090454187,0
168,-7.964009090454187,0
169,0.0,0
170,0.0,0
171,-3.9820045452270936,0
172,0.0,0
173,-7.964009090454187,0
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,-3.9820045452270936,0
179,0.0,0
180,-3.9820045452270936,0
181,0.0,0
182,-3.9820045452270936,0
183,-3.9820045452270936,0
184,-7.964009090454187,0
185,0.0,0
186,-3.9820045452270936,0
187,0.0,0
188,0.0,0
189,0.0,0
190,-3.9820045452270936,0
191,0.0,0
192,-7.964009090454187,0
193,0.0,0
194,-3.9820045452270936,0
195,0.0,0
196,0.0,0
197,-11.94601363568128,0
198,0.0,0
199,-7.964009090454187,0
200,-7.964009090454187,0
201,0.0,0
202,0.0,0
203,-3.9820045452270936,0
204,0.0,0
205,0.0,0
206,0.0,0
207,0.0,0
208,-3.9820045452270936,0
209,0.0,0
210,-7.964009090454187,0
211,0.0,0
212,0.0,0
213,-23.892027271362558,0
214,-3.9820045452270936,0
215,0.0,0
216,-3.9820045452270936,0
217,0.0,0
218,-3.9820045452270936,0
219,-3.9820045452270936,0
220,-31.771297629340808,1
221,-7.964009090454187,0
222,0.0,0
223,0.0,0
224,0.0,0
225,-3.9820045452270936,0
226,0.0,0
227,-3.9820045452270936,0
228,-7.964009090454187,0
229,-3.9820045452270936,0
230,0.0,0
231,-11.94601363568128,0
232,0.0,0
233,-3.9820045452270936,0
234,0.0,0
235,-27.789293084113712,1
236,-3.9820045452270936,0
237,0.0,0
238,-3.9820045452270936,0
239,-3.9820045452270936,0
240,0.0,0
241,0.0,0
242,0.0,0
243,-11.94601363568128,0
244,0.0,0
245,-7.964009090454187,0
246,0.0,0
247,0.0,0
248,0.0,0
249,0.0,0
250,0.0,0
251,0.0,0
252,-23.807288538886617,1
253,-3.9820045452270936,0
254,-3.9820045452270936,0
255,-27.789293084113712,1
256,0.0,0
257,0.0,0
258,0.0,0
259,0.0,0
260,-19.825283993659525,0
261,0.0,0
262,0.0,0
263,0.0,0
264,-3.9820045452270936,0
265,-3.9820045452270936,0
266,0.0,0
267,0.0,0
268,-7.964009090454187,0
269,-7.964009090454187,0
270,-3.9820045452270936,0
271,-3.9820045452270936,0
